row_index,local_cluster_uid,cluster_canonical_name,mention_text,mention_key,matched_anchor,matched_anchor_key,matched_anchor_n_mentions,match_score,match_method
53,chunk_000::cluster_000,Igraine,Morgaine,morgaine,Morgaine,morgaine,57,1.0,exact
54,chunk_000::cluster_000,Igraine,Morgaine who was in later days called Morgan le Fay,morgaine who was in later days called morgan le fay,Morgaine,morgaine,57,0.1,token_subset
63,chunk_000::cluster_000,Igraine,Gorlois's bride,gorlois bride,Gorlois,gorlois,115,0.5,token_subset
304,chunk_000::cluster_001,priestess,priestess,priestess,the priests,priests,78,0.875,fuzzy
313,chunk_000::cluster_006,their God,the priests of the White Christ,priests of the white christ,the priests,priests,78,0.2,token_subset
540,chunk_000::cluster_056,priestess,priestess,priestess,the priests,priests,78,0.875,fuzzy
718,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
723,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
731,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
733,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
741,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
745,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
746,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
756,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
760,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
761,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
762,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
770,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
773,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
815,chunk_000::cluster_132,Viviane,the priestess,priestess,the priests,priests,78,0.875,fuzzy
824,chunk_000::cluster_132,Viviane,Morgause,morgause,Morgause,morgause,183,1.0,exact
870,chunk_000::cluster_158,Ettarr,Lady of Avalon,lady of avalon,Avalon,avalon,23,0.3333333333333333,token_subset
1011,chunk_000::cluster_257,a priestess,a priestess,priestess,the priests,priests,78,0.875,fuzzy
1027,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,117,1.0,exact
1031,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,57,1.0,exact
1046,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,57,1.0,exact
