local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_004::cluster_000,chunk_004,4,0,the ghost,160
chunk_004::cluster_001,chunk_004,4,1,Washington Otis,1
chunk_004::cluster_002,chunk_004,4,2,there,1
chunk_004::cluster_003,chunk_004,4,3,his enemies,1
chunk_004::cluster_004,chunk_004,4,4,the twins,23
chunk_004::cluster_005,chunk_004,4,5,the passages,1
chunk_004::cluster_006,chunk_004,4,6,their parents,1
chunk_004::cluster_007,chunk_004,4,7,Mr. Otis,97
chunk_004::cluster_008,chunk_004,4,8,the whole county,1
chunk_004::cluster_009,chunk_004,4,9,Virginia,184
chunk_004::cluster_010,chunk_004,4,10,the lanes,1
chunk_004::cluster_011,chunk_004,4,11,Lord Canterville,73
chunk_004::cluster_012,chunk_004,4,12,Mrs. Otis,33
chunk_004::cluster_013,chunk_004,4,13,the house,11
chunk_004::cluster_014,chunk_004,4,14,his room,2
chunk_004::cluster_015,chunk_004,4,15,home,5
chunk_004::cluster_016,chunk_004,4,16,the guests,1
chunk_004::cluster_017,chunk_004,4,17,Lord Francis Stilton,1
chunk_004::cluster_018,chunk_004,4,18,Colonel Carbury,1
chunk_004::cluster_019,chunk_004,4,19,he,1
chunk_004::cluster_020,chunk_004,4,20,the card-room,1
chunk_004::cluster_021,chunk_004,4,21,the two noble families,1
chunk_004::cluster_022,chunk_004,4,22,Lord Tattle,1
chunk_004::cluster_023,chunk_004,4,23,the Prince Regent,1
chunk_004::cluster_024,chunk_004,4,24,his,1
chunk_004::cluster_025,chunk_004,4,25,his Friends,1
chunk_004::cluster_026,chunk_004,4,26,the Stiltons,1
chunk_004::cluster_027,chunk_004,4,27,his own first cousin,1
chunk_004::cluster_028,chunk_004,4,28,the Sieur de Bulkeley,1
chunk_004::cluster_029,chunk_004,4,29,every one,1
chunk_004::cluster_030,chunk_004,4,30,the Dukes of Cheshire,1
chunk_004::cluster_031,chunk_004,4,31,The Vampire Monk,1
chunk_004::cluster_032,chunk_004,4,32,the Bloodless Benedictine,1
chunk_004::cluster_033,chunk_004,4,33,her nearest relations,1
chunk_004::cluster_034,chunk_004,4,34,her London apothecary,1
chunk_004::cluster_035,chunk_004,4,35,the Royal Bedchamber,1
chunk_004::cluster_036,chunk_004,4,36,the back staircase,1
chunk_004::cluster_037,chunk_004,4,37,the room,7
chunk_004::cluster_038,chunk_004,4,38,some one,1
chunk_004::cluster_039,chunk_004,4,39,her mother,1
chunk_004::cluster_040,chunk_004,4,40,the long avenue,1
chunk_004::cluster_041,chunk_004,4,41,Eton,1
chunk_004::cluster_042,chunk_004,4,42,no one,1
chunk_004::cluster_044,chunk_004,4,44,we,2
chunk_004::cluster_045,chunk_004,4,45,your wife,5
chunk_004::cluster_046,chunk_004,4,46,no one else,1
chunk_004::cluster_047,chunk_004,4,47,any one,1
chunk_004::cluster_048,chunk_004,4,48,some old New England ancestor,1
chunk_004::cluster_049,chunk_004,4,49,New England,1
chunk_004::cluster_050,chunk_004,4,50,Hogley Woods,1
chunk_004::cluster_051,chunk_004,4,51,"the rest of your horrid, rude, vulgar, dishonest family",1
chunk_004::cluster_052,chunk_004,4,52,"your horrid, rude, vulgar, dishonest family",1
chunk_004::cluster_053,chunk_004,4,53,your brother,2
chunk_004::cluster_054,chunk_004,4,54,the Cantervilles,2
chunk_004::cluster_055,chunk_004,4,55,you,1
