global_cluster_uid,local_cluster_uid,local_mention_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_000,chunk_000,0,0,0,1,2,1,2,my,1,1,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_001,chunk_000,0,0,1,3,4,3,4,I,3,3,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_002,chunk_000,0,0,2,10,11,10,11,sister,10,10,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_003,chunk_000,0,0,3,12,13,12,13,lover,12,12,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_004,chunk_000,0,0,4,25,26,25,26,I,25,25,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_005,chunk_000,0,0,5,53,54,53,54,I,53,53,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_006,chunk_000,0,0,6,84,85,84,85,I,84,84,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_007,chunk_000,0,0,7,155,156,155,156,she,155,155,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_008,chunk_000,0,0,8,187,188,187,188,my,187,187,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_009,chunk_000,0,0,9,190,191,190,191,my,190,190,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_010,chunk_000,0,0,10,248,249,248,249,I,248,248,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_011,chunk_000,0,0,11,479,480,479,480,I,479,479,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_012,chunk_000,0,0,12,502,503,502,503,I,502,502,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_013,chunk_000,0,0,13,533,534,533,534,me,533,533,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_014,chunk_000,0,0,14,536,537,536,537,1,536,536,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_015,chunk_000,0,0,15,541,542,541,542,I,541,541,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_016,chunk_000,0,0,16,560,561,560,561,I,560,560,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_017,chunk_000,0,0,17,586,587,586,587,I,586,586,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_018,chunk_000,0,0,18,588,589,588,589,my,588,588,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_019,chunk_000,0,0,19,593,594,593,594,my,593,593,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_020,chunk_000,0,0,20,616,617,616,617,myself,616,616,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_021,chunk_000,0,0,21,627,628,627,628,myself,627,627,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_022,chunk_000,0,0,22,636,637,636,637,I,636,636,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_023,chunk_000,0,0,23,650,651,650,651,my,650,650,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_024,chunk_000,0,0,24,656,657,656,657,my,656,656,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_025,chunk_000,0,0,25,662,663,662,663,my,662,662,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_026,chunk_000,0,0,26,724,725,724,725,my,724,724,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_027,chunk_000,0,0,27,729,730,729,730,me,729,729,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_028,chunk_000,0,0,28,731,732,731,732,sister,731,731,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_029,chunk_000,0,0,29,733,734,733,734,lover,733,733,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_030,chunk_000,0,0,30,739,742,739,742,wise-woman,741,741,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_031,chunk_000,0,0,31,784,785,784,785,I,784,784,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_032,chunk_000,0,0,32,827,828,827,828,I,827,827,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_033,chunk_000,0,0,33,843,844,843,844,I,843,843,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_034,chunk_000,0,0,34,847,848,847,848,I,847,847,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_035,chunk_000,0,0,35,857,858,857,858,I,857,857,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_036,chunk_000,0,0,36,871,872,871,872,I,871,871,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_037,chunk_000,0,0,37,877,878,877,878,my,877,877,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_038,chunk_000,0,0,38,890,891,890,891,her,890,890,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_039,chunk_000,0,0,39,894,895,894,895,I,894,894,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_040,chunk_000,0,0,40,920,921,920,921,1,920,920,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_041,chunk_000,0,0,41,942,943,942,943,me,942,942,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_042,chunk_000,0,0,42,951,952,951,952,I,951,951,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_043,chunk_000,0,0,43,1090,1091,1090,1091,I,1090,1090,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_044,chunk_000,0,0,44,1126,1127,1126,1127,me,1126,1126,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_045,chunk_000,0,0,45,1146,1147,1146,1147,she,1146,1146,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_046,chunk_000,0,0,46,1149,1150,1149,1150,me,1149,1149,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_047,chunk_000,0,0,47,1153,1154,1153,1154,she,1153,1153,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_048,chunk_000,0,0,48,1162,1163,1162,1163,I,1162,1162,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_049,chunk_000,0,0,49,1166,1167,1166,1167,my,1166,1166,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_050,chunk_000,0,0,50,1179,1180,1179,1180,me,1179,1179,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_051,chunk_000,0,0,51,1255,1256,1255,1256,my,1255,1255,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_052,chunk_000,0,0,52,1258,1259,1258,1259,I,1258,1258,core,
