row_index,local_cluster_uid,cluster_canonical_name,mention_text,mention_key,matched_anchor,matched_anchor_key,matched_anchor_n_mentions,match_score,match_method
35,chunk_000::cluster_002,Aunt Em,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
39,chunk_000::cluster_002,Aunt Em,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
50,chunk_000::cluster_002,Aunt Em,the Witch of the North,witch of the north,a witch,witch,547,0.25,token_subset
58,chunk_000::cluster_002,Aunt Em,a real witch,real witch,a witch,witch,547,0.5,token_subset
64,chunk_000::cluster_002,Aunt Em,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
66,chunk_000::cluster_002,Aunt Em,The Witch of the North,witch of the north,a witch,witch,547,0.25,token_subset
74,chunk_000::cluster_002,Aunt Em,the Witch,witch,a witch,witch,547,1.0,exact
76,chunk_000::cluster_002,Aunt Em,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
77,chunk_000::cluster_002,Aunt Em,the Witch of the North,witch of the north,a witch,witch,547,0.25,token_subset
80,chunk_000::cluster_002,Aunt Em,the Witch,witch,a witch,witch,547,1.0,exact
85,chunk_000::cluster_002,Aunt Em,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
90,chunk_000::cluster_002,Aunt Em,The little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
99,chunk_000::cluster_002,Aunt Em,"the girl, who had begun to look upon the little old woman as her only friend",girl who had begun to look upon the little old woman as her only friend,the old woman,old woman,62,0.13333333333333333,token_subset
100,chunk_000::cluster_002,Aunt Em,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
101,chunk_000::cluster_002,Aunt Em,the little old woman as her only friend,little old woman as her only friend,the old woman,old woman,62,0.2857142857142857,token_subset
107,chunk_000::cluster_002,Aunt Em,the Witch of the North,witch of the north,a witch,witch,547,0.25,token_subset
110,chunk_000::cluster_002,Aunt Em,the Witch,witch,a witch,witch,547,1.0,exact
113,chunk_000::cluster_002,Aunt Em,The Witch,witch,a witch,witch,547,1.0,exact
137,chunk_000::cluster_004,the house,the house where Dorothy was standing in the doorway,house where dorothy was standing in the doorway,Dorothy,dorothy,3394,0.125,token_subset
146,chunk_000::cluster_004,the house,the house where the Wicked Witch,house where the wicked witch,the Wicked Witch,wicked witch,103,0.4,token_subset
153,chunk_000::cluster_004,the house,the home of one of the richest Munchkins in the land,home of one of the richest munchkins in the land,the Munchkins,munchkins,118,0.125,token_subset
276,chunk_000::cluster_012,Dorothy,"the girl, who was half frightened at facing a real witch",girl who was half frightened at facing a real witch,a witch,witch,547,0.1,token_subset
501,chunk_000::cluster_019,Toto,the Wicked Witch of the East,wicked witch of the east,the Wicked Witch,wicked witch,103,0.4,token_subset
502,chunk_000::cluster_019,Toto,the Wicked Witch of the East,wicked witch of the east,the Wicked Witch,wicked witch,103,0.4,token_subset
507,chunk_000::cluster_019,Toto,the Wicked Witch of the East,wicked witch of the east,the Wicked Witch,wicked witch,103,0.4,token_subset
510,chunk_000::cluster_019,Toto,the Wicked Witch,wicked witch,the Wicked Witch,wicked witch,103,1.0,exact
511,chunk_000::cluster_019,Toto,the Witch of the East,witch of the east,a witch,witch,547,0.25,token_subset
512,chunk_000::cluster_019,Toto,the Wicked Witch was who ruled here,wicked witch was who ruled here,the Wicked Witch,wicked witch,103,0.3333333333333333,token_subset
513,chunk_000::cluster_019,Toto,the Wicked Witch,wicked witch,the Wicked Witch,wicked witch,103,1.0,exact
514,chunk_000::cluster_019,Toto,the dead Witch,dead witch,a witch,witch,547,0.5,token_subset
518,chunk_000::cluster_019,Toto,The Witch of the East,witch of the east,a witch,witch,547,0.25,token_subset
527,chunk_000::cluster_019,Toto,the Witch of the East,witch of the east,a witch,witch,547,0.25,token_subset
531,chunk_000::cluster_019,Toto,the Wicked Witch,wicked witch,the Wicked Witch,wicked witch,103,1.0,exact
532,chunk_000::cluster_019,Toto,the Wicked Witch,wicked witch,the Wicked Witch,wicked witch,103,1.0,exact
533,chunk_000::cluster_019,Toto,the Wicked Witch,wicked witch,the Wicked Witch,wicked witch,103,1.0,exact
606,chunk_000::cluster_043,the Munchkins,the people,people,those people,those people,72,0.5,token_subset
635,chunk_000::cluster_063,the West,"that country, where the Winkies live",that country where the winkies live,the Winkies,winkies,150,0.16666666666666666,token_subset
1012,chunk_001::cluster_000,Dorothy,a Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1013,chunk_001::cluster_000,Dorothy,"a Scarecrow, placed high on a pole to keep the birds from the ripe corn",scarecrow placed high on a pole to keep the birds from the ripe corn,the Scarecrow,scarecrow,1259,0.07692307692307693,token_subset
1017,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1024,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1032,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1035,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1042,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1052,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1060,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1093,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1119,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1124,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1136,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1137,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1139,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1152,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1168,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1174,chunk_001::cluster_000,Dorothy,The Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1180,chunk_001::cluster_000,Dorothy,The Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1187,chunk_001::cluster_000,Dorothy,The Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1258,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1261,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1262,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1265,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1268,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1276,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1281,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1286,chunk_001::cluster_000,Dorothy,"The Scarecrow, who was never tired",scarecrow who was never tired,the Scarecrow,scarecrow,1259,0.2,token_subset
1290,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1299,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1306,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1313,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1324,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1348,chunk_001::cluster_000,Dorothy,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1350,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1356,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1357,chunk_001::cluster_000,Dorothy,The Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1384,chunk_001::cluster_000,Dorothy,the Scarecrow,scarecrow,the Scarecrow,scarecrow,1259,1.0,exact
1387,chunk_001::cluster_000,Dorothy,The Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1396,chunk_001::cluster_001,the Munchkins,the Witch,witch,a witch,witch,547,1.0,exact
1407,chunk_001::cluster_001,the Munchkins,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
1412,chunk_001::cluster_001,the Munchkins,The little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
1421,chunk_001::cluster_001,the Munchkins,"the girl, who had begun to look upon the little old woman as her only friend",girl who had begun to look upon the little old woman as her only friend,the old woman,old woman,62,0.13333333333333333,token_subset
1422,chunk_001::cluster_001,the Munchkins,the little old woman,little old woman,the old woman,old woman,62,0.6666666666666666,token_subset
1428,chunk_001::cluster_001,the Munchkins,the Witch of the North,witch of the north,a witch,witch,547,0.25,token_subset
1432,chunk_001::cluster_001,the Munchkins,the Witch,witch,a witch,witch,547,1.0,exact
1437,chunk_001::cluster_001,the Munchkins,The Witch,witch,a witch,witch,547,1.0,exact
1443,chunk_001::cluster_001,the Munchkins,a witch,witch,a witch,witch,547,1.0,exact
1448,chunk_001::cluster_001,the Munchkins,the people,people,those people,those people,72,0.5,token_subset
1449,chunk_001::cluster_001,the Munchkins,The people,people,those people,those people,72,0.5,token_subset
1453,chunk_001::cluster_001,the Munchkins,the people,people,those people,those people,72,0.5,token_subset
1458,chunk_001::cluster_001,the Munchkins,witch,witch,a witch,witch,547,1.0,exact
1460,chunk_001::cluster_001,the Munchkins,a witch,witch,a witch,witch,547,1.0,exact
1489,chunk_001::cluster_008,the other,his friend,his friend,his friends,his friends,121,0.9523809523809523,fuzzy
1526,chunk_001::cluster_021,the Emerald City,"the dry, gray place you call Kansas",dry gray place you call kansas,Kansas,kansas,146,0.16666666666666666,token_subset
1575,chunk_001::cluster_031,The road to the City of Emeralds,the home of one of the richest Munchkins in the land,home of one of the richest munchkins in the land,the Munchkins,munchkins,118,0.125,token_subset
1958,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1965,chunk_002::cluster_000,the Scarecrow,The Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1986,chunk_002::cluster_000,the Scarecrow,The Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1990,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1996,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
1998,chunk_002::cluster_000,the Scarecrow,The Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2003,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2010,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2016,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2020,chunk_002::cluster_000,the Scarecrow,the Woodman,woodman,the Tin Woodman,tin woodman,331,0.5,token_subset
2026,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2108,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2113,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2114,chunk_002::cluster_000,the Scarecrow,the Woodman,woodman,the Tin Woodman,tin woodman,331,0.5,token_subset
2116,chunk_002::cluster_000,the Scarecrow,the Woodman,woodman,the Tin Woodman,tin woodman,331,0.5,token_subset
2118,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2126,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2129,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2130,chunk_002::cluster_000,the Scarecrow,the Woodman,woodman,the Tin Woodman,tin woodman,331,0.5,token_subset
2143,chunk_002::cluster_000,the Scarecrow,the Woodman,woodman,the Tin Woodman,tin woodman,331,0.5,token_subset
2146,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2147,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2158,chunk_002::cluster_000,the Scarecrow,the Woodman,woodman,the Tin Woodman,tin woodman,331,0.5,token_subset
2162,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2163,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2164,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2171,chunk_002::cluster_000,the Scarecrow,the Tin Woodman,tin woodman,the Tin Woodman,tin woodman,331,1.0,exact
2386,chunk_002::cluster_007,the world,"the dry, gray place you call Kansas",dry gray place you call kansas,Kansas,kansas,146,0.16666666666666666,token_subset
2403,chunk_002::cluster_014,the old woman,the other,other,the others,others,63,0.9090909090909091,fuzzy
