local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_004::cluster_000::mention_000,chunk_004::cluster_000,chunk_004,4,0,0,15,16,7190,7191,he,15,7190,left_overlap,7190:7191:he
chunk_004::cluster_000::mention_001,chunk_004::cluster_000,chunk_004,4,0,1,27,28,7202,7203,him,27,7202,left_overlap,7202:7203:him
chunk_004::cluster_000::mention_002,chunk_004::cluster_000,chunk_004,4,0,2,42,43,7217,7218,his,42,7217,left_overlap,7217:7218:his
chunk_004::cluster_000::mention_003,chunk_004::cluster_000,chunk_004,4,0,3,54,55,7229,7230,he,54,7229,left_overlap,7229:7230:he
chunk_004::cluster_000::mention_004,chunk_004::cluster_000,chunk_004,4,0,4,66,67,7241,7242,him,66,7241,left_overlap,7241:7242:him
chunk_004::cluster_000::mention_005,chunk_004::cluster_000,chunk_004,4,0,5,76,77,7251,7252,his,76,7251,left_overlap,7251:7252:his
chunk_004::cluster_000::mention_006,chunk_004::cluster_000,chunk_004,4,0,6,87,88,7262,7263,his,87,7262,left_overlap,7262:7263:his
chunk_004::cluster_000::mention_007,chunk_004::cluster_000,chunk_004,4,0,7,105,106,7280,7281,he,105,7280,left_overlap,7280:7281:he
chunk_004::cluster_000::mention_008,chunk_004::cluster_000,chunk_004,4,0,8,121,122,7296,7297,him,121,7296,left_overlap,7296:7297:him
chunk_004::cluster_000::mention_009,chunk_004::cluster_000,chunk_004,4,0,9,157,158,7332,7333,his,157,7332,left_overlap,7332:7333:his
chunk_004::cluster_000::mention_010,chunk_004::cluster_000,chunk_004,4,0,10,163,164,7338,7339,he,163,7338,left_overlap,7338:7339:he
chunk_004::cluster_000::mention_011,chunk_004::cluster_000,chunk_004,4,0,11,261,263,7436,7438,the ghost,262,7437,left_overlap,7436:7438:the ghost
chunk_004::cluster_000::mention_012,chunk_004::cluster_000,chunk_004,4,0,12,319,321,7494,7496,the ghost,320,7495,left_overlap,7494:7496:the ghost
chunk_004::cluster_000::mention_013,chunk_004::cluster_000,chunk_004,4,0,13,346,347,7521,7522,he,346,7521,left_overlap,7521:7522:he
chunk_004::cluster_000::mention_014,chunk_004::cluster_000,chunk_004,4,0,14,383,386,7558,7561,the Canterville ghost,385,7560,left_overlap,7558:7561:the canterville ghost
chunk_004::cluster_000::mention_015,chunk_004::cluster_000,chunk_004,4,0,15,411,412,7586,7587,he,411,7586,left_overlap,7586:7587:he
chunk_004::cluster_000::mention_016,chunk_004::cluster_000,chunk_004,4,0,16,419,420,7594,7595,he,419,7594,left_overlap,7594:7595:he
chunk_004::cluster_000::mention_017,chunk_004::cluster_000,chunk_004,4,0,17,501,503,7676,7678,The ghost,502,7677,left_overlap,7676:7678:the ghost
chunk_004::cluster_000::mention_018,chunk_004::cluster_000,chunk_004,4,0,18,513,514,7688,7689,he,513,7688,left_overlap,7688:7689:he
chunk_004::cluster_000::mention_019,chunk_004::cluster_000,chunk_004,4,0,19,517,518,7692,7693,his,517,7692,left_overlap,7692:7693:his
chunk_004::cluster_000::mention_020,chunk_004::cluster_000,chunk_004,4,0,20,528,529,7703,7704,he,528,7703,left_overlap,7703:7704:he
chunk_004::cluster_000::mention_021,chunk_004::cluster_000,chunk_004,4,0,21,533,534,7708,7709,his,533,7708,left_overlap,7708:7709:his
chunk_004::cluster_000::mention_022,chunk_004::cluster_000,chunk_004,4,0,22,569,570,7744,7745,he,569,7744,left_overlap,7744:7745:he
chunk_004::cluster_000::mention_023,chunk_004::cluster_000,chunk_004,4,0,23,580,581,7755,7756,his,580,7755,left_overlap,7755:7756:his
chunk_004::cluster_000::mention_024,chunk_004::cluster_000,chunk_004,4,0,24,672,673,7847,7848,his,672,7847,left_overlap,7847:7848:his
chunk_004::cluster_000::mention_025,chunk_004::cluster_000,chunk_004,4,0,25,678,679,7853,7854,his,678,7853,left_overlap,7853:7854:his
chunk_004::cluster_000::mention_026,chunk_004::cluster_000,chunk_004,4,0,26,680,681,7855,7856,his,680,7855,left_overlap,7855:7856:his
chunk_004::cluster_000::mention_027,chunk_004::cluster_000,chunk_004,4,0,27,827,830,8002,8005,the Canterville Ghost,829,8004,left_overlap,8002:8005:the canterville ghost
chunk_004::cluster_000::mention_028,chunk_004::cluster_000,chunk_004,4,0,28,830,831,8005,8006,himself,830,8005,left_overlap,8005:8006:himself
chunk_004::cluster_000::mention_029,chunk_004::cluster_000,chunk_004,4,0,29,832,833,8007,8008,He,832,8007,left_overlap,8007:8008:he
