global_cluster_uid,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
global_cluster_000000,1,1,the great Kansas prairies,the great kansas prairies,chunk_000::cluster_000,0,0
global_cluster_000001,17,147,Kansas,home to kansas|kansas,chunk_000::cluster_064|chunk_001::cluster_070|chunk_002::cluster_006|chunk_003::cluster_044|chunk_004::cluster_063|chunk_005::cluster_027|chunk_006::cluster_049|chunk_007::cluster_067|chunk_008::cluster_091|chunk_009::cluster_042|chunk_010::cluster_091|chunk_011::cluster_044|chunk_012::cluster_042|chunk_013::cluster_014|chunk_013::cluster_015|chunk_014::cluster_056|chunk_015::cluster_047,0,15
global_cluster_000002,8,55,Uncle Henry,the tin woodman|uncle henry,chunk_000::cluster_005|chunk_006::cluster_106|chunk_007::cluster_085|chunk_008::cluster_030|chunk_012::cluster_076|chunk_013::cluster_024|chunk_014::cluster_105|chunk_015::cluster_046,0,15
global_cluster_000003,11,35,a farmer,a farmer|good farmers|the farmer,chunk_000::cluster_001|chunk_000::cluster_003|chunk_000::cluster_116|chunk_001::cluster_042|chunk_001::cluster_089|chunk_005::cluster_042|chunk_006::cluster_021|chunk_012::cluster_073|chunk_013::cluster_022|chunk_014::cluster_082|chunk_015::cluster_039,0,15
global_cluster_000004,11,126,Aunt Em,aunt em|my aunt em,chunk_000::cluster_002|chunk_002::cluster_067|chunk_003::cluster_028|chunk_006::cluster_105|chunk_007::cluster_066|chunk_009::cluster_060|chunk_010::cluster_092|chunk_011::cluster_042|chunk_012::cluster_075|chunk_013::cluster_085|chunk_014::cluster_088,0,14
global_cluster_000005,1,10,the people,the people,chunk_000::cluster_020,0,0
global_cluster_000006,27,63,houses,a house|any house|fewer houses|houses|my house|no houses|several of these houses|the house|the new house|the next house|these houses|your house,chunk_000::cluster_004|chunk_001::cluster_043|chunk_001::cluster_057|chunk_001::cluster_085|chunk_001::cluster_111|chunk_002::cluster_003|chunk_002::cluster_038|chunk_002::cluster_056|chunk_003::cluster_015|chunk_003::cluster_052|chunk_004::cluster_009|chunk_005::cluster_043|chunk_005::cluster_044|chunk_005::cluster_053|chunk_005::cluster_054|chunk_006::cluster_022|chunk_006::cluster_023|chunk_006::cluster_031|chunk_006::cluster_102|chunk_007::cluster_062|chunk_007::cluster_112|chunk_008::cluster_053|chunk_011::cluster_100|chunk_013::cluster_065|chunk_014::cluster_011|chunk_014::cluster_076|chunk_015::cluster_031,0,15
global_cluster_000007,20,75,the Throne Room,a room|a small chamber in the rear of the throne room|her room|his throne room|one room|rooms|the rear of the throne room|the room|the throne room|their rooms|these rooms,chunk_000::cluster_006|chunk_000::cluster_021|chunk_005::cluster_071|chunk_005::cluster_074|chunk_006::cluster_048|chunk_006::cluster_087|chunk_006::cluster_094|chunk_007::cluster_032|chunk_007::cluster_041|chunk_007::cluster_047|chunk_010::cluster_094|chunk_010::cluster_116|chunk_010::cluster_117|chunk_011::cluster_043|chunk_011::cluster_066|chunk_011::cluster_067|chunk_011::cluster_108|chunk_012::cluster_047|chunk_012::cluster_058|chunk_013::cluster_021,0,13
global_cluster_000008,16,3184,Dorothy,dorothy,chunk_000::cluster_012|chunk_001::cluster_000|chunk_002::cluster_001|chunk_003::cluster_001|chunk_004::cluster_000|chunk_005::cluster_000|chunk_006::cluster_001|chunk_007::cluster_008|chunk_008::cluster_000|chunk_009::cluster_000|chunk_010::cluster_001|chunk_011::cluster_002|chunk_012::cluster_002|chunk_013::cluster_000|chunk_014::cluster_005|chunk_015::cluster_015,0,15
global_cluster_000009,2,2,another corner,a corner|another corner,chunk_000::cluster_007|chunk_005::cluster_059,0,5
global_cluster_000010,1,1,no garret,no garret,chunk_000::cluster_008,0,0
global_cluster_000011,1,1,no garret at all,no garret at all,chunk_000::cluster_009,0,0
global_cluster_000012,2,2,no cellar,no cellar|the cellar,chunk_000::cluster_010|chunk_000::cluster_023,0,0
global_cluster_000013,1,4,a cyclone cellar,a cyclone cellar,chunk_000::cluster_011,0,0
global_cluster_000014,1,1,the family,the family,chunk_000::cluster_013,0,0
global_cluster_000015,1,1,any building,any building,chunk_000::cluster_014,0,0
global_cluster_000016,1,2,the great gray prairie,the great gray prairie,chunk_000::cluster_015,0,0
global_cluster_000017,23,51,their country,a civilized country|a dangerous country|a lovely country|a strange and beautiful country|any other country|flat country|her country|the civilized countries|the country|the south country|the strangers still traveling through her country|their country|this country|your country,chunk_000::cluster_016|chunk_000::cluster_067|chunk_000::cluster_068|chunk_001::cluster_088|chunk_002::cluster_072|chunk_003::cluster_036|chunk_003::cluster_037|chunk_003::cluster_062|chunk_004::cluster_026|chunk_005::cluster_012|chunk_007::cluster_065|chunk_007::cluster_120|chunk_008::cluster_059|chunk_008::cluster_061|chunk_008::cluster_072|chunk_009::cluster_026|chunk_011::cluster_078|chunk_012::cluster_005|chunk_012::cluster_019|chunk_013::cluster_046|chunk_014::cluster_032|chunk_014::cluster_089|chunk_015::cluster_048,0,15
global_cluster_000018,15,17,a strange land,a strange land|an ordinary little girl who had come by the chance of a cyclone into a strange land|prisoners in a strange land|the land|the plowed land,chunk_000::cluster_017|chunk_000::cluster_114|chunk_000::cluster_137|chunk_000::cluster_138|chunk_001::cluster_056|chunk_001::cluster_065|chunk_001::cluster_108|chunk_002::cluster_032|chunk_003::cluster_072|chunk_004::cluster_036|chunk_004::cluster_053|chunk_009::cluster_048|chunk_009::cluster_049|chunk_010::cluster_006|chunk_010::cluster_007,0,10
global_cluster_000019,1,1,"a young, pretty wife","a young, pretty wife",chunk_000::cluster_018,0,0
global_cluster_000020,15,262,Toto,all her friends except toto|toto,chunk_000::cluster_019|chunk_001::cluster_032|chunk_003::cluster_030|chunk_004::cluster_004|chunk_005::cluster_015|chunk_006::cluster_014|chunk_006::cluster_080|chunk_007::cluster_038|chunk_007::cluster_040|chunk_008::cluster_038|chunk_009::cluster_034|chunk_011::cluster_064|chunk_013::cluster_009|chunk_014::cluster_003|chunk_015::cluster_038,0,15
global_cluster_000021,19,25,they,they,chunk_000::cluster_022|chunk_001::cluster_004|chunk_003::cluster_045|chunk_003::cluster_046|chunk_006::cluster_064|chunk_006::cluster_084|chunk_007::cluster_018|chunk_007::cluster_044|chunk_008::cluster_086|chunk_009::cluster_038|chunk_009::cluster_051|chunk_009::cluster_081|chunk_010::cluster_009|chunk_010::cluster_015|chunk_010::cluster_047|chunk_013::cluster_105|chunk_014::cluster_008|chunk_014::cluster_055|chunk_015::cluster_010,0,15
global_cluster_000022,39,52,you,each one of you|you,chunk_000::cluster_024|chunk_000::cluster_111|chunk_001::cluster_039|chunk_001::cluster_069|chunk_001::cluster_091|chunk_001::cluster_093|chunk_002::cluster_012|chunk_002::cluster_015|chunk_002::cluster_046|chunk_003::cluster_049|chunk_003::cluster_051|chunk_003::cluster_053|chunk_003::cluster_079|chunk_004::cluster_006|chunk_004::cluster_007|chunk_004::cluster_010|chunk_004::cluster_011|chunk_006::cluster_012|chunk_006::cluster_015|chunk_006::cluster_077|chunk_007::cluster_003|chunk_007::cluster_004|chunk_007::cluster_033|chunk_008::cluster_032|chunk_009::cluster_062|chunk_009::cluster_075|chunk_010::cluster_027|chunk_010::cluster_040|chunk_011::cluster_086|chunk_011::cluster_087|chunk_011::cluster_107|chunk_011::cluster_111|chunk_012::cluster_033|chunk_012::cluster_036|chunk_012::cluster_039|chunk_012::cluster_040|chunk_012::cluster_098|chunk_015::cluster_021|chunk_015::cluster_072,0,15
global_cluster_000023,1,1,a baby in a cradle,a baby in a cradle,chunk_000::cluster_025,0,0
global_cluster_000024,1,1,a country of marvelous beauty,a country of marvelous beauty,chunk_000::cluster_026,0,0
global_cluster_000025,1,1,a small brook,a small brook,chunk_000::cluster_027,0,0
global_cluster_000026,1,1,"the dry, gray prairies","the dry, gray prairies",chunk_000::cluster_028,0,0
global_cluster_000027,1,13,the men,the men,chunk_000::cluster_029,0,0
global_cluster_000028,2,2,a group of the queerest people she had ever seen,a group of the queerest people she had ever seen|the queerest people she had ever seen,chunk_000::cluster_030|chunk_000::cluster_032,0,0
global_cluster_000029,1,6,these people,these people,chunk_000::cluster_031,0,0
global_cluster_000030,1,1,the grown folk she had always been used to,the grown folk she had always been used to,chunk_000::cluster_033,0,0
global_cluster_000031,1,1,Three,three,chunk_000::cluster_034,0,0
global_cluster_000032,1,1,men,men,chunk_000::cluster_035,0,0
global_cluster_000033,1,16,Boq,boq,chunk_000::cluster_083,0,0
global_cluster_000034,1,1,a woman,a woman,chunk_000::cluster_036,0,0
global_cluster_000035,18,113,the Munchkins,a munchkin|one of the munchkins|some munchkin|the houses of the munchkins|the land of the munchkins|the munchkins|the rich munchkin,chunk_000::cluster_037|chunk_000::cluster_043|chunk_000::cluster_047|chunk_000::cluster_077|chunk_000::cluster_080|chunk_000::cluster_110|chunk_000::cluster_119|chunk_000::cluster_146|chunk_001::cluster_001|chunk_001::cluster_046|chunk_001::cluster_059|chunk_001::cluster_077|chunk_001::cluster_099|chunk_002::cluster_023|chunk_005::cluster_048|chunk_006::cluster_026|chunk_014::cluster_079|chunk_015::cluster_035,0,15
global_cluster_000036,17,66,we,we,chunk_000::cluster_038|chunk_000::cluster_042|chunk_000::cluster_105|chunk_001::cluster_087|chunk_002::cluster_011|chunk_003::cluster_058|chunk_004::cluster_017|chunk_006::cluster_000|chunk_006::cluster_011|chunk_007::cluster_005|chunk_008::cluster_023|chunk_010::cluster_050|chunk_010::cluster_053|chunk_012::cluster_065|chunk_013::cluster_012|chunk_013::cluster_090|chunk_014::cluster_036,0,14
global_cluster_000037,1,2,the people,the people,chunk_000::cluster_044,0,0
global_cluster_000038,3,3,a great sorceress,a great sorceress|a sorceress,chunk_000::cluster_039|chunk_000::cluster_131|chunk_001::cluster_060,0,1
