cluster_assertion_id,source_cluster_id,object_property_iri,target_cluster_id,support_relation_ids_json,aggregation_method,aggregated_score
assertion_3_leavesPlace_0,3,https://example.org/narrative-character-ontology#leavesPlace,0,"[""rel_818_6551_821"", ""rel_829_6611_830"", ""rel_3346_21685_3350"", ""rel_3535_22875_3536"", ""rel_6567_41232_6568"", ""rel_7372_46950_7373""]",multi_label_noisy_or_by_cluster_pair,0.9951131065773151
assertion_3_travelsTo_0,3,https://example.org/narrative-character-ontology#travelsTo,0,"[""rel_559_5123_560"", ""rel_3338_21656_3339"", ""rel_3644_23455_3646""]",multi_label_noisy_or_by_cluster_pair,0.9895488265330555
assertion_3_travelsTo_2,3,https://example.org/narrative-character-ontology#travelsTo,2,"[""rel_3380_21920_3381"", ""rel_3481_22435_3482"", ""rel_3644_23455_3647"", ""rel_6401_40163_6402""]",multi_label_noisy_or_by_cluster_pair,0.9310230386252086
assertion_3_rulesOver_2,3,https://example.org/narrative-character-ontology#rulesOver,2,"[""rel_3338_21656_3340"", ""rel_3346_21685_3351"", ""rel_6115_38334_6116""]",multi_label_noisy_or_by_cluster_pair,0.8958009910640496
assertion_3_usesObject_4,3,https://example.org/narrative-character-ontology#usesObject,4,"[""rel_35_563_36"", ""rel_55_830_56"", ""rel_76_1115_77"", ""rel_446_4166_447"", ""rel_2625_17567_2627"", ""rel_3352_21694_3354"", ""rel_4475_27787_4476"", ""rel_6230_39298_6231"", ""rel_6235_39333_6236"", ""rel_6238_39337_6239"", ""rel_7505_47732_7506""]",multi_label_noisy_or_by_cluster_pair,0.999592388933477
assertion_3_possessesObject_4,3,https://example.org/narrative-character-ontology#possessesObject,4,"[""rel_1999_13325_2000"", ""rel_2781_18560_2782""]",multi_label_noisy_or_by_cluster_pair,0.9934071898903221
assertion_3_usesObject_5,3,https://example.org/narrative-character-ontology#usesObject,5,"[""rel_209_2515_210"", ""rel_258_3007_259"", ""rel_562_5139_564""]",multi_label_noisy_or_by_cluster_pair,0.8519316918021821
assertion_3_usesObject_7,3,https://example.org/narrative-character-ontology#usesObject,7,"[""rel_562_5139_565"", ""rel_3352_21694_3353"", ""rel_3352_21694_3356"", ""rel_4147_25866_4149"", ""rel_4292_26569_4296""]",multi_label_noisy_or_by_cluster_pair,0.940845235339665
assertion_3_deceives_8,3,https://example.org/narrative-character-ontology#deceives,8,"[""rel_3682_23627_3683"", ""rel_3689_23656_3692"", ""rel_3776_23916_3777"", ""rel_3832_24284_3833"", ""rel_3937_24762_3938""]",multi_label_noisy_or_by_cluster_pair,0.7653242493370989
assertion_3_guides_9,3,https://example.org/narrative-character-ontology#guides,9,"[""rel_375_3689_376"", ""rel_3500_22664_3501"", ""rel_3507_22707_3508"", ""rel_3598_23239_3599"", ""rel_3682_23627_3684"", ""rel_3776_23916_3778"", ""rel_3810_24102_3811"", ""rel_3832_24284_3834"", ""rel_5995_37350_5996"", ""rel_6008_37445_6010""]",multi_label_noisy_or_by_cluster_pair,0.9649538275747019
