cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
335,the Winged Monkeys,0,5349,the Winged Monkeys,27111,27114,1091,proper_name_to_canonical,False,"Whoever owned it could call three times upon [[the Winged Monkeys]], who would obey any order they were given.","Whoever owned it could call three times upon the Winged Monkeys, who would obey any order they were given.","Whoever owned it could call three times upon the Winged Monkeys, who would obey any order they were given.","Whoever owned it could call three times upon the Winged Monkeys, who would obey any order they were given.",1,9.954754400008824,0.06287148594856262,0.32273608446121216,0.6143923997879028,0.7597896456718445,0.024168340489268303,0.21604208648204803,0.13001428544521332,0.38550665974617004,0.48447901010513306,0.7553504109382629,0.022021638229489326,0.22262796759605408,0.03113430365920067,0.5502542853355408,0.4186113774776459,0.0622185654938221,0.1356326788663864,0.8021487593650818
335,the Winged Monkeys,1,5350,they,27120,27121,1091,third_person_subject_pronoun_to_canonical,True,"Whoever owned it could call three times upon the Winged Monkeys, who would obey any order [[they]] were given.","Whoever owned it could call three times upon the Winged Monkeys, who would obey any order the Winged Monkeys were given.","Whoever owned it could call three times upon the Winged Monkeys, who would obey any order the Winged Monkeys were given.","Whoever owned it could call three times upon the Winged Monkeys, who would obey any order the Winged Monkeys were given.",1,9.954754400008824,0.12226437032222748,0.2944449186325073,0.583290696144104,0.7598221898078918,0.035973820835351944,0.2042040079832077,0.1671847701072693,0.3983231484889984,0.4344920814037323,0.8431299328804016,0.024247001856565475,0.13262315094470978,0.052768077701330185,0.5922182202339172,0.35501372814178467,0.06083197146654129,0.1708158552646637,0.768352210521698
335,the Winged Monkeys,2,5366,The Winged Monkeys,27170,27173,1095,proper_name_to_canonical,True,[[The Winged Monkeys]] had helped her do this.,the Winged Monkeys had helped her do this.,the Winged Monkeys had helped her do this.,the Winged Monkeys had helped her do this.,1,9.954754400008824,0.4563540518283844,0.31135842204093933,0.23228752613067627,0.2958460748195648,0.40874093770980835,0.2954130470752716,0.36950331926345825,0.42322415113449097,0.20727258920669556,0.9181910157203674,0.023411232978105545,0.0583978146314621,0.09912043809890747,0.75179123878479,0.1490883082151413,0.1746423989534378,0.5428177714347839,0.28253984451293945
335,the Winged Monkeys,3,5377,The Winged Monkeys,27204,27207,1097,proper_name_to_canonical,True,[[The Winged Monkeys]] had also helped her in doing this.,the Winged Monkeys had also helped her in doing this.,the Winged Monkeys had also helped her in doing this.,the Winged Monkeys had also helped her in doing this.,1,9.954754400008824,0.46120932698249817,0.24304024875164032,0.2957504689693451,0.3494960069656372,0.31636062264442444,0.33414340019226074,0.32449886202812195,0.4220397174358368,0.25346145033836365,0.9475868344306946,0.010123465210199356,0.042289700359106064,0.0810299813747406,0.7261018753051758,0.19286814332008362,0.18511712551116943,0.5194274187088013,0.2954554855823517
335,the Winged Monkeys,4,5433,the Winged Monkeys,27575,27578,1111,proper_name_to_canonical,False,"Then, with a great deal of chattering and noise, [[the Winged Monkeys]] flew away to the place where Dorothy and her friends were walking.","Then, with a great deal of chattering and noise, the Winged Monkeys flew away to the place where Dorothy and her friends were walking.","Then, with a great deal of chattering and noise, the Winged Monkeys flew away to the place where Dorothy and her friends were walking.","Then, with a great deal of chattering and noise, the Winged Monkeys flew away to the place where Dorothy and her friends were walking.",1,9.954754400008824,0.5189027190208435,0.19404184818267822,0.28705543279647827,0.06841852515935898,0.2925085723400116,0.6390729546546936,0.9177663326263428,0.02469765953719616,0.057536039501428604,0.39841049909591675,0.14764446020126343,0.45394501090049744,0.2642689347267151,0.22748060524463654,0.5082504153251648,0.043264277279376984,0.3234504461288452,0.6332852840423584
335,the Winged Monkeys,5,5438,Some of the Monkeys,27592,27596,1112,proper_name_to_canonical,True,[[Some of the Monkeys]] seized the Tin Woodman and carried him through the air until they were over a country thickly covered with sharp rocks.,the Winged Monkeys seized the Tin Woodman and carried him through the air until they were over a country thickly covered with sharp rocks.,the Winged Monkeys seized the Tin Woodman and carried him through the air until they were over a country thickly covered with sharp rocks.,the Winged Monkeys seized the Tin Woodman and carried him through the air until they were over a country thickly covered with sharp rocks.,1,9.954754400008824,0.5625197887420654,0.3114123046398163,0.12606792151927948,0.16967058181762695,0.3556368350982666,0.47469258308410645,0.7290245890617371,0.18564727902412415,0.08532818406820297,0.25170859694480896,0.4183543026447296,0.32993707060813904,0.11567161232233047,0.57620769739151,0.3081206977367401,0.17061805725097656,0.10709638148546219,0.7222855687141418
335,the Winged Monkeys,6,5442,they,27607,27608,1112,third_person_subject_pronoun_to_canonical,True,Some of the Monkeys seized the Tin Woodman and carried him through the air until [[they]] were over a country thickly covered with sharp rocks.,Some of the Monkeys seized the Tin Woodman and carried him through the air until the Winged Monkeys were over a country thickly covered with sharp rocks.,Some of the Monkeys seized the Tin Woodman and carried him through the air until the Winged Monkeys were over a country thickly covered with sharp rocks.,Some of the Monkeys seized the Tin Woodman and carried him through the air until the Winged Monkeys were over a country thickly covered with sharp rocks.,1,9.954754400008824,0.5948079228401184,0.29792219400405884,0.10726988315582275,0.1849082112312317,0.36549627780914307,0.44959551095962524,0.7696262001991272,0.14711901545524597,0.08325481414794922,0.35533690452575684,0.5106458067893982,0.13401727378368378,0.13363316655158997,0.5933717489242554,0.27299511432647705,0.22148020565509796,0.29934680461883545,0.47917303442955017
335,the Winged Monkeys,7,5445,they,27619,27620,1113,third_person_subject_pronoun_to_canonical,True,"Here [[they]] dropped the poor Woodman, who fell a great distance to the rocks, where he lay so battered and dented that he could neither move nor groan.","Here the Winged Monkeys dropped the poor Woodman, who fell a great distance to the rocks, where he lay so battered and dented that he could neither move nor groan.","Here the Winged Monkeys dropped the poor Woodman, who fell a great distance to the rocks, where he lay so battered and dented that he could neither move nor groan.","Here the Winged Monkeys dropped the poor Woodman, who fell a great distance to the rocks, where he lay so battered and dented that he could neither move nor groan.",1,9.954754400008824,0.10821198672056198,0.38552266359329224,0.5062653422355652,0.03430262953042984,0.26483482122421265,0.7008625864982605,0.07351166754961014,0.36263301968574524,0.5638552904129028,0.07404707372188568,0.44286954402923584,0.4830833971500397,0.09215076267719269,0.5768916606903076,0.33095765113830566,0.07863666862249374,0.23922079801559448,0.6821424961090088
335,the Winged Monkeys,8,5454,their,27660,27661,1114,third_person_possessive_pronoun_to_canonical_possessive,True,"Others of the Monkeys caught the Scarecrow, and with [[their]] long fingers pulled all of the straw out of his clothes and head.","Others of the Monkeys caught the Scarecrow, and with the Winged Monkeys' long fingers pulled all of the straw out of his clothes and head.","Others of the Monkeys caught the Scarecrow, and with the Winged Monkeys' long fingers pulled all of the straw out of his clothes and head.","Others of the Monkeys caught the Scarecrow, and with the Winged Monkeys' long fingers pulled all of the straw out of his clothes and head.",1,9.954754400008824,0.6705272197723389,0.14061878621578217,0.18885403871536255,0.311605840921402,0.37403756380081177,0.31435662508010864,0.5850406885147095,0.1846764236688614,0.23028285801410675,0.8812278509140015,0.04765358194708824,0.07111857086420059,0.04387933015823364,0.6087003946304321,0.34742024540901184,0.08055917173624039,0.24886777997016907,0.6705730557441711
335,the Winged Monkeys,9,5457,They,27675,27676,1115,proper_name_to_canonical,True,[[They]] made his hat and boots and clothes into a small bundle and threw it into the top branches of a tall tree.,the Winged Monkeys made his hat and boots and clothes into a small bundle and threw it into the top branches of a tall tree.,the Winged Monkeys made his hat and boots and clothes into a small bundle and threw it into the top branches of a tall tree.,the Winged Monkeys made his hat and boots and clothes into a small bundle and threw it into the top branches of a tall tree.,1,9.954754400008824,0.27857735753059387,0.5188018083572388,0.20262083411216736,0.28873440623283386,0.48106640577316284,0.23019914329051971,0.10271622240543365,0.5490774512290955,0.3482063114643097,0.5037533044815063,0.38154321908950806,0.1147034764289856,0.33328700065612793,0.6066068410873413,0.06010621786117554,0.07681241631507874,0.333006888628006,0.5901806950569153
