local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_000::cluster_000::mention_000,chunk_000::cluster_000,chunk_000,0,0,0,3,6,3,6,the solar system,5,5,core,
chunk_000::cluster_001::mention_000,chunk_000::cluster_001,chunk_000,0,1,0,7,10,7,10,G. P. Kuiper,9,9,core,
chunk_000::cluster_002::mention_000,chunk_000::cluster_002,chunk_000,0,2,0,36,38,36,38,the Sun,37,37,core,
chunk_000::cluster_002::mention_001,chunk_000::cluster_002,chunk_000,0,2,1,44,45,44,45,it,44,44,core,
chunk_000::cluster_002::mention_002,chunk_000::cluster_002,chunk_000,0,2,2,49,50,49,50,its,49,49,core,
chunk_000::cluster_002::mention_003,chunk_000::cluster_002,chunk_000,0,2,3,69,71,69,71,the Sun,70,70,core,
chunk_000::cluster_002::mention_004,chunk_000::cluster_002,chunk_000,0,2,4,3703,3705,3703,3705,the Sun,3704,3704,core,
chunk_000::cluster_002::mention_005,chunk_000::cluster_002,chunk_000,0,2,5,4023,4026,4023,4026,that first Sun,4025,4025,core,
chunk_000::cluster_002::mention_006,chunk_000::cluster_002,chunk_000,0,2,6,4069,4071,4069,4071,the Sun,4070,4070,core,
chunk_000::cluster_002::mention_007,chunk_000::cluster_002,chunk_000,0,2,7,4438,4440,4438,4440,The Sun,4439,4439,core,
chunk_000::cluster_003::mention_000,chunk_000::cluster_003,chunk_000,0,3,0,85,87,85,87,old Qfwfq,86,86,core,
chunk_000::cluster_003::mention_001,chunk_000::cluster_003,chunk_000,0,3,1,90,91,90,91,I,90,90,core,
chunk_000::cluster_003::mention_002,chunk_000::cluster_003,chunk_000,0,3,2,96,97,96,97,I,96,96,core,
chunk_000::cluster_003::mention_003,chunk_000::cluster_003,chunk_000,0,3,3,141,142,141,142,I,141,141,core,
chunk_000::cluster_003::mention_004,chunk_000::cluster_003,chunk_000,0,3,4,143,144,143,144,I,143,143,core,
chunk_000::cluster_003::mention_005,chunk_000::cluster_003,chunk_000,0,3,5,423,424,423,424,My,423,423,core,
