local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_013::cluster_000::mention_000,chunk_013::cluster_000,chunk_013,13,0,0,3,4,38808,38809,I,3,38808,left_overlap,38808:38809:i
chunk_013::cluster_000::mention_001,chunk_013::cluster_000,chunk_013,13,0,1,14,15,38819,38820,Dorothy,14,38819,left_overlap,38819:38820:dorothy
chunk_013::cluster_000::mention_002,chunk_013::cluster_000,chunk_013,13,0,2,19,20,38824,38825,you,19,38824,left_overlap,38824:38825:you
chunk_013::cluster_000::mention_003,chunk_013::cluster_000,chunk_013,13,0,3,29,30,38834,38835,you,29,38834,left_overlap,38834:38835:you
chunk_013::cluster_000::mention_004,chunk_013::cluster_000,chunk_013,13,0,4,50,51,38855,38856,Dorothy,50,38855,left_overlap,38855:38856:dorothy
chunk_013::cluster_000::mention_005,chunk_013::cluster_000,chunk_013,13,0,5,70,72,38875,38877,the girl,71,38876,left_overlap,38875:38877:the girl
chunk_013::cluster_000::mention_006,chunk_013::cluster_000,chunk_013,13,0,6,469,470,39274,39275,Dorothy,469,39274,left_overlap,39274:39275:dorothy
chunk_013::cluster_000::mention_007,chunk_013::cluster_000,chunk_013,13,0,7,490,491,39295,39296,I,490,39295,left_overlap,39295:39296:i
chunk_013::cluster_000::mention_008,chunk_013::cluster_000,chunk_013,13,0,8,499,500,39304,39305,Dorothy,499,39304,left_overlap,39304:39305:dorothy
chunk_013::cluster_000::mention_009,chunk_013::cluster_000,chunk_013,13,0,9,507,508,39312,39313,her,507,39312,left_overlap,39312:39313:her
chunk_013::cluster_000::mention_010,chunk_013::cluster_000,chunk_013,13,0,10,525,526,39330,39331,Dorothy,525,39330,left_overlap,39330:39331:dorothy
chunk_013::cluster_000::mention_011,chunk_013::cluster_000,chunk_013,13,0,11,531,532,39336,39337,She,531,39336,left_overlap,39336:39337:she
chunk_013::cluster_000::mention_012,chunk_013::cluster_000,chunk_013,13,0,12,542,543,39347,39348,She,542,39347,left_overlap,39347:39348:she
chunk_013::cluster_000::mention_013,chunk_013::cluster_000,chunk_013,13,0,13,560,561,39365,39366,her,560,39365,left_overlap,39365:39366:her
chunk_013::cluster_000::mention_014,chunk_013::cluster_000,chunk_013,13,0,14,581,582,39386,39387,her,581,39386,left_overlap,39386:39387:her
chunk_013::cluster_000::mention_015,chunk_013::cluster_000,chunk_013,13,0,15,589,590,39394,39395,she,589,39394,left_overlap,39394:39395:she
chunk_013::cluster_000::mention_016,chunk_013::cluster_000,chunk_013,13,0,16,593,594,39398,39399,I,593,39398,left_overlap,39398:39399:i
chunk_013::cluster_000::mention_017,chunk_013::cluster_000,chunk_013,13,0,17,609,611,39414,39416,my dear,610,39415,left_overlap,39414:39416:my dear
chunk_013::cluster_000::mention_018,chunk_013::cluster_000,chunk_013,13,0,18,771,772,39576,39577,Dorothy,771,39576,left_overlap,39576:39577:dorothy
chunk_013::cluster_000::mention_019,chunk_013::cluster_000,chunk_013,13,0,19,778,779,39583,39584,her,778,39583,left_overlap,39583:39584:her
chunk_013::cluster_000::mention_020,chunk_013::cluster_000,chunk_013,13,0,20,789,790,39594,39595,she,789,39594,left_overlap,39594:39595:she
chunk_013::cluster_000::mention_021,chunk_013::cluster_000,chunk_013,13,0,21,794,795,39599,39600,she,794,39599,left_overlap,39599:39600:she
chunk_013::cluster_000::mention_022,chunk_013::cluster_000,chunk_013,13,0,22,797,798,39602,39603,she,797,39602,left_overlap,39602:39603:she
chunk_013::cluster_000::mention_023,chunk_013::cluster_000,chunk_013,13,0,23,807,808,39612,39613,she,807,39612,left_overlap,39612:39613:she
chunk_013::cluster_000::mention_024,chunk_013::cluster_000,chunk_013,13,0,24,818,819,39623,39624,her,818,39623,left_overlap,39623:39624:her
chunk_013::cluster_000::mention_025,chunk_013::cluster_000,chunk_013,13,0,25,827,828,39632,39633,her,827,39632,left_overlap,39632:39633:her
chunk_013::cluster_000::mention_026,chunk_013::cluster_000,chunk_013,13,0,26,866,867,39671,39672,you,866,39671,left_overlap,39671:39672:you
chunk_013::cluster_000::mention_027,chunk_013::cluster_000,chunk_013,13,0,27,888,889,39693,39694,she,888,39693,left_overlap,39693:39694:she
chunk_013::cluster_000::mention_028,chunk_013::cluster_000,chunk_013,13,0,28,908,909,39713,39714,she,908,39713,left_overlap,39713:39714:she
chunk_013::cluster_000::mention_029,chunk_013::cluster_000,chunk_013,13,0,29,928,929,39733,39734,her,928,39733,left_overlap,39733:39734:her
chunk_013::cluster_000::mention_030,chunk_013::cluster_000,chunk_013,13,0,30,1200,1201,40005,40006,Dorothy,1200,40005,left_overlap,40005:40006:dorothy
chunk_013::cluster_000::mention_031,chunk_013::cluster_000,chunk_013,13,0,31,1229,1230,40034,40035,I,1229,40034,left_overlap,40034:40035:i
chunk_013::cluster_000::mention_032,chunk_013::cluster_000,chunk_013,13,0,32,1239,1240,40044,40045,Dorothy,1239,40044,left_overlap,40044:40045:dorothy
chunk_013::cluster_000::mention_033,chunk_013::cluster_000,chunk_013,13,0,33,1242,1243,40047,40048,I,1242,40047,left_overlap,40047:40048:i
chunk_013::cluster_000::mention_034,chunk_013::cluster_000,chunk_013,13,0,34,1326,1327,40131,40132,I,1326,40131,left_overlap,40131:40132:i
chunk_013::cluster_000::mention_035,chunk_013::cluster_000,chunk_013,13,0,35,1334,1335,40139,40140,Dorothy,1334,40139,left_overlap,40139:40140:dorothy
chunk_013::cluster_000::mention_036,chunk_013::cluster_000,chunk_013,13,0,36,1344,1345,40149,40150,I,1344,40149,left_overlap,40149:40150:i
chunk_013::cluster_000::mention_037,chunk_013::cluster_000,chunk_013,13,0,37,1357,1358,40162,40163,she,1357,40162,left_overlap,40162:40163:she
chunk_013::cluster_000::mention_038,chunk_013::cluster_000,chunk_013,13,0,38,1364,1365,40169,40170,she,1364,40169,left_overlap,40169:40170:she
chunk_013::cluster_000::mention_039,chunk_013::cluster_000,chunk_013,13,0,39,1386,1387,40191,40192,her,1386,40191,left_overlap,40191:40192:her
chunk_013::cluster_000::mention_040,chunk_013::cluster_000,chunk_013,13,0,40,1395,1396,40200,40201,you,1395,40200,left_overlap,40200:40201:you
