local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_004::cluster_000,chunk_004,4,0,Dorothy,335
chunk_004::cluster_001,chunk_004,4,1,the Lion,154
chunk_004::cluster_002,chunk_004,4,2,the road,13
chunk_004::cluster_003,chunk_004,4,3,the travelers,154
chunk_004::cluster_004,chunk_004,4,4,Toto,27
chunk_004::cluster_005,chunk_004,4,5,any living creature,1
chunk_004::cluster_006,chunk_004,4,6,You,1
chunk_004::cluster_007,chunk_004,4,7,you,1
chunk_004::cluster_008,chunk_004,4,8,the forest,9
chunk_004::cluster_009,chunk_004,4,9,no houses,1
chunk_004::cluster_010,chunk_004,4,10,you,1
chunk_004::cluster_011,chunk_004,4,11,you,5
chunk_004::cluster_012,chunk_004,4,12,no one,1
chunk_004::cluster_013,chunk_004,4,13,a little rippling brook,1
chunk_004::cluster_014,chunk_004,4,14,the gulf,15
chunk_004::cluster_015,chunk_004,4,15,a very wide ditch,1
chunk_004::cluster_016,chunk_004,4,16,none of them,1
chunk_004::cluster_017,chunk_004,4,17,we,1
chunk_004::cluster_018,chunk_004,4,18,his,1
chunk_004::cluster_019,chunk_004,4,19,the woods,1
chunk_004::cluster_020,chunk_004,4,20,the depths of the forest,1
chunk_004::cluster_021,chunk_004,4,21,the Kalidahs,27
chunk_004::cluster_022,chunk_004,4,22,another gulf across the road,1
chunk_004::cluster_023,chunk_004,4,23,this queer bridge,1
chunk_004::cluster_024,chunk_004,4,24,them,1
chunk_004::cluster_025,chunk_004,4,25,the river,24
chunk_004::cluster_026,chunk_004,4,26,the country,5
chunk_004::cluster_027,chunk_004,4,27,the Emerald City,8
chunk_004::cluster_028,chunk_004,4,28,Oz,3
chunk_004::cluster_029,chunk_004,4,29,green meadows dotted with bright flowers,1
chunk_004::cluster_030,chunk_004,4,30,her own home,1
chunk_004::cluster_031,chunk_004,4,31,Our,1
chunk_004::cluster_032,chunk_004,4,32,a princess,1
chunk_004::cluster_033,chunk_004,4,33,the dark forest they had passed safely through,1
chunk_004::cluster_034,chunk_004,4,34,"a lovely, sunny country that seemed to beckon them on to the Emerald City",1
chunk_004::cluster_035,chunk_004,4,35,the raft,10
chunk_004::cluster_036,chunk_004,4,36,the land,1
chunk_004::cluster_037,chunk_004,4,37,the country of the Wicked Witch of the West,1
chunk_004::cluster_038,chunk_004,4,38,the Wicked Witch of the West,3
chunk_004::cluster_039,chunk_004,4,39,her slaves,1
chunk_004::cluster_040,chunk_004,4,40,a cornfield,1
chunk_004::cluster_041,chunk_004,4,41,a Scarecrow stuck on a pole in the middle of a river,1
chunk_004::cluster_042,chunk_004,4,42,the shore,3
chunk_004::cluster_043,chunk_004,4,43,the riverbank,2
chunk_004::cluster_044,chunk_004,4,44,the bank,3
chunk_004::cluster_045,chunk_004,4,45,the road from which the river had carried them,1
chunk_004::cluster_046,chunk_004,4,46,the Stork,29
chunk_004::cluster_047,chunk_004,4,47,my friends,1
chunk_004::cluster_048,chunk_004,4,48,anyone in trouble,1
chunk_004::cluster_049,chunk_004,4,49,my babies,1
chunk_004::cluster_050,chunk_004,4,50,a great meadow of poppies,1
chunk_004::cluster_051,chunk_004,4,51,anyone who breathes it,1
chunk_004::cluster_052,chunk_004,4,52,the sleeper,2
chunk_004::cluster_053,chunk_004,4,53,the land,2
chunk_004::cluster_055,chunk_004,4,55,beautiful green fields,1
chunk_004::cluster_056,chunk_004,4,56,beautiful green fields before them,1
chunk_004::cluster_057,chunk_004,4,57,a very good comrade,1
chunk_004::cluster_058,chunk_004,4,58,one so cowardly,1
chunk_004::cluster_059,chunk_004,4,59,a friend,1
chunk_004::cluster_060,chunk_004,4,60,a Queen,1
chunk_004::cluster_061,chunk_004,4,61,the Queen of all the Field Mice,1
chunk_004::cluster_062,chunk_004,4,62,the mice,21
chunk_004::cluster_063,chunk_004,4,63,Kansas,2
chunk_004::cluster_064,chunk_004,4,64,a coward,1
chunk_004::cluster_065,chunk_004,4,65,anyone who is our friend,1
chunk_004::cluster_066,chunk_004,4,66,our friend,1
chunk_004::cluster_067,chunk_004,4,67,all her people,1
chunk_004::cluster_068,chunk_004,4,68,her people,1
chunk_004::cluster_069,chunk_004,4,69,the riverside,1
