local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_000::cluster_000,chunk_000,0,0,Igraine,304
chunk_000::cluster_001,chunk_000,0,1,priestess,1
chunk_000::cluster_002,chunk_000,0,2,wise-woman,2
chunk_000::cluster_003,chunk_000,0,3,queen,1
chunk_000::cluster_004,chunk_000,0,4,the Christians,1
chunk_000::cluster_005,chunk_000,0,5,the world of Fairy,1
chunk_000::cluster_006,chunk_000,0,6,their God,14
chunk_000::cluster_007,chunk_000,0,7,the Mother,11
chunk_000::cluster_008,chunk_000,0,8,the world,8
chunk_000::cluster_009,chunk_000,0,9,a demon,1
chunk_000::cluster_010,chunk_000,0,10,the priests,46
chunk_000::cluster_011,chunk_000,0,11,the Lady of Nazareth,1
chunk_000::cluster_012,chunk_000,0,12,a virgin,1
chunk_000::cluster_013,chunk_000,0,13,mankind,1
chunk_000::cluster_014,chunk_000,0,14,Gorlois,90
chunk_000::cluster_015,chunk_000,0,15,my lover,1
chunk_000::cluster_016,chunk_000,0,16,king who was,1
chunk_000::cluster_017,chunk_000,0,17,king who shall be,1
chunk_000::cluster_018,chunk_000,0,18,the common folk,1
chunk_000::cluster_019,chunk_000,0,19,the Holy Isle of Avalon,5
chunk_000::cluster_020,chunk_000,0,20,their saints,1
chunk_000::cluster_021,chunk_000,0,21,a traveller,1
chunk_000::cluster_022,chunk_000,0,22,he,1
chunk_000::cluster_023,chunk_000,0,23,his,1
chunk_000::cluster_024,chunk_000,0,24,his barge,1
chunk_000::cluster_025,chunk_000,0,25,Glastonbury of the monks,1
chunk_000::cluster_026,chunk_000,0,26,the monks,1
chunk_000::cluster_027,chunk_000,0,27,the worlds,1
chunk_000::cluster_028,chunk_000,0,28,the traveller,1
chunk_000::cluster_029,chunk_000,0,29,all educated men,1
chunk_000::cluster_030,chunk_000,0,30,our,1
chunk_000::cluster_031,chunk_000,0,31,men,1
chunk_000::cluster_032,chunk_000,0,32,we,1
chunk_000::cluster_033,chunk_000,0,33,the world around us,1
chunk_000::cluster_034,chunk_000,0,34,us,1
chunk_000::cluster_035,chunk_000,0,35,"their God, who created the world once and for all to be unchanging",1
chunk_000::cluster_036,chunk_000,0,36,men,1
chunk_000::cluster_037,chunk_000,0,37,another world lying in the darkness,1
chunk_000::cluster_038,chunk_000,0,38,that world,3
chunk_000::cluster_039,chunk_000,0,39,Satan,2
chunk_000::cluster_040,chunk_000,0,40,Hell,2
chunk_000::cluster_041,chunk_000,0,41,their slave-nuns,1
chunk_000::cluster_042,chunk_000,0,42,Arthur's court,1
chunk_000::cluster_043,chunk_000,0,43,Camelot,1
chunk_000::cluster_044,chunk_000,0,44,there,1
chunk_000::cluster_045,chunk_000,0,45,wise-woman,1
chunk_000::cluster_046,chunk_000,0,46,my great mistress,1
chunk_000::cluster_047,chunk_000,0,47,Lady of the Lake,5
chunk_000::cluster_048,chunk_000,0,48,the Priests,5
chunk_000::cluster_049,chunk_000,0,49,my enemy,1
chunk_000::cluster_050,chunk_000,0,50,the enemy of my Goddess,1
chunk_000::cluster_051,chunk_000,0,51,"a dying man in need of the Mother's aid, where all men come at last",1
chunk_000::cluster_052,chunk_000,0,52,all men,1
chunk_000::cluster_053,chunk_000,0,53,their ever- virgin Mary,1
chunk_000::cluster_054,chunk_000,0,54,the World Mother,1
chunk_000::cluster_055,chunk_000,0,55,foe,1
chunk_000::cluster_056,chunk_000,0,56,priestess,1
chunk_000::cluster_058,chunk_000,0,58,all men,1
chunk_000::cluster_059,chunk_000,0,59,"the barge which bore him away, not this time to the Isle of the Priests",1
chunk_000::cluster_060,chunk_000,0,60,the dark world behind our own,1
chunk_000::cluster_061,chunk_000,0,61,our,1
chunk_000::cluster_062,chunk_000,0,62,us,1
chunk_000::cluster_063,chunk_000,0,63,my hearer,1
chunk_000::cluster_064,chunk_000,0,64,men,1
chunk_000::cluster_065,chunk_000,0,65,women,1
chunk_000::cluster_066,chunk_000,0,66,they,1
chunk_000::cluster_067,chunk_000,0,67,the old road to Avalon,1
chunk_000::cluster_068,chunk_000,0,68,your,1
chunk_000::cluster_069,chunk_000,0,69,your,1
chunk_000::cluster_070,chunk_000,0,70,you,1
chunk_000::cluster_071,chunk_000,0,71,you,1
chunk_000::cluster_072,chunk_000,0,72,a priest,1
chunk_000::cluster_073,chunk_000,0,73,all the Gods,1
chunk_000::cluster_074,chunk_000,0,74,my own novices,1
chunk_000::cluster_075,chunk_000,0,75,every priestess who comes after me,1
chunk_000::cluster_076,chunk_000,0,76,all the Goddesses,1
chunk_000::cluster_077,chunk_000,0,77,one Goddess,1
chunk_000::cluster_078,chunk_000,0,78,one Initiator,1
chunk_000::cluster_079,chunk_000,0,79,every man,3
chunk_000::cluster_080,chunk_000,0,80,Avalon,4
chunk_000::cluster_081,chunk_000,0,81,the sea,15
chunk_000::cluster_082,chunk_000,0,82,the God within,1
chunk_000::cluster_083,chunk_000,0,83,the road to Glastonbury,1
chunk_000::cluster_084,chunk_000,0,84,Glastonbury,1
chunk_000::cluster_085,chunk_000,0,85,the road to Avalon,1
chunk_000::cluster_086,chunk_000,0,86,you,1
chunk_000::cluster_087,chunk_000,0,87,Tintagel,4
chunk_000::cluster_088,chunk_000,0,88,a haunted place,1
chunk_000::cluster_089,chunk_000,0,89,Lady of Duke Gorlois,1
chunk_000::cluster_090,chunk_000,0,90,the headland,1
chunk_000::cluster_091,chunk_000,0,91,no man,1
chunk_000::cluster_092,chunk_000,0,92,woman,1
chunk_000::cluster_093,chunk_000,0,93,woman within,1
chunk_000::cluster_094,chunk_000,0,94,the crags at the far end of the long causeway into the sea,1
chunk_000::cluster_095,chunk_000,0,95,the causeway,6
chunk_000::cluster_096,chunk_000,0,96,the ancient folk of Ys,1
chunk_000::cluster_097,chunk_000,0,97,the shoreline,1
chunk_000::cluster_098,chunk_000,0,98,land,1
chunk_000::cluster_099,chunk_000,0,99,the coast,1
chunk_000::cluster_100,chunk_000,0,100,water,1
chunk_000::cluster_101,chunk_000,0,101,the mainland,1
chunk_000::cluster_102,chunk_000,0,102,the herdsmen,3
chunk_000::cluster_103,chunk_000,0,103,Morgaine,57
chunk_000::cluster_104,chunk_000,0,104,the ladies of the castle,1
chunk_000::cluster_105,chunk_000,0,105,a few serving women,1
chunk_000::cluster_106,chunk_000,0,106,a few old men,1
chunk_000::cluster_107,chunk_000,0,107,them,1
chunk_000::cluster_108,chunk_000,0,108,the Ancient Ones,1
chunk_000::cluster_109,chunk_000,0,109,the lost lands of Lyonnesse and Ys,1
chunk_000::cluster_110,chunk_000,0,110,Lyonnesse,1
chunk_000::cluster_111,chunk_000,0,111,Ys,1
chunk_000::cluster_112,chunk_000,0,112,the fishermen,1
chunk_000::cluster_113,chunk_000,0,113,their,1
chunk_000::cluster_114,chunk_000,0,114,their old castles,1
chunk_000::cluster_115,chunk_000,0,115,they,1
chunk_000::cluster_116,chunk_000,0,116,the land,1
chunk_000::cluster_117,chunk_000,0,117,drowned lands to the west,1
chunk_000::cluster_118,chunk_000,0,118,a great land,1
chunk_000::cluster_119,chunk_000,0,119,there,1
chunk_000::cluster_120,chunk_000,0,120,savage raiders from over the sea,1
chunk_000::cluster_121,chunk_000,0,121,the wild shores of Erin,1
chunk_000::cluster_122,chunk_000,0,122,Erin,1
chunk_000::cluster_123,chunk_000,0,123,the North,1
chunk_000::cluster_124,chunk_000,0,124,Saxons,1
chunk_000::cluster_125,chunk_000,0,125,High King of Britain,1
chunk_000::cluster_126,chunk_000,0,126,Britain,4
chunk_000::cluster_127,chunk_000,0,127,the guards,1
chunk_000::cluster_128,chunk_000,0,128,soldiers in the fort at the landward end of the causeway,1
chunk_000::cluster_129,chunk_000,0,129,them,1
chunk_000::cluster_130,chunk_000,0,130,an army,1
chunk_000::cluster_131,chunk_000,0,131,the court,6
chunk_000::cluster_132,chunk_000,0,132,Viviane,117
chunk_000::cluster_133,chunk_000,0,133,ladies to wait upon her,1
chunk_000::cluster_134,chunk_000,0,134,a man of the Tribes,1
chunk_000::cluster_135,chunk_000,0,135,A daughter of the Holy Isle,1
chunk_000::cluster_136,chunk_000,0,136,her,1
chunk_000::cluster_137,chunk_000,0,137,her people,1
chunk_000::cluster_138,chunk_000,0,138,her,1
chunk_000::cluster_139,chunk_000,0,139,"a citizen who lived, even though Rome was gone from all of Britain, in Roman fashion",1
chunk_000::cluster_140,chunk_000,0,140,Rome,1
chunk_000::cluster_141,chunk_000,0,141,the Lady of the Lake,1
chunk_000::cluster_142,chunk_000,0,142,the Lady of the Holy Isle,1
chunk_000::cluster_143,chunk_000,0,143,the Devil,2
chunk_000::cluster_144,chunk_000,0,144,a priest of Christ,1
chunk_000::cluster_145,chunk_000,0,145,no college of Druids,1
chunk_000::cluster_146,chunk_000,0,146,a priest,1
chunk_000::cluster_147,chunk_000,0,147,a daughter of the Holy Isle,1
chunk_000::cluster_148,chunk_000,0,148,the Romanized barbarians,1
chunk_000::cluster_149,chunk_000,0,149,a well-educated lady,1
chunk_000::cluster_150,chunk_000,0,150,the small room off the court where there was sun on fine days,1
chunk_000::cluster_151,chunk_000,0,151,a waiting-woman,1
chunk_000::cluster_152,chunk_000,0,152,Every lady,1
chunk_000::cluster_153,chunk_000,0,153,guests,1
chunk_000::cluster_154,chunk_000,0,154,any rider with a message,1
chunk_000::cluster_156,chunk_000,0,156,no rider,1
chunk_000::cluster_157,chunk_000,0,157,our sister,2
chunk_000::cluster_158,chunk_000,0,158,Ettarr,20
chunk_000::cluster_159,chunk_000,0,159,our,1
chunk_000::cluster_160,chunk_000,0,160,the Lady of the Holy Isle,1
chunk_000::cluster_161,chunk_000,0,161,the Gods,1
chunk_000::cluster_162,chunk_000,0,162,"a tall, sturdy girl, just beginning to lengthen and ripen into womanhood",1
chunk_000::cluster_163,chunk_000,0,163,the herbwife,1
chunk_000::cluster_164,chunk_000,0,164,a great priestess,1
chunk_000::cluster_165,chunk_000,0,165,the narrow stairs,1
chunk_000::cluster_166,chunk_000,0,166,there,4
chunk_000::cluster_167,chunk_000,0,167,her waiting-woman,1
chunk_000::cluster_168,chunk_000,0,168,Gwennis,1
chunk_000::cluster_169,chunk_000,0,169,three women,1
chunk_000::cluster_170,chunk_000,0,170,a comer,1
chunk_000::cluster_171,chunk_000,0,171,a little girl,1
chunk_000::cluster_172,chunk_000,0,172,they,1
chunk_000::cluster_173,chunk_000,0,173,Rome,1
chunk_000::cluster_174,chunk_000,0,174,so many little children,1
chunk_000::cluster_175,chunk_000,0,175,these Romans,1
chunk_000::cluster_176,chunk_000,0,176,their,1
chunk_000::cluster_177,chunk_000,0,177,the mother,1
chunk_000::cluster_178,chunk_000,0,178,any man,1
chunk_000::cluster_179,chunk_000,0,179,any woman,1
chunk_000::cluster_180,chunk_000,0,180,any woman's child,1
chunk_000::cluster_181,chunk_000,0,181,their women,3
chunk_000::cluster_182,chunk_000,0,182,one man,1
chunk_000::cluster_183,chunk_000,0,183,a son,1
chunk_000::cluster_184,chunk_000,0,184,her dressing-woman,1
chunk_000::cluster_185,chunk_000,0,185,they,4
chunk_000::cluster_186,chunk_000,0,186,the son he wanted,1
chunk_000::cluster_187,chunk_000,0,187,the Tribes,2
chunk_000::cluster_188,chunk_000,0,188,the riders,3
chunk_000::cluster_189,chunk_000,0,189,Children fed on gruel,1
chunk_000::cluster_190,chunk_000,0,190,Children fed on cow's or mare's milk,1
chunk_000::cluster_191,chunk_000,0,191,a son,1
chunk_000::cluster_192,chunk_000,0,192,other bastard sons,1
chunk_000::cluster_193,chunk_000,0,193,one of whom,1
chunk_000::cluster_194,chunk_000,0,194,"the camp of the war duke, Uther",1
chunk_000::cluster_195,chunk_000,0,195,the war duke,1
chunk_000::cluster_196,chunk_000,0,196,Uther,1
chunk_000::cluster_197,chunk_000,0,197,the kitchen,1
chunk_000::cluster_198,chunk_000,0,198,a Piet,1
chunk_000::cluster_199,chunk_000,0,199,all of the Tribeswomen,1
chunk_000::cluster_200,chunk_000,0,200,the Tribeswomen,1
chunk_000::cluster_201,chunk_000,0,201,the Saxons,1
chunk_000::cluster_202,chunk_000,0,202,a young wife,1
chunk_000::cluster_203,chunk_000,0,203,their children,1
chunk_000::cluster_204,chunk_000,0,204,Christians,1
chunk_000::cluster_205,chunk_000,0,205,a daughter,1
chunk_000::cluster_206,chunk_000,0,206,their wives,1
chunk_000::cluster_207,chunk_000,0,207,a son,1
chunk_000::cluster_208,chunk_000,0,208,a woman of the Tribes,1
chunk_000::cluster_209,chunk_000,0,209,a daughter,1
chunk_000::cluster_210,chunk_000,0,210,guests,1
chunk_000::cluster_211,chunk_000,0,211,the cellars,1
chunk_000::cluster_212,chunk_000,0,212,her servants,4
chunk_000::cluster_213,chunk_000,0,213,most of them,1
chunk_000::cluster_214,chunk_000,0,214,her mother,7
chunk_000::cluster_215,chunk_000,0,215,Ambrosius Aurelianus,2
chunk_000::cluster_216,chunk_000,0,216,a great priestess,1
chunk_000::cluster_217,chunk_000,0,217,several children,1
chunk_000::cluster_218,chunk_000,0,218,her mother had borne those children,1
chunk_000::cluster_219,chunk_000,0,219,those children,1
chunk_000::cluster_220,chunk_000,0,220,a Tribeswoman,1
chunk_000::cluster_221,chunk_000,0,221,such fathers,1
chunk_000::cluster_222,chunk_000,0,222,a slave to some Roman whose customs gave him power over women and children,1
