relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_probabilities_json,selection_method
rel_4_103_5,4,103,103,110,5,2,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.17775014358204647, ""https://example.org/narrative-character-ontology#opposes"": 0.07319827427478277, ""https://example.org/narrative-character-ontology#guides"": 0.22349360098591572, ""https://example.org/narrative-character-ontology#follows"": 0.21767771453161383, ""https://example.org/narrative-character-ontology#fears"": 0.04630102192710142, ""https://example.org/narrative-character-ontology#deceives"": 0.10232282667382556, ""https://example.org/narrative-character-ontology#caresFor"": 0.15925641802471419}",nli_grouped_softmax
rel_14_178_17,14,178,178,185,17,2,0,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.29165953264676153, ""https://example.org/narrative-character-ontology#rulesOver"": 0.09039603620468918, ""https://example.org/narrative-character-ontology#locatedIn"": 0.25265690215262354, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.3652875289959257}",nli_grouped_softmax
rel_72_793_75,72,793,793,808,75,2,4,"{""https://example.org/narrative-character-ontology#trusts"": 0.10334433231150164, ""https://example.org/narrative-character-ontology#opposes"": 0.15788936557351477, ""https://example.org/narrative-character-ontology#guides"": 0.17613831549201295, ""https://example.org/narrative-character-ontology#follows"": 0.1491949656444234, ""https://example.org/narrative-character-ontology#fears"": 0.1484682502525905, ""https://example.org/narrative-character-ontology#deceives"": 0.05640724991701429, ""https://example.org/narrative-character-ontology#caresFor"": 0.20855752080894255}",nli_grouped_softmax
rel_165_1645_166,165,1645,1645,1646,166,4,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.16579961538985294, ""https://example.org/narrative-character-ontology#opposes"": 0.18514355284032516, ""https://example.org/narrative-character-ontology#guides"": 0.16322913060817731, ""https://example.org/narrative-character-ontology#follows"": 0.10990838009177974, ""https://example.org/narrative-character-ontology#fears"": 0.10125234441909345, ""https://example.org/narrative-character-ontology#deceives"": 0.15789840154114673, ""https://example.org/narrative-character-ontology#caresFor"": 0.11676857510962464}",nli_grouped_softmax
rel_182_1750_183,182,1750,1750,1751,183,2,5,"{""https://example.org/narrative-character-ontology#trusts"": 0.11775313624448722, ""https://example.org/narrative-character-ontology#opposes"": 0.12172854106167232, ""https://example.org/narrative-character-ontology#guides"": 0.2292025229269168, ""https://example.org/narrative-character-ontology#follows"": 0.21531584406735083, ""https://example.org/narrative-character-ontology#fears"": 0.10658907199030253, ""https://example.org/narrative-character-ontology#deceives"": 0.07983152625696513, ""https://example.org/narrative-character-ontology#caresFor"": 0.1295793574523053}",nli_grouped_softmax
rel_189_1771_190,189,1771,1771,1774,190,2,5,"{""https://example.org/narrative-character-ontology#trusts"": 0.09661974760362306, ""https://example.org/narrative-character-ontology#opposes"": 0.21604152765450083, ""https://example.org/narrative-character-ontology#guides"": 0.16355516505276507, ""https://example.org/narrative-character-ontology#follows"": 0.1588330196280588, ""https://example.org/narrative-character-ontology#fears"": 0.1101279114801125, ""https://example.org/narrative-character-ontology#deceives"": 0.07307499714038868, ""https://example.org/narrative-character-ontology#caresFor"": 0.18174763144055095}",nli_grouped_softmax
rel_286_2578_288,286,2578,2578,2586,288,8,0,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_325_3000_326,325,3000,3000,3002,326,9,2,"{""https://example.org/narrative-character-ontology#heals"": 0.1331255291576993, ""https://example.org/narrative-character-ontology#empowers"": 0.28127684176439993, ""https://example.org/narrative-character-ontology#curses"": 0.2970875529237128, ""https://example.org/narrative-character-ontology#corrupts"": 0.28851007615418794}",nli_grouped_softmax
rel_332_3079_333,332,3079,3079,3081,333,9,2,"{""https://example.org/narrative-character-ontology#heals"": 0.34534154654847793, ""https://example.org/narrative-character-ontology#empowers"": 0.27533028608673615, ""https://example.org/narrative-character-ontology#curses"": 0.23897760743704316, ""https://example.org/narrative-character-ontology#corrupts"": 0.14035055992774284}",nli_grouped_softmax
rel_375_3866_376,375,3866,3866,3867,376,2,4,"{""https://example.org/narrative-character-ontology#trusts"": 0.13735076890792491, ""https://example.org/narrative-character-ontology#opposes"": 0.17227645976927794, ""https://example.org/narrative-character-ontology#guides"": 0.17687932107238905, ""https://example.org/narrative-character-ontology#follows"": 0.13775375376031504, ""https://example.org/narrative-character-ontology#fears"": 0.07964793703869158, ""https://example.org/narrative-character-ontology#deceives"": 0.16503074018346608, ""https://example.org/narrative-character-ontology#caresFor"": 0.13106101926793548}",nli_grouped_softmax
