relation_mention_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_logits_json,selection_method
pred_1061_srcm_125_tgtm_126,125,1061,1061,1063,126,20,7,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
pred_1550_srcm_177_tgtm_178,177,1550,1550,1554,178,8,26,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
pred_1650_srcm_195_tgtm_196,195,1650,1650,1651,196,31,32,"{""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -1.5517578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": -1.025390625}",nli_grouped_softmax
pred_1946_srcm_234_tgtm_235,234,1946,1946,1947,235,8,39,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
pred_2204_srcm_262_tgtm_263,262,2204,2204,2205,263,20,35,"{""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": 0.0}",single_candidate_router
pred_2254_srcm_270_tgtm_271,270,2254,2254,2255,271,35,40,"{""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -1.1865234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": -1.326171875}",nli_grouped_softmax
pred_2295_srcm_279_tgtm_280,279,2295,2295,2297,280,4,42,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
pred_2315_srcm_282_tgtm_283,282,2315,2315,2316,283,35,43,"{""https://example.org/nlp-sdai/narrative-entity-ontology#participatesIn"": -0.0257720947265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": -1.271484375}",nli_grouped_softmax
pred_2462_srcm_305_tgtm_306,305,2462,2462,2464,306,50,42,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#containsPlace"": -1.7568359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#containedInPlace"": -1.625}",nli_grouped_softmax
pred_2496_srcm_313_tgtm_314,313,2496,2496,2498,314,51,52,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.4169921875, ""https://example.org/nlp-sdai/narrative-entity-ontology#containsPlace"": -1.9150390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#containedInPlace"": -1.7822265625}",nli_grouped_softmax
pred_2515_srcm_318_tgtm_319,318,2515,2515,2516,319,8,35,"{""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": 0.0}",single_candidate_router
pred_2596_srcm_331_tgtm_332,331,2596,2596,2598,332,54,1,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
