global_cluster_uid,local_cluster_uid,local_mention_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_000,chunk_000,0,64,0,8,9,8,9,Kansas,8,8,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_001,chunk_000,0,64,1,2598,2599,2598,2599,Kansas,2598,2598,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_002,chunk_000,0,64,2,2643,2644,2643,2644,Kansas,2643,2643,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_003,chunk_000,0,64,3,2651,2653,2651,2653,that country,2652,2652,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_004,chunk_000,0,64,4,2661,2662,2661,2662,it,2661,2661,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_005,chunk_000,0,64,5,3436,3438,3436,3438,the country,3437,3437,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_006,chunk_000,0,64,6,4258,4259,4258,4259,Kansas,4258,4258,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_007,chunk_000,0,64,7,4383,4386,4383,4386,her own country,4385,4385,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_008,chunk_000,0,64,8,4411,4413,4411,4413,the country,4412,4412,core,
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_009,chunk_000,0,64,9,5125,5126,5125,5126,Kansas,5125,5125,right_overlap,5125:5126:kansas
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_010,chunk_000,0,64,10,5320,5322,5320,5322,this country,5321,5321,right_overlap,5320:5322:this country
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_011,chunk_000,0,64,11,5389,5390,5389,5390,Kansas,5389,5389,right_overlap,5389:5390:kansas
global_cluster_000000,chunk_000::cluster_064,chunk_000::cluster_064::mention_012,chunk_000,0,64,12,5719,5720,5719,5720,Kansas,5719,5719,right_overlap,5719:5720:kansas
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_000,chunk_001,1,70,0,1253,1254,4258,4259,Kansas,1253,4258,left_overlap,4258:4259:kansas
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_001,chunk_001,1,70,1,2120,2121,5125,5126,Kansas,2120,5125,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_002,chunk_001,1,70,2,2384,2385,5389,5390,Kansas,2384,5389,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_003,chunk_001,1,70,3,2714,2715,5719,5720,Kansas,2714,5719,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_004,chunk_001,1,70,4,3550,3551,6555,6556,Kansas,3550,6555,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_005,chunk_001,1,70,5,3557,3558,6562,6563,there,3557,6562,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_006,chunk_001,1,70,6,3607,3608,6612,6613,Kansas,3607,6612,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_007,chunk_001,1,70,7,3644,3645,6649,6650,there,3644,6649,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_008,chunk_001,1,70,8,3662,3663,6667,6668,home,3662,6667,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_009,chunk_001,1,70,9,3708,3709,6713,6714,Kansas,3708,6713,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_010,chunk_001,1,70,10,3720,3721,6725,6726,Kansas,3720,6725,core,
global_cluster_000000,chunk_001::cluster_070,chunk_001::cluster_070::mention_011,chunk_001,1,70,11,5931,5932,8936,8937,Kansas,5931,8936,right_overlap,8936:8937:kansas
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_000,chunk_002,2,6,0,291,296,6531,6536,the country you came from,292,6532,left_overlap,6531:6536:the country you came from
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_001,chunk_002,2,6,1,315,316,6555,6556,Kansas,315,6555,left_overlap,6555:6556:kansas
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_002,chunk_002,2,6,2,322,323,6562,6563,there,322,6562,left_overlap,6562:6563:there
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_003,chunk_002,2,6,3,372,373,6612,6613,Kansas,372,6612,left_overlap,6612:6613:kansas
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_004,chunk_002,2,6,4,409,410,6649,6650,there,409,6649,left_overlap,6649:6650:there
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_005,chunk_002,2,6,5,427,428,6667,6668,home,427,6667,left_overlap,6667:6668:home
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_006,chunk_002,2,6,6,473,474,6713,6714,Kansas,473,6713,left_overlap,6713:6714:kansas
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_007,chunk_002,2,6,7,485,486,6725,6726,Kansas,485,6725,left_overlap,6725:6726:kansas
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_008,chunk_002,2,6,8,2696,2697,8936,8937,Kansas,2696,8936,core,
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_009,chunk_002,2,6,9,4173,4174,10413,10414,Kansas,4173,10413,core,
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_010,chunk_002,2,6,10,5560,5561,11800,11801,Kansas,5560,11800,right_overlap,11800:11801:kansas
global_cluster_000000,chunk_002::cluster_006,chunk_002::cluster_006::mention_011,chunk_002,2,6,11,5621,5622,11861,11862,Kansas,5621,11861,right_overlap,11861:11862:kansas
global_cluster_000000,chunk_003::cluster_044,chunk_003::cluster_044::mention_000,chunk_003,3,44,0,1189,1190,10413,10414,Kansas,1189,10413,left_overlap,10413:10414:kansas
global_cluster_000000,chunk_003::cluster_044,chunk_003::cluster_044::mention_001,chunk_003,3,44,1,2576,2577,11800,11801,Kansas,2576,11800,core,
global_cluster_000000,chunk_003::cluster_044,chunk_003::cluster_044::mention_002,chunk_003,3,44,2,2637,2638,11861,11862,Kansas,2637,11861,core,
global_cluster_000000,chunk_003::cluster_044,chunk_003::cluster_044::mention_003,chunk_003,3,44,3,5683,5684,14907,14908,Kansas,5683,14907,right_overlap,14907:14908:kansas
global_cluster_000000,chunk_004::cluster_063,chunk_004::cluster_063::mention_000,chunk_004,4,63,0,2866,2867,14907,14908,Kansas,2866,14907,core,
global_cluster_000000,chunk_004::cluster_063,chunk_004::cluster_063::mention_001,chunk_004,4,63,1,5437,5438,17478,17479,Kansas,5437,17478,right_overlap,17478:17479:kansas
global_cluster_000000,chunk_005::cluster_027,chunk_005::cluster_027::mention_000,chunk_005,5,27,0,8,9,14907,14908,Kansas,8,14907,left_overlap,14907:14908:kansas
global_cluster_000000,chunk_005::cluster_027,chunk_005::cluster_027::mention_001,chunk_005,5,27,1,2579,2580,17478,17479,Kansas,2579,17478,core,
global_cluster_000000,chunk_005::cluster_027,chunk_005::cluster_027::mention_002,chunk_005,5,27,2,5018,5019,19917,19918,Kansas,5018,19917,right_overlap,19917:19918:kansas
global_cluster_000000,chunk_005::cluster_027,chunk_005::cluster_027::mention_003,chunk_005,5,27,3,5028,5029,19927,19928,Kansas,5028,19927,right_overlap,19927:19928:kansas
global_cluster_000000,chunk_005::cluster_027,chunk_005::cluster_027::mention_004,chunk_005,5,27,4,5084,5085,19983,19984,Kansas,5084,19983,right_overlap,19983:19984:kansas
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_000,chunk_006,6,49,0,2082,2083,19917,19918,Kansas,2082,19917,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_001,chunk_006,6,49,1,2092,2093,19927,19928,Kansas,2092,19927,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_002,chunk_006,6,49,2,2116,2117,19951,19952,it,2116,19951,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_003,chunk_006,6,49,3,2125,2126,19960,19961,it,2125,19960,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_004,chunk_006,6,49,4,2148,2149,19983,19984,Kansas,2148,19983,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_005,chunk_006,6,49,5,2348,2350,20183,20185,her room,2349,20184,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_006,chunk_006,6,49,6,3608,3610,21443,21445,this room,3609,21444,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_007,chunk_006,6,49,7,3641,3642,21476,21477,here,3641,21476,core,
global_cluster_000000,chunk_006::cluster_049,chunk_006::cluster_049::mention_008,chunk_006,6,49,8,3822,3824,21657,21659,the room,3823,21658,core,
