rejected_global_cluster_uid,would_be_global_cluster_uid,merge_component_uid,rejection_reason,salience_percentile,salience_cutoff,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
rejected_global_cluster_000048,global_cluster_000058,merge_component_000130,below_global_cluster_salience_policy,0.95,57,3,12,the whole central part of the planet,the depths of the planet|the planet|the whole central part of the planet,chunk_000::cluster_086|chunk_000::cluster_088|chunk_000::cluster_090,0,0
rejected_global_cluster_000002,global_cluster_000003,merge_component_000002,below_global_cluster_salience_policy,0.95,57,1,8,the Sun,the sun,chunk_000::cluster_002,0,0
rejected_global_cluster_000032,global_cluster_000042,merge_component_000123,below_global_cluster_salience_policy,0.95,57,2,5,uncle,our uncles|uncle,chunk_000::cluster_062|chunk_000::cluster_067,0,0
rejected_global_cluster_000009,global_cluster_000016,merge_component_000121,below_global_cluster_salience_policy,0.95,57,3,4,they,they,chunk_000::cluster_013|chunk_000::cluster_015|chunk_000::cluster_030,0,0
rejected_global_cluster_000004,global_cluster_000008,merge_component_000021,below_global_cluster_salience_policy,0.95,57,1,3,my mother,my mother,chunk_000::cluster_021,0,0
rejected_global_cluster_000021,global_cluster_000029,merge_component_000101,below_global_cluster_salience_policy,0.95,57,3,3,Nobody,nobody,chunk_000::cluster_043|chunk_000::cluster_046|chunk_000::cluster_058,0,0
rejected_global_cluster_000023,global_cluster_000032,merge_component_000124,below_global_cluster_salience_policy,0.95,57,2,2,My little brothers,my little brothers|the brother,chunk_000::cluster_047|chunk_000::cluster_064,0,0
rejected_global_cluster_000026,global_cluster_000035,merge_component_000054,below_global_cluster_salience_policy,0.95,57,1,2,My grandchildren,my grandchildren,chunk_000::cluster_054,0,0
rejected_global_cluster_000027,global_cluster_000036,merge_component_000066,below_global_cluster_salience_policy,0.95,57,1,2,here,here,chunk_000::cluster_066,0,0
rejected_global_cluster_000028,global_cluster_000037,merge_component_000122,below_global_cluster_salience_policy,0.95,57,2,2,there,there,chunk_000::cluster_055|chunk_000::cluster_091,0,0
rejected_global_cluster_000031,global_cluster_000041,merge_component_000128,below_global_cluster_salience_policy,0.95,57,2,2,three of them,them|three of them,chunk_000::cluster_061|chunk_000::cluster_073,0,0
rejected_global_cluster_000035,global_cluster_000045,merge_component_000070,below_global_cluster_salience_policy,0.95,57,1,2,Fool,fool,chunk_000::cluster_070,0,0
