cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
7,Virginia,0,66,Miss Virginia E. Otis,741,745,20,proper_name_to_canonical,True,"[[Miss Virginia E. Otis]] was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in her large blue eyes.","Virginia was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in her large blue eyes.","Virginia was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in her large blue eyes.","Virginia was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in her large blue eyes.",1,17.317866600002162,0.8712846449379305,0.030625230478611428,0.0980901245834581,0.018951462067173984,0.14433753070272984,0.8367110072300962,0.22069351546279548,0.14165797935118585,0.6376485051860187,0.41508605652779584,0.062241683396340126,0.522672260075864,0.00818242076568877,0.6133173950156046,0.3785001842187068,0.09661490534061597,0.3339420262829388,0.5694430683764451
7,Virginia,1,67,her,765,766,20,third_person_possessive_pronoun_to_canonical_possessive,True,"Miss Virginia E. Otis was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in [[her]] large blue eyes.","Miss Virginia E. Otis was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in Virginia's large blue eyes.","Miss Virginia E. Otis was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in Virginia's large blue eyes.","Miss Virginia E. Otis was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in Virginia's large blue eyes.",1,17.317866600002162,0.9136441207660226,0.024815888163456312,0.06153999107052104,0.016769916554360918,0.14179072811981175,0.8414393553258273,0.3168142580843766,0.0967645307493979,0.5864212111662255,0.5015450213808978,0.04268408735544571,0.45577089126365655,0.006585068619214565,0.601809815575696,0.39160511580508933,0.10510789576912714,0.344972244756342,0.5499198594745308
7,Virginia,2,68,She,770,771,21,proper_name_to_canonical,True,"[[She]] was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","Virginia was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","Virginia was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","Virginia was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.",1,17.317866600002162,0.39797545077608415,0.07376198178571085,0.5282625674382051,0.07076388279790248,0.12214968001166591,0.8070864371904316,0.9890870381518387,0.004856782025679735,0.00605617982248153,0.632519805220595,0.039653542276393124,0.32782665250301185,0.004821402818989609,0.40021833652462413,0.5949602606563862,0.930306717901362,0.030345941139918144,0.03934734095871982
7,Virginia,3,69,her,784,785,21,third_person_possessive_pronoun_to_canonical_possessive,True,"She was a wonderful Amazon, and had once raced old Lord Bilton on [[her]] pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","She was a wonderful Amazon, and had once raced old Lord Bilton on Virginia's pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","She was a wonderful Amazon, and had once raced old Lord Bilton on Virginia's pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","She was a wonderful Amazon, and had once raced old Lord Bilton on Virginia's pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.",1,17.317866600002162,0.49116575444708793,0.11609384164504583,0.39274040390786635,0.1180994550367991,0.14526481088647838,0.7366357340767226,0.982093035748375,0.01010989017488189,0.007797074076743007,0.8770639283758769,0.023857239078903986,0.09907883254521904,0.01055736800418991,0.4837320010087292,0.5057106309870809,0.8510597662385108,0.057156822557813285,0.09178341120367588
7,Virginia,4,72,her,821,822,21,third_person_object_pronoun_to_canonical,True,"She was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for [[her]] on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","She was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for Virginia on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","She was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for Virginia on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.","She was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for Virginia on the spot, and was sent back to Eton that very night by his guardians, in floods of tears.",1,17.317866600002162,0.4260336222639227,0.0864694961567527,0.48749688157932464,0.09244964340138391,0.1447352610992936,0.7628150954993226,0.9896529388766195,0.005097751842641813,0.005249309280738686,0.7172176286433796,0.0401869929071226,0.24259537844949797,0.0066537607245656175,0.41508486718363374,0.5782613720918006,0.8667251806074858,0.04762485370579974,0.08564996568671435
7,Virginia,5,73,Virginia,845,846,22,proper_name_to_canonical,False,"After [[Virginia]] came the twins, who were usually called ""The Star and Stripes,"" as they were always getting swished.","After Virginia came the twins, who were usually called ""The Star and Stripes,"" as they were always getting swished.","After Virginia came the twins, who were usually called ""The Star and Stripes,"" as they were always getting swished.","After Virginia came the twins, who were usually called ""The Star and Stripes,"" as they were always getting swished.",1,17.317866600002162,0.17948537445864343,0.5395198960864306,0.2809947294549258,0.23795532403650094,0.4256536173331773,0.33639105863032176,0.4403241348276689,0.3343681298109733,0.2253077353613578,0.4058012925893691,0.24878916233597512,0.3454095450746558,0.21160169517646968,0.6924614621465104,0.09593684267701993,0.15700731452384367,0.5299831046196424,0.313009580856514
7,Virginia,6,298,little Virginia,3521,3523,103,proper_name_to_canonical,True,"The only person who did not enter into the joke was [[little Virginia]], who, for some unexplained reason, was always a good deal distressed at the sight of the blood-stain, and very nearly cried the morning it was emerald-green.","The only person who did not enter into the joke was Virginia, who, for some unexplained reason, was always a good deal distressed at the sight of the blood-stain, and very nearly cried the morning it was emerald-green.","The only person who did not enter into the joke was Virginia, who, for some unexplained reason, was always a good deal distressed at the sight of the blood-stain, and very nearly cried the morning it was emerald-green.","The only person who did not enter into the joke was Virginia, who, for some unexplained reason, was always a good deal distressed at the sight of the blood-stain, and very nearly cried the morning it was emerald-green.",1,17.317866600002162,0.01116951313822847,0.3526868679761407,0.6361436188856308,0.06761020270231645,0.19678628146975694,0.7356035158279266,0.017140609132674206,0.31346899360193625,0.6693903972653895,0.0955476729171362,0.2519805440250278,0.652471783057836,0.9276054788631898,0.02378373100051683,0.04861079013629334,0.2860857397588116,0.6090539122376303,0.1048603480035581
7,Virginia,7,329,I,3864,3865,113,first_second_person_keep_original,False,""" [[I]] am afraid you are far from well,"" she said, ""and have brought you a bottle of Doctor Dobell's tincture.",""" I am afraid you are far from well,"" she said, ""and have brought you a bottle of Doctor Dobell's tincture.",""" I am afraid you are far from well,"" she said, ""and have brought you a bottle of Doctor Dobell's tincture.",""" I am afraid you are far from well,"" she said, ""and have brought you a bottle of Doctor Dobell's tincture.",1,17.317866600002162,0.06163016930496181,0.26304454411360634,0.6753252865814318,0.3711610355805606,0.21528404424639228,0.41355492017304707,0.030282706437499834,0.30169148728550477,0.6680258062769955,0.8451153521127068,0.026666775891171855,0.12821787199612128,0.829915999652574,0.1385828765627276,0.03150112378469839,0.23903309895485803,0.4101483911620368,0.3508185098831051
7,Virginia,8,333,she,3874,3875,113,third_person_subject_pronoun_to_canonical,True,"""I am afraid you are far from well,"" [[she]] said, ""and have brought you a bottle of Doctor Dobell's tincture.","""I am afraid you are far from well,"" Virginia said, ""and have brought you a bottle of Doctor Dobell's tincture.","""I am afraid you are far from well,"" Virginia said, ""and have brought you a bottle of Doctor Dobell's tincture.","""I am afraid you are far from well,"" Virginia said, ""and have brought you a bottle of Doctor Dobell's tincture.",1,17.317866600002162,0.03937401907374799,0.23099435980559876,0.7296316211206533,0.46927132599447,0.1957647226010795,0.3349639514044505,0.02489421917160652,0.3172079300906817,0.6578978507377118,0.8729119388650165,0.014472138292159577,0.11261592284282397,0.7351375665787478,0.23433391848672527,0.030528514934526872,0.27177716067164664,0.42673121556385435,0.30149162376449906
7,Virginia,9,338,her,3909,3910,115,third_person_object_pronoun_to_canonical,True,"The ghost glared at [[her]] in fury, and began at once to make preparations for turning himself into a large black dog, an accomplishment for which he was justly renowned, and to which the family doctor always attributed the permanent idiocy of Lord Canterville's uncle, the Hon.","The ghost glared at Virginia in fury, and began at once to make preparations for turning himself into a large black dog, an accomplishment for which he was justly renowned, and to which the family doctor always attributed the permanent idiocy of Lord Canterville's uncle, the Hon.","The ghost glared at Virginia in fury, and began at once to make preparations for turning himself into a large black dog, an accomplishment for which he was justly renowned, and to which the family doctor always attributed the permanent idiocy of Lord Canterville's uncle, the Hon.","The ghost glared at Virginia in fury, and began at once to make preparations for turning himself into a large black dog, an accomplishment for which he was justly renowned, and to which the family doctor always attributed the permanent idiocy of Lord Canterville's uncle, the Hon.",1,17.317866600002162,0.07953073137720211,0.37882983067957776,0.5416394379432201,0.12871683440150894,0.39257484783602353,0.47870831776246753,0.13958649555500277,0.4551236838106064,0.4052898206343909,0.012031068789938646,0.8925950394463852,0.09537389176367615,0.3695706390592595,0.4241288113031525,0.20630054963758795,0.5274596823698673,0.21355568668326572,0.2589846309468671
7,Virginia,10,397,his wife,4472,4474,132,ambiguous_or_unsupported_keep_original,False,"Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and [[his wife]], and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into her trembling husband's ear the awful secrets of the charnel-house.","Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and his wife, and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into her trembling husband's ear the awful secrets of the charnel-house.","Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and his wife, and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into her trembling husband's ear the awful secrets of the charnel-house.","Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and his wife, and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into her trembling husband's ear the awful secrets of the charnel-house.",1,17.317866600002162,0.03233935821508372,0.20379311182663562,0.7638675299582808,0.042528011005814916,0.2777748491874749,0.6796971398067103,0.05588312582851949,0.2899611202990615,0.654155753872419,0.03228009766952442,0.6718905131204003,0.29582938921007534,0.8665995310172538,0.05314760602336342,0.08025286295938269,0.3693460189250803,0.25217975039217244,0.3784742306827472
7,Virginia,11,401,her,4492,4493,132,third_person_possessive_pronoun_to_canonical_possessive,True,"Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and his wife, and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into [[her]] trembling husband's ear the awful secrets of the charnel-house.","Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and his wife, and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into Virginia's trembling husband's ear the awful secrets of the charnel-house.","Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and his wife, and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into Virginia's trembling husband's ear the awful secrets of the charnel-house.","Having reduced the reckless and foolhardy youth to a condition of abject terror, he was then to proceed to the room occupied by the United States Minister and his wife, and there to place a clammy hand on Mrs. Otis's forehead, while he hissed into Virginia's trembling husband's ear the awful secrets of the charnel-house.",1,17.317866600002162,0.0291068735731461,0.21985033245111368,0.7510427939757401,0.019030208098149953,0.26091421601260684,0.7200555758892433,0.025719328450630678,0.26230512202122724,0.711975549528142,0.03510454009446227,0.5707234053064406,0.39417205459909715,0.9456468875540718,0.020520510424096604,0.033832602021831776,0.27797809825081404,0.2560697945187662,0.46595210723041974
