local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_000::cluster_000::mention_000,chunk_000::cluster_000,chunk_000,0,0,0,1,5,1,5,Mr. Hiram B. Otis,4,4,core,
chunk_000::cluster_000::mention_001,chunk_000::cluster_000,chunk_000,0,0,1,17,18,17,18,him,17,17,core,
chunk_000::cluster_000::mention_002,chunk_000::cluster_000,chunk_000,0,0,2,18,19,18,19,he,18,18,core,
chunk_000::cluster_000::mention_003,chunk_000::cluster_000,chunk_000,0,0,3,65,67,65,67,Mr. Otis,66,66,core,
chunk_000::cluster_000::mention_004,chunk_000::cluster_000,chunk_000,0,0,4,138,139,138,139,you,138,138,core,
chunk_000::cluster_000::mention_005,chunk_000::cluster_000,chunk_000,0,0,5,140,142,140,142,Mr. Otis,141,141,core,
chunk_000::cluster_000::mention_006,chunk_000::cluster_000,chunk_000,0,0,6,230,231,230,231,My,230,230,core,
chunk_000::cluster_000::mention_007,chunk_000::cluster_000,chunk_000,0,0,7,235,237,235,237,the Minister,236,236,core,
chunk_000::cluster_000::mention_008,chunk_000::cluster_000,chunk_000,0,0,8,239,240,239,240,I,239,239,core,
chunk_000::cluster_000::mention_009,chunk_000::cluster_000,chunk_000,0,0,9,251,252,251,252,I,251,251,core,
chunk_000::cluster_000::mention_010,chunk_000::cluster_000,chunk_000,0,0,10,292,293,292,293,I,292,292,core,
chunk_000::cluster_000::mention_011,chunk_000::cluster_000,chunk_000,0,0,11,423,424,423,424,I,423,423,core,
chunk_000::cluster_000::mention_012,chunk_000::cluster_000,chunk_000,0,0,12,443,444,443,444,You,443,443,core,
chunk_000::cluster_000::mention_013,chunk_000::cluster_000,chunk_000,0,0,13,461,463,461,463,Mr. Otis,462,462,core,
chunk_000::cluster_000::mention_014,chunk_000::cluster_000,chunk_000,0,0,14,470,471,470,471,you,470,470,core,
chunk_000::cluster_000::mention_015,chunk_000::cluster_000,chunk_000,0,0,15,486,487,486,487,you,486,486,core,
chunk_000::cluster_000::mention_016,chunk_000::cluster_000,chunk_000,0,0,16,491,492,491,492,you,491,491,core,
chunk_000::cluster_000::mention_017,chunk_000::cluster_000,chunk_000,0,0,17,513,515,513,515,the Minister,514,514,core,
chunk_000::cluster_000::mention_018,chunk_000::cluster_000,chunk_000,0,0,18,516,517,516,517,his,516,516,core,
chunk_000::cluster_000::mention_019,chunk_000::cluster_000,chunk_000,0,0,19,664,665,664,665,Washington,664,664,core,
chunk_000::cluster_000::mention_020,chunk_000::cluster_000,chunk_000,0,0,20,666,667,666,667,his,666,666,core,
chunk_000::cluster_000::mention_021,chunk_000::cluster_000,chunk_000,0,0,21,675,676,675,676,he,675,675,core,
chunk_000::cluster_000::mention_022,chunk_000::cluster_000,chunk_000,0,0,22,697,698,697,698,himself,697,697,core,
chunk_000::cluster_000::mention_023,chunk_000::cluster_000,chunk_000,0,0,23,731,732,731,732,his,731,731,core,
chunk_000::cluster_000::mention_024,chunk_000::cluster_000,chunk_000,0,0,24,736,737,736,737,he,736,736,core,
chunk_000::cluster_000::mention_025,chunk_000::cluster_000,chunk_000,0,0,25,879,882,879,882,the worthy Minister,881,881,core,
chunk_000::cluster_000::mention_026,chunk_000::cluster_000,chunk_000,0,0,26,906,908,906,908,Mr. Otis,907,907,core,
chunk_000::cluster_000::mention_027,chunk_000::cluster_000,chunk_000,0,0,27,1439,1441,1439,1441,Washington Otis,1440,1440,core,
chunk_000::cluster_000::mention_028,chunk_000::cluster_000,chunk_000,0,0,28,1468,1469,1468,1469,he,1468,1468,core,
chunk_000::cluster_000::mention_029,chunk_000::cluster_000,chunk_000,0,0,29,1472,1473,1472,1473,his,1472,1472,core,
chunk_000::cluster_000::mention_030,chunk_000::cluster_000,chunk_000,0,0,30,1510,1511,1510,1511,I,1510,1510,core,
chunk_000::cluster_000::mention_031,chunk_000::cluster_000,chunk_000,0,0,31,1518,1519,1518,1519,he,1518,1518,core,
chunk_000::cluster_000::mention_032,chunk_000::cluster_000,chunk_000,0,0,32,1524,1525,1524,1525,he,1524,1524,core,
chunk_000::cluster_000::mention_033,chunk_000::cluster_000,chunk_000,0,0,33,1528,1529,1528,1529,his,1528,1528,core,
chunk_000::cluster_000::mention_034,chunk_000::cluster_000,chunk_000,0,0,34,1536,1537,1536,1537,he,1536,1536,core,
chunk_000::cluster_000::mention_035,chunk_000::cluster_000,chunk_000,0,0,35,1579,1582,1579,1582,the American Minister,1581,1581,core,
chunk_000::cluster_000::mention_036,chunk_000::cluster_000,chunk_000,0,0,36,1586,1587,1586,1587,he,1586,1586,core,
chunk_000::cluster_000::mention_037,chunk_000::cluster_000,chunk_000,0,0,37,1593,1594,1593,1594,I,1593,1593,core,
chunk_000::cluster_000::mention_038,chunk_000::cluster_000,chunk_000,0,0,38,1611,1612,1611,1612,I,1611,1611,core,
chunk_000::cluster_000::mention_039,chunk_000::cluster_000,chunk_000,0,0,39,1629,1631,1629,1631,My dear,1629,1629,core,
chunk_000::cluster_000::mention_040,chunk_000::cluster_000,chunk_000,0,0,40,1631,1632,1631,1632,Hiram,1631,1631,core,
chunk_000::cluster_000::mention_041,chunk_000::cluster_000,chunk_000,0,0,41,1661,1663,1661,1663,the Minister,1662,1662,core,
chunk_000::cluster_000::mention_042,chunk_000::cluster_000,chunk_000,0,0,42,1701,1703,1701,1703,Mr. Otis,1702,1702,core,
chunk_000::cluster_000::mention_043,chunk_000::cluster_000,chunk_000,0,0,43,1724,1725,1724,1725,sir,1724,1724,core,
chunk_000::cluster_000::mention_044,chunk_000::cluster_000,chunk_000,0,0,44,1766,1768,1766,1768,Mr. Otis,1767,1767,core,
chunk_000::cluster_000::mention_045,chunk_000::cluster_000,chunk_000,0,0,45,1772,1773,1772,1773,his,1772,1772,core,
chunk_000::cluster_000::mention_047,chunk_000::cluster_000,chunk_000,0,0,47,1796,1799,1796,1799,her new master,1798,1798,core,
chunk_000::cluster_000::mention_048,chunk_000::cluster_000,chunk_000,0,0,48,1864,1865,1864,1865,I,1864,1864,core,
chunk_000::cluster_000::mention_049,chunk_000::cluster_000,chunk_000,0,0,49,1880,1881,1880,1881,Washington,1880,1880,core,
chunk_000::cluster_000::mention_050,chunk_000::cluster_000,chunk_000,0,0,50,1884,1885,1884,1885,I,1884,1884,core,
chunk_000::cluster_000::mention_051,chunk_000::cluster_000,chunk_000,0,0,51,1898,1899,1898,1899,He,1898,1898,core,
chunk_000::cluster_000::mention_052,chunk_000::cluster_000,chunk_000,0,0,52,1934,1936,1934,1936,Mr. Otis,1935,1935,core,
chunk_000::cluster_000::mention_053,chunk_000::cluster_000,chunk_000,0,0,53,1936,1937,1936,1937,himself,1936,1936,core,
chunk_000::cluster_000::mention_054,chunk_000::cluster_000,chunk_000,0,0,54,1954,1956,1954,1956,Mr. Otis,1955,1955,core,
chunk_000::cluster_000::mention_055,chunk_000::cluster_000,chunk_000,0,0,55,1960,1961,1960,1961,he,1960,1960,core,
chunk_000::cluster_000::mention_056,chunk_000::cluster_000,chunk_000,0,0,56,1966,1967,1966,1967,his,1966,1966,core,
chunk_000::cluster_000::mention_057,chunk_000::cluster_000,chunk_000,0,0,57,1986,1987,1986,1987,Washington,1986,1986,core,
chunk_000::cluster_000::mention_058,chunk_000::cluster_000,chunk_000,0,0,58,2107,2109,2107,2109,Mr. Otis,2108,2108,core,
chunk_000::cluster_000::mention_059,chunk_000::cluster_000,chunk_000,0,0,59,2246,2248,2246,2248,Mr. Otis,2247,2247,core,
chunk_000::cluster_000::mention_060,chunk_000::cluster_000,chunk_000,0,0,60,2259,2260,2259,2260,his,2259,2259,core,
