cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,openness,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,conscientiousness,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,extraversion,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,agreeableness,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,neuroticism,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability,OCEAN_weight,OCEAN_weight_source
48,Oz,0,302,only four witches in all the Land of Oz,2445,2454,110,proper_name_to_canonical,True,"There were [[only four witches in all the Land of Oz]], and two of them, those who live in the North and the South, are good witches.","There were Oz, and two of them, those who live in the North and the South, are good witches.","There were Oz, and two of them, those who live in the North and the South, are good witches.","There were Oz, and two of them, those who live in the North and the South, are good witches.",1,17.005207599999267,0.2167806178331375,0.4931425452232361,0.2900768518447876,50.0,0.18293775618076324,0.3293653130531311,0.48769688606262207,50.0,0.16417653858661652,0.37041786313056946,0.46540558338165283,50.0,0.505719780921936,0.1693907082080841,0.32488954067230225,74.91,0.10603751987218857,0.5587074756622314,0.33525511622428894,15.95,0.03767932206392288,0.3362956643104553,0.6260250210762024,20.58,direct_nli_zero_shot
48,Oz,1,361,Oz,2757,2758,124,proper_name_to_canonical,False,""" [[Oz]] himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.",""" Oz himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.",""" Oz himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.",""" Oz himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.",1,17.005207599999267,0.1813146322965622,0.4241531193256378,0.3945322036743164,50.0,0.2575235068798065,0.3807964026927948,0.36168012022972107,50.0,0.09521542489528656,0.44261041283607483,0.46217411756515503,50.0,0.303509920835495,0.24831700325012207,0.44817307591438293,50.0,0.13984441757202148,0.7402764558792114,0.1198791041970253,15.89,0.14931127429008484,0.35101696848869324,0.49967172741889954,32.48,direct_nli_zero_shot
48,Oz,2,362,himself,2758,2759,124,third_person_reflexive_keep_original,False,"""Oz [[himself]] is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.","""Oz himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.","""Oz himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.","""Oz himself is the Great Wizard,"" answered the Witch, sinking her voice to a whisper.",1,17.005207599999267,0.17546528577804565,0.4075763523578644,0.41695839166641235,50.0,0.2459365725517273,0.3439736068248749,0.4100898206233978,50.0,0.07834862172603607,0.37057340145111084,0.5510779619216919,50.0,0.27085867524147034,0.24307332932949066,0.4860679805278778,50.0,0.14788174629211426,0.7304438948631287,0.12167447805404663,16.84,0.16861611604690552,0.3564002811908722,0.4749836325645447,34.68,direct_nli_zero_shot
48,Oz,3,365,He,2777,2778,125,proper_name_to_canonical,True,""" [[He]] is more powerful than all the rest of us together.",""" Oz is more powerful than all the rest of us together.",""" Oz is more powerful than all the rest of us together.",""" Oz is more powerful than all the rest of us together.",1,17.005207599999267,0.2564617097377777,0.34798726439476013,0.39555105566978455,50.0,0.3158493936061859,0.3342192471027374,0.3499312996864319,50.0,0.20369397103786469,0.49556049704551697,0.30074548721313477,29.13,0.3916069567203522,0.2369558960199356,0.37143710255622864,50.0,0.02715456858277321,0.8568993210792542,0.11594615131616592,3.07,0.2003231793642044,0.020387716591358185,0.7792891263961792,21.05,direct_nli_zero_shot
48,Oz,4,367,He,2789,2790,126,proper_name_to_canonical,True,[[He]] lives in the City of Emeralds.,Oz lives in the City of Emeralds.,Oz lives in the City of Emeralds.,Oz lives in the City of Emeralds.,1,17.005207599999267,0.3636366128921509,0.4171711802482605,0.2191922962665558,50.0,0.2837069630622864,0.3903827369213104,0.3259102702140808,50.0,0.28835591673851013,0.45327264070510864,0.25837141275405884,50.0,0.32362592220306396,0.3218795955181122,0.35449451208114624,50.0,0.20703241229057312,0.589259147644043,0.20370842516422272,26.0,0.04733717814087868,0.30044034123420715,0.6522225141525269,19.76,direct_nli_zero_shot
48,Oz,5,442,the same great desert that surrounds this Land of Oz,3211,3221,143,proper_name_to_canonical,True,"""The North is my home,"" said the old lady, ""and at its edge is [[the same great desert that surrounds this Land of Oz]].","""The North is my home,"" said the old lady, ""and at its edge is Oz.","""The North is my home,"" said the old lady, ""and at its edge is Oz.","""The North is my home,"" said the old lady, ""and at its edge is Oz.",1,17.005207599999267,0.24768505990505219,0.410802960395813,0.341511994600296,50.0,0.2947095036506653,0.377733051776886,0.32755741477012634,50.0,0.19698651134967804,0.3973599970340729,0.4056535065174103,50.0,0.3049585819244385,0.18485547602176666,0.510185956954956,50.0,0.11656460911035538,0.6878770589828491,0.1955583393573761,14.49,0.10598034411668777,0.42662331461906433,0.4673962891101837,31.93,direct_nli_zero_shot
48,Oz,6,444,this Land of Oz,3217,3221,143,proper_name_to_canonical,True,"""The North is my home,"" said the old lady, ""and at its edge is the same great desert that surrounds [[this Land of Oz]].","""The North is my home,"" said the old lady, ""and at its edge is the same great desert that surrounds Oz.","""The North is my home,"" said the old lady, ""and at its edge is the same great desert that surrounds Oz.","""The North is my home,"" said the old lady, ""and at its edge is the same great desert that surrounds Oz.",1,17.005207599999267,0.1994062066078186,0.3986395299434662,0.40195432305336,50.0,0.2259543389081955,0.33504727482795715,0.43899840116500854,50.0,0.1060631051659584,0.4390389919281006,0.4548978805541992,50.0,0.15833160281181335,0.15437936782836914,0.6872890591621399,50.0,0.08824609965085983,0.7243981957435608,0.18735568225383759,10.86,0.13441263139247894,0.42418935894966125,0.4413979947566986,34.65,direct_nli_zero_shot
48,Oz,7,483,Oz,3410,3411,150,proper_name_to_canonical,False,"Perhaps [[Oz]] will help you."" ""Where is this city?"" asked Dorothy.","Perhaps Oz will help you."" ""Where is this city?"" asked Dorothy.","Perhaps Oz will help you."" ""Where is this city?"" asked Dorothy.","Perhaps Oz will help you."" ""Where is this city?"" asked Dorothy.",1,17.005207599999267,0.4143906235694885,0.26941171288490295,0.3161976635456085,50.0,0.22277583181858063,0.27436214685440063,0.5028620362281799,50.0,0.15646834671497345,0.31192272901535034,0.5316089391708374,50.0,0.5470698475837708,0.05732474476099014,0.3956054449081421,90.52,0.0819409042596817,0.5653027296066284,0.3527563512325287,12.66,0.05320829525589943,0.2937784492969513,0.6530132293701172,20.01,direct_nli_zero_shot
48,Oz,8,490,Oz,3443,3444,151,proper_name_to_canonical,False,"""It is exactly in the center of the country, and is ruled by [[Oz]], the Great Wizard I told you of."" ""Is he a good man?"" inquired the girl anxiously.","""It is exactly in the center of the country, and is ruled by Oz, the Great Wizard I told you of."" ""Is he a good man?"" inquired the girl anxiously.","""It is exactly in the center of the country, and is ruled by Oz, the Great Wizard I told you of."" ""Is he a good man?"" inquired the girl anxiously.","""It is exactly in the center of the country, and is ruled by Oz, the Great Wizard I told you of."" ""Is he a good man?"" inquired the girl anxiously.",1,17.005207599999267,0.219644695520401,0.295354962348938,0.4850003719329834,50.0,0.24010758101940155,0.24960362911224365,0.5102887749671936,50.0,0.08542945981025696,0.2247912436723709,0.6897793412208557,50.0,0.3300968408584595,0.159990593791008,0.5099126100540161,50.0,0.5505670309066772,0.3173188865184784,0.13211408257484436,50.0,0.10787457227706909,0.2891966998577118,0.6029286980628967,25.25,direct_nli_zero_shot
48,Oz,9,491,the Great Wizard I told you of,3445,3452,151,proper_name_to_canonical,True,"""It is exactly in the center of the country, and is ruled by Oz, [[the Great Wizard I told you of]]."" ""Is he a good man?"" inquired the girl anxiously.","""It is exactly in the center of the country, and is ruled by Oz, Oz."" ""Is he a good man?"" inquired the girl anxiously.","""It is exactly in the center of the country, and is ruled by Oz, Oz."" ""Is he a good man?"" inquired the girl anxiously.","""It is exactly in the center of the country, and is ruled by Oz, Oz."" ""Is he a good man?"" inquired the girl anxiously.",1,17.005207599999267,0.2290208786725998,0.3214036524295807,0.4495754837989807,50.0,0.28270336985588074,0.2589744031429291,0.4583221971988678,50.0,0.06598876416683197,0.28762707114219666,0.6463841199874878,50.0,0.25270766019821167,0.21198129653930664,0.5353109836578369,50.0,0.5921204090118408,0.3141908347606659,0.0936887264251709,50.0,0.1011318564414978,0.2897992432117462,0.6090689301490784,24.6,direct_nli_zero_shot
