local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_009::cluster_000,chunk_009,9,0,Dorothy,208
chunk_009::cluster_001,chunk_009,9,1,them,1
chunk_009::cluster_002,chunk_009,9,2,the Scarecrow,112
chunk_009::cluster_003,chunk_009,9,3,a stuffed man,2
chunk_009::cluster_004,chunk_009,9,4,the strangers,13
chunk_009::cluster_005,chunk_009,9,5,the travelers,86
chunk_009::cluster_006,chunk_009,9,6,the Witch,191
chunk_009::cluster_007,chunk_009,9,7,them,1
chunk_009::cluster_008,chunk_009,9,8,the Lion,65
chunk_009::cluster_009,chunk_009,9,9,them,1
chunk_009::cluster_010,chunk_009,9,10,no one,1
chunk_009::cluster_011,chunk_009,9,11,no one but the Woodman,1
chunk_009::cluster_012,chunk_009,9,12,a dozen of her slaves,20
chunk_009::cluster_013,chunk_009,9,13,"a dozen of her slaves, who were the Winkies",1
chunk_009::cluster_014,chunk_009,9,14,her slaves,1
chunk_009::cluster_015,chunk_009,9,15,the Winkies,42
chunk_009::cluster_016,chunk_009,9,16,a brave people,1
chunk_009::cluster_017,chunk_009,9,17,a powerful Witch,1
chunk_009::cluster_018,chunk_009,9,18,a wicked one,1
chunk_009::cluster_019,chunk_009,9,19,the Winged Monkeys,32
chunk_009::cluster_020,chunk_009,9,20,no person,1
chunk_009::cluster_021,chunk_009,9,21,these strange creatures,1
chunk_009::cluster_022,chunk_009,9,22,the Great Oz,3
chunk_009::cluster_023,chunk_009,9,23,her friends,2
chunk_009::cluster_024,chunk_009,9,24,his,2
chunk_009::cluster_025,chunk_009,9,25,the King,34
chunk_009::cluster_026,chunk_009,9,26,their country,2
chunk_009::cluster_027,chunk_009,9,27,the strangers who are within my land,3
chunk_009::cluster_028,chunk_009,9,28,the castle,16
chunk_009::cluster_029,chunk_009,9,29,her friends,1
chunk_009::cluster_030,chunk_009,9,30,Some of the Monkeys seized the Tin Woodman,1
chunk_009::cluster_031,chunk_009,9,31,a country thickly covered with sharp rocks,1
chunk_009::cluster_032,chunk_009,9,32,Others of the Monkeys,1
chunk_009::cluster_033,chunk_009,9,33,your yard,3
chunk_009::cluster_034,chunk_009,9,34,Toto,21
chunk_009::cluster_035,chunk_009,9,35,"a small yard with a high iron fence around it, so that he could not escape",1
chunk_009::cluster_036,chunk_009,9,36,my slave,1
chunk_009::cluster_037,chunk_009,9,37,many of the beautiful rooms in her castle,1
chunk_009::cluster_038,chunk_009,9,38,they,1
chunk_009::cluster_039,chunk_009,9,39,her chariot,1
chunk_009::cluster_040,chunk_009,9,40,this yard,1
chunk_009::cluster_041,chunk_009,9,41,the slaves of the Wicked Witch,1
chunk_009::cluster_042,chunk_009,9,42,Kansas,3
chunk_009::cluster_043,chunk_009,9,43,the kitchen,4
chunk_009::cluster_044,chunk_009,9,44,the courtyard,3
chunk_009::cluster_045,chunk_009,9,45,the Land of Oz,1
chunk_009::cluster_046,chunk_009,9,46,a wicked creature,1
chunk_009::cluster_047,chunk_009,9,47,the West,1
chunk_009::cluster_048,chunk_009,9,48,prisoners in a strange land,1
chunk_009::cluster_049,chunk_009,9,49,a strange land,1
chunk_009::cluster_050,chunk_009,9,50,slaves,1
chunk_009::cluster_051,chunk_009,9,51,they,2
chunk_009::cluster_052,chunk_009,9,52,"the rocky plain where the Tin Woodman lay, all battered and bent",1
chunk_009::cluster_053,chunk_009,9,53,any of your people,1
chunk_009::cluster_054,chunk_009,9,54,your people,1
chunk_009::cluster_055,chunk_009,9,55,tinsmiths,1
chunk_009::cluster_056,chunk_009,9,56,Some of us,1
chunk_009::cluster_057,chunk_009,9,57,very good tinsmiths,1
chunk_009::cluster_058,chunk_009,9,58,them,1
chunk_009::cluster_059,chunk_009,9,59,the tinsmiths,9
chunk_009::cluster_060,chunk_009,9,60,Aunt Em,2
chunk_009::cluster_061,chunk_009,9,61,the land of the West,2
chunk_009::cluster_062,chunk_009,9,62,you,1
chunk_009::cluster_063,chunk_009,9,63,The tinsmiths looked the Woodman,1
chunk_009::cluster_064,chunk_009,9,64,one of the big yellow rooms of the castle,1
chunk_009::cluster_065,chunk_009,9,65,a vain man,1
chunk_009::cluster_066,chunk_009,9,66,no one,1
chunk_009::cluster_067,chunk_009,9,67,another of the Winkies,1
chunk_009::cluster_068,chunk_009,9,68,"another of the Winkies, who was a goldsmith",1
chunk_009::cluster_069,chunk_009,9,69,a goldsmith,1
chunk_009::cluster_070,chunk_009,9,70,her friends,1
chunk_009::cluster_071,chunk_009,9,71,the Emerald City,9
chunk_009::cluster_072,chunk_009,9,72,Oz,2
chunk_009::cluster_073,chunk_009,9,73,Every one of the travelers,1
chunk_009::cluster_074,chunk_009,9,74,their,1
chunk_009::cluster_075,chunk_009,9,75,You,1
chunk_009::cluster_076,chunk_009,9,76,no road,1
chunk_009::cluster_077,chunk_009,9,77,the big fields of buttercups and yellow daisies,1
chunk_009::cluster_078,chunk_009,9,78,the great fields,1
chunk_009::cluster_079,chunk_009,9,79,some place,1
chunk_009::cluster_080,chunk_009,9,80,the scarlet fields,1
chunk_009::cluster_081,chunk_009,9,81,they,2
chunk_009::cluster_082,chunk_009,9,82,the Queen,12
chunk_009::cluster_083,chunk_009,9,83,them,1
chunk_009::cluster_084,chunk_009,9,84,two of the Monkeys,4
chunk_009::cluster_085,chunk_009,9,85,one little Monkey,1
chunk_009::cluster_086,chunk_009,9,86,the pretty gardens,1
chunk_009::cluster_087,chunk_009,9,87,two of the biggest Monkeys,1
chunk_009::cluster_088,chunk_009,9,88,one of them,1
chunk_009::cluster_089,chunk_009,9,89,them,1
