local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_001::cluster_000::mention_000,chunk_001::cluster_000,chunk_001,1,0,0,4,5,2862,2863,My,4,2862,left_overlap,2862:2863:my
chunk_001::cluster_000::mention_001,chunk_001::cluster_000,chunk_001,1,0,1,10,11,2868,2869,I,10,2868,left_overlap,2868:2869:i
chunk_001::cluster_000::mention_002,chunk_001::cluster_000,chunk_001,1,0,2,22,23,2880,2881,I,22,2880,left_overlap,2880:2881:i
chunk_001::cluster_000::mention_003,chunk_001::cluster_000,chunk_001,1,0,3,52,53,2910,2911,your,52,2910,left_overlap,2910:2911:your
chunk_001::cluster_000::mention_004,chunk_001::cluster_000,chunk_001,1,0,4,64,65,2922,2923,Your,64,2922,left_overlap,2922:2923:your
chunk_001::cluster_000::mention_005,chunk_001::cluster_000,chunk_001,1,0,5,71,72,2929,2930,you,71,2929,left_overlap,2929:2930:you
chunk_001::cluster_000::mention_006,chunk_001::cluster_000,chunk_001,1,0,6,84,85,2942,2943,you,84,2942,left_overlap,2942:2943:you
chunk_001::cluster_000::mention_007,chunk_001::cluster_000,chunk_001,1,0,7,106,107,2964,2965,Morgause,106,2964,left_overlap,2964:2965:morgause
chunk_001::cluster_000::mention_008,chunk_001::cluster_000,chunk_001,1,0,8,159,160,3017,3018,you,159,3017,left_overlap,3017:3018:you
chunk_001::cluster_000::mention_009,chunk_001::cluster_000,chunk_001,1,0,9,176,177,3034,3035,Morgause,176,3034,left_overlap,3034:3035:morgause
chunk_001::cluster_000::mention_010,chunk_001::cluster_000,chunk_001,1,0,10,182,183,3040,3041,I,182,3040,left_overlap,3040:3041:i
chunk_001::cluster_000::mention_011,chunk_001::cluster_000,chunk_001,1,0,11,187,188,3045,3046,she,187,3045,left_overlap,3045:3046:she
chunk_001::cluster_000::mention_012,chunk_001::cluster_000,chunk_001,1,0,12,223,224,3081,3082,Viviane,223,3081,left_overlap,3081:3082:viviane
