global_cluster_uid,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
global_cluster_000000,6,408,Mr. Otis,mr. otis,chunk_000::cluster_000|chunk_001::cluster_000|chunk_002::cluster_005|chunk_003::cluster_014|chunk_004::cluster_007|chunk_005::cluster_019,0,5
global_cluster_000001,16,56,the house,"a little child gives away its tears, then shall all the house|the charnel-house|the custom house|the house",chunk_000::cluster_003|chunk_000::cluster_176|chunk_001::cluster_049|chunk_001::cluster_090|chunk_002::cluster_032|chunk_002::cluster_033|chunk_002::cluster_143|chunk_003::cluster_059|chunk_003::cluster_108|chunk_003::cluster_125|chunk_004::cluster_013|chunk_004::cluster_058|chunk_004::cluster_074|chunk_005::cluster_004|chunk_005::cluster_005|chunk_005::cluster_055,0,5
global_cluster_000002,17,150,the Cantervilles,canterville|lady canterville|lord canterville|sir simon de canterville|the cantervilles|the present lord canterville,chunk_000::cluster_005|chunk_000::cluster_010|chunk_000::cluster_083|chunk_000::cluster_168|chunk_001::cluster_039|chunk_001::cluster_072|chunk_001::cluster_125|chunk_002::cluster_011|chunk_002::cluster_055|chunk_002::cluster_065|chunk_002::cluster_078|chunk_003::cluster_012|chunk_003::cluster_024|chunk_003::cluster_057|chunk_004::cluster_011|chunk_004::cluster_054|chunk_005::cluster_006,0,5
global_cluster_000003,16,1305,the ghost,a family ghost|a ghost|the ghost|two ghosts,chunk_000::cluster_011|chunk_000::cluster_188|chunk_000::cluster_191|chunk_001::cluster_016|chunk_001::cluster_102|chunk_001::cluster_105|chunk_002::cluster_002|chunk_002::cluster_048|chunk_002::cluster_050|chunk_002::cluster_149|chunk_003::cluster_002|chunk_003::cluster_003|chunk_003::cluster_007|chunk_003::cluster_114|chunk_004::cluster_000|chunk_005::cluster_001,0,5
global_cluster_000004,31,127,my family,"any member of my family|any member of our family|his family|my family|our family|several living members of my family|the canterville family|the family|the only true republicans of the family|the otis family|the rest of your horrid, rude, vulgar, dishonest family|the two noble families|this rude american family|your family|your horrid, rude, vulgar, dishonest family",chunk_000::cluster_012|chunk_000::cluster_014|chunk_000::cluster_037|chunk_000::cluster_038|chunk_000::cluster_071|chunk_000::cluster_075|chunk_000::cluster_086|chunk_001::cluster_002|chunk_001::cluster_152|chunk_002::cluster_000|chunk_002::cluster_026|chunk_002::cluster_101|chunk_002::cluster_137|chunk_002::cluster_138|chunk_003::cluster_036|chunk_003::cluster_064|chunk_003::cluster_100|chunk_003::cluster_101|chunk_004::cluster_021|chunk_004::cluster_051|chunk_004::cluster_052|chunk_004::cluster_153|chunk_004::cluster_156|chunk_004::cluster_160|chunk_004::cluster_161|chunk_004::cluster_167|chunk_005::cluster_097|chunk_005::cluster_101|chunk_005::cluster_106|chunk_005::cluster_107|chunk_005::cluster_113,0,5
global_cluster_000005,6,26,the library,library|the library,chunk_000::cluster_079|chunk_001::cluster_033|chunk_002::cluster_053|chunk_003::cluster_038|chunk_004::cluster_070|chunk_005::cluster_056,0,5
global_cluster_000006,5,107,Mrs. Otis,mrs. otis,chunk_000::cluster_041|chunk_001::cluster_001|chunk_003::cluster_058|chunk_004::cluster_012|chunk_005::cluster_016,0,5
global_cluster_000007,7,592,Virginia,little virginia|virginia|your wife,chunk_000::cluster_058|chunk_001::cluster_089|chunk_002::cluster_010|chunk_003::cluster_022|chunk_003::cluster_041|chunk_004::cluster_009|chunk_005::cluster_000,0,5
global_cluster_000008,9,27,the Dukes of Cheshire,cheshire|the dukes of cheshire|the young duke of cheshire,chunk_000::cluster_064|chunk_000::cluster_065|chunk_001::cluster_145|chunk_001::cluster_159|chunk_002::cluster_095|chunk_002::cluster_109|chunk_003::cluster_073|chunk_004::cluster_030|chunk_005::cluster_027,0,5
global_cluster_000009,10,141,the twins,the boys|the room occupied by the twins|the twins,chunk_000::cluster_069|chunk_001::cluster_063|chunk_001::cluster_123|chunk_002::cluster_004|chunk_002::cluster_075|chunk_003::cluster_015|chunk_003::cluster_034|chunk_004::cluster_004|chunk_005::cluster_018|chunk_005::cluster_026,0,5
global_cluster_000010,4,30,Mrs. Umney,mrs. umney,chunk_000::cluster_078|chunk_002::cluster_128|chunk_003::cluster_092|chunk_005::cluster_092,0,5
global_cluster_000011,14,68,his room,a sitting-room|her own room|his dressing-room|his room|the room|the sombre room|washington otis's room,chunk_000::cluster_082|chunk_000::cluster_090|chunk_000::cluster_098|chunk_000::cluster_135|chunk_000::cluster_159|chunk_001::cluster_043|chunk_001::cluster_064|chunk_002::cluster_016|chunk_002::cluster_027|chunk_002::cluster_034|chunk_003::cluster_004|chunk_004::cluster_014|chunk_004::cluster_037|chunk_005::cluster_010,0,5
global_cluster_000012,1,27,the little Duke,the little duke,chunk_003::cluster_056,3,3
global_cluster_000013,5,39,a band of gipsies,a band of gipsies|the gipsies,chunk_003::cluster_137|chunk_003::cluster_139|chunk_004::cluster_086|chunk_004::cluster_087|chunk_005::cluster_021,3,5
global_cluster_000014,2,52,the group,the group,chunk_004::cluster_078|chunk_005::cluster_012,4,5
global_cluster_000015,1,68,Cecil,cecil,chunk_005::cluster_025,5,5
