relation_mention_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_logits_json,selection_method
pred_10_srcm_0_tgtm_1,0,10,10,11,1,0,1,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.7431640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.3203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.59765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.5673828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.7880859375}",nli_grouped_softmax
pred_473_srcm_44_tgtm_45,44,473,473,474,45,0,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.853515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9521484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.88232421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.3564453125}",nli_grouped_softmax
pred_490_srcm_48_tgtm_49,48,490,490,491,49,2,0,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.857421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.92041015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7353515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.9091796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -2.94140625}",nli_grouped_softmax
pred_518_srcm_50_tgtm_53,50,518,518,521,53,0,1,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.67529296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.55810546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9072265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.96923828125}",nli_grouped_softmax
pred_1058_srcm_89_tgtm_90,89,1058,1058,1059,90,4,1,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.0517578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": -0.8291015625}",nli_grouped_softmax
pred_1222_srcm_107_tgtm_108,107,1222,1222,1224,108,9,4,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -1.1259765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.529296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.63671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.03515625}",nli_grouped_softmax
pred_1278_srcm_112_tgtm_113,112,1278,1278,1279,113,5,9,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.89501953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.69091796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.2744140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.95751953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.16015625}",nli_grouped_softmax
pred_1525_srcm_133_tgtm_135,133,1525,1525,1528,135,0,4,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.94775390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -1.1806640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.37744140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.5517578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.9208984375}",nli_grouped_softmax
pred_1700_srcm_155_tgtm_156,155,1700,1700,1701,156,9,0,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.1806640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": 0.02789306640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.3212890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.96630859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.4599609375}",nli_grouped_softmax
pred_1775_srcm_165_tgtm_168,165,1775,1775,1776,168,0,9,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0146484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.444091796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.03125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.92041015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.02734375}",nli_grouped_softmax
