global_cluster_uid,local_cluster_uid,local_mention_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_000,chunk_000,0,3,0,3,4,3,4,SPACE,3,3,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_001,chunk_000,0,3,1,355,356,355,356,space,355,355,core,
global_cluster_000000,chunk_000::cluster_015,chunk_000::cluster_015::mention_000,chunk_000,0,15,0,464,470,464,470,all the other points in space,467,467,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_002,chunk_000,0,3,2,469,470,469,470,space,469,469,core,
global_cluster_000000,chunk_000::cluster_019,chunk_000::cluster_019::mention_000,chunk_000,0,19,0,519,524,519,524,the endless fields of space,521,521,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_003,chunk_000,0,3,3,523,524,523,524,space,523,523,core,
global_cluster_000000,chunk_000::cluster_032,chunk_000::cluster_032::mention_000,chunk_000,0,32,0,1009,1011,1009,1011,distant spaces,1010,1010,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_004,chunk_000,0,3,4,1937,1938,1937,1938,space,1937,1937,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_005,chunk_000,0,3,5,1972,1973,1972,1973,Space,1972,1972,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_006,chunk_000,0,3,6,2604,2605,2604,2605,space,2604,2604,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_007,chunk_000,0,3,7,2900,2901,2900,2901,space,2900,2900,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_008,chunk_000,0,3,8,3096,3097,3096,3097,space,3096,3096,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_009,chunk_000,0,3,9,3157,3158,3157,3158,space,3157,3157,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_010,chunk_000,0,3,10,3217,3218,3217,3218,space,3217,3217,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_011,chunk_000,0,3,11,3347,3348,3347,3348,space,3347,3347,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_012,chunk_000,0,3,12,3537,3538,3537,3538,space,3537,3537,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_013,chunk_000,0,3,13,3588,3589,3588,3589,space,3588,3588,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_014,chunk_000,0,3,14,3604,3605,3604,3605,space,3604,3604,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_015,chunk_000,0,3,15,3627,3628,3627,3628,space,3627,3627,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_016,chunk_000,0,3,16,3926,3927,3926,3927,space,3926,3926,core,
global_cluster_000000,chunk_000::cluster_003,chunk_000::cluster_003::mention_017,chunk_000,0,3,17,4082,4083,4082,4083,space,4082,4082,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_000,chunk_000,0,2,0,55,56,55,56,I,55,55,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_001,chunk_000,0,2,1,59,60,59,60,I,59,59,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_002,chunk_000,0,2,2,71,72,71,72,I,71,71,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_003,chunk_000,0,2,3,104,105,104,105,I,104,104,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_004,chunk_000,0,2,4,259,260,259,260,I,259,259,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_005,chunk_000,0,2,5,268,269,268,269,I,268,268,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_006,chunk_000,0,2,6,272,273,272,273,I,272,272,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_007,chunk_000,0,2,7,279,280,279,280,I,279,279,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_008,chunk_000,0,2,8,315,316,315,316,I,315,315,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_009,chunk_000,0,2,9,332,333,332,333,I,332,332,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_010,chunk_000,0,2,10,343,344,343,344,I,343,343,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_011,chunk_000,0,2,11,361,362,361,362,I,361,361,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_012,chunk_000,0,2,12,375,376,375,376,I,375,375,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_013,chunk_000,0,2,13,413,414,413,414,I,413,413,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_014,chunk_000,0,2,14,506,507,506,507,I,506,506,core,
global_cluster_000001,chunk_000::cluster_002,chunk_000::cluster_002::mention_015,chunk_000,0,2,15,513,514,513,514,me,513,513,core,
