local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_000::cluster_000,chunk_000,0,0,the solar system,1
chunk_000::cluster_001,chunk_000,0,1,G. P. Kuiper,1
chunk_000::cluster_002,chunk_000,0,2,the Sun,8
chunk_000::cluster_003,chunk_000,0,3,Qfwfq,85
chunk_000::cluster_004,chunk_000,0,4,a child,1
chunk_000::cluster_005,chunk_000,0,5,we,81
chunk_000::cluster_006,chunk_000,0,6,the nebula,14
chunk_000::cluster_007,chunk_000,0,7,some uncles and aunts who were visiting,1
chunk_000::cluster_008,chunk_000,0,8,Mr. Hnw,1
chunk_000::cluster_009,chunk_000,0,9,the one who later became a horse,1
chunk_000::cluster_010,chunk_000,0,10,little ones,1
chunk_000::cluster_011,chunk_000,0,11,you,1
chunk_000::cluster_012,chunk_000,0,12,the nebulae,1
chunk_000::cluster_013,chunk_000,0,13,they,1
chunk_000::cluster_014,chunk_000,0,14,you,1
chunk_000::cluster_015,chunk_000,0,15,they,2
chunk_000::cluster_016,chunk_000,0,16,Granny Bb'b,69
chunk_000::cluster_017,chunk_000,0,17,nobody,1
chunk_000::cluster_018,chunk_000,0,18,those old folks,1
chunk_000::cluster_019,chunk_000,0,19,G'd(w) n,46
chunk_000::cluster_020,chunk_000,0,20,my father,19
chunk_000::cluster_021,chunk_000,0,21,my mother,3
chunk_000::cluster_022,chunk_000,0,22,a shy girl,1
chunk_000::cluster_023,chunk_000,0,23,the edge of the nebula,1
chunk_000::cluster_024,chunk_000,0,24,the place where she was lying,1
chunk_000::cluster_025,chunk_000,0,25,you,1
chunk_000::cluster_026,chunk_000,0,26,you,1
chunk_000::cluster_027,chunk_000,0,27,Mr. Hnw,60
chunk_000::cluster_028,chunk_000,0,28,an infant at the time,1
chunk_000::cluster_029,chunk_000,0,29,You,1
chunk_000::cluster_030,chunk_000,0,30,they,1
chunk_000::cluster_031,chunk_000,0,31,nobody,1
chunk_000::cluster_032,chunk_000,0,32,some,1
chunk_000::cluster_033,chunk_000,0,33,an alga,1
chunk_000::cluster_034,chunk_000,0,34,everyone,1
chunk_000::cluster_035,chunk_000,0,35,you,1
chunk_000::cluster_036,chunk_000,0,36,the universe,1
chunk_000::cluster_037,chunk_000,0,37,You,1
chunk_000::cluster_038,chunk_000,0,38,you,1
chunk_000::cluster_039,chunk_000,0,39,you,1
chunk_000::cluster_040,chunk_000,0,40,you,1
chunk_000::cluster_041,chunk_000,0,41,Children,1
chunk_000::cluster_042,chunk_000,0,42,you,1
chunk_000::cluster_043,chunk_000,0,43,Nobody,1
chunk_000::cluster_044,chunk_000,0,44,the twins,24
chunk_000::cluster_045,chunk_000,0,45,anybody,1
chunk_000::cluster_046,chunk_000,0,46,Nobody,1
chunk_000::cluster_047,chunk_000,0,47,My little brothers,1
chunk_000::cluster_048,chunk_000,0,48,you,1
chunk_000::cluster_049,chunk_000,0,49,you,1
chunk_000::cluster_050,chunk_000,0,50,we,1
chunk_000::cluster_051,chunk_000,0,51,a little hill,1
chunk_000::cluster_052,chunk_000,0,52,you,1
chunk_000::cluster_053,chunk_000,0,53,the very spot where Granny Bb'b was sitting,1
chunk_000::cluster_054,chunk_000,0,54,My grandchildren,2
chunk_000::cluster_055,chunk_000,0,55,there,1
