cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
76,the Wicked Witch,0,580,a witch,3804,3806,166,ambiguous_or_unsupported_keep_original,False,"But Dorothy, knowing her to be [[a witch]], had expected her to disappear in just that way, and was not surprised in the least.","But Dorothy, knowing her to be a witch, had expected her to disappear in just that way, and was not surprised in the least.","But Dorothy, knowing her to be a witch, had expected her to disappear in just that way, and was not surprised in the least.","But Dorothy, knowing her to be a witch, had expected her to disappear in just that way, and was not surprised in the least.",1,10.07481310001458,0.04991809278726578,0.399745374917984,0.5503365397453308,0.12395536154508591,0.310939759016037,0.5651049017906189,0.057415325194597244,0.5160027146339417,0.4265819191932678,0.08475371450185776,0.45494183897972107,0.46030452847480774,0.13158018887043,0.6216335892677307,0.24678628146648407,0.3086908161640167,0.26377952098846436,0.4275296926498413
76,the Wicked Witch,1,681,the Wicked Witch,4496,4499,195,proper_name_to_canonical,False,"Once in a while she would pass a house, and the people came out to look at her and bow low as she went by; for everyone knew she had been the means of destroying [[the Wicked Witch]] and setting them free from bondage.","Once in a while she would pass a house, and the people came out to look at her and bow low as she went by; for everyone knew she had been the means of destroying the Wicked Witch and setting them free from bondage.","Once in a while she would pass a house, and the people came out to look at her and bow low as she went by; for everyone knew she had been the means of destroying the Wicked Witch and setting them free from bondage.","Once in a while she would pass a house, and the people came out to look at her and bow low as she went by; for everyone knew she had been the means of destroying the Wicked Witch and setting them free from bondage.",1,10.07481310001458,0.062338847666978836,0.39272117614746094,0.5449399352073669,0.14931774139404297,0.29406797885894775,0.5566142797470093,0.13288794457912445,0.33220958709716797,0.5349024534225464,0.10840535163879395,0.47951990365982056,0.41207465529441833,0.28598570823669434,0.4478364884853363,0.26617780327796936,0.49006521701812744,0.33127105236053467,0.1786637008190155
76,the Wicked Witch,2,716,the Wicked Witch,4688,4691,201,proper_name_to_canonical,False,"The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of [[the Wicked Witch]].","The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.","The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.","The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.",1,10.07481310001458,0.05140891298651695,0.49670687317848206,0.4518842399120331,0.08096255362033844,0.2571728527545929,0.6618645787239075,0.08579911291599274,0.2569003701210022,0.657300591468811,0.11669132858514786,0.586633563041687,0.2966751456260681,0.17570987343788147,0.35055163502693176,0.47373849153518677,0.1746584177017212,0.38977375626564026,0.43556779623031616
76,the Wicked Witch,3,735,the Wicked Witch,4763,4766,206,proper_name_to_canonical,False,"""Because you wear silver shoes and have killed [[the Wicked Witch]].","""Because you wear silver shoes and have killed the Wicked Witch.","""Because you wear silver shoes and have killed the Wicked Witch.","""Because you wear silver shoes and have killed the Wicked Witch.",1,10.07481310001458,0.07447116076946259,0.47067224979400635,0.45485663414001465,0.13899630308151245,0.3570253252983093,0.5039783120155334,0.11610211431980133,0.33792686462402344,0.5459709763526917,0.0752328485250473,0.484154611825943,0.4406125843524933,0.22870026528835297,0.4069068133831024,0.36439287662506104,0.2699558734893799,0.3658463954925537,0.3641977310180664
76,the Wicked Witch,4,746,witch,4834,4835,209,ambiguous_or_unsupported_keep_original,False,"""Blue is the color of the Munchkins, and white is the [[witch]] color.","""Blue is the color of the Munchkins, and white is the witch color.","""Blue is the color of the Munchkins, and white is the witch color.","""Blue is the color of the Munchkins, and white is the witch color.",1,10.07481310001458,0.11715293675661087,0.33635520935058594,0.546491801738739,0.14707382023334503,0.3611784279346466,0.49174776673316956,0.07741212844848633,0.36465370655059814,0.5579342246055603,0.11050190031528473,0.3971561789512634,0.49234190583229065,0.1828164905309677,0.40520021319389343,0.41198331117630005,0.16439595818519592,0.4322805404663086,0.4033234417438507
76,the Wicked Witch,5,754,a witch,4866,4868,211,ambiguous_or_unsupported_keep_original,False,""" Dorothy did not know what to say to this, for all the people seemed to think her [[a witch]], and she knew very well she was only an ordinary little girl who had come by the chance of a cyclone into a strange land.",""" Dorothy did not know what to say to this, for all the people seemed to think her a witch, and she knew very well she was only an ordinary little girl who had come by the chance of a cyclone into a strange land.",""" Dorothy did not know what to say to this, for all the people seemed to think her a witch, and she knew very well she was only an ordinary little girl who had come by the chance of a cyclone into a strange land.",""" Dorothy did not know what to say to this, for all the people seemed to think her a witch, and she knew very well she was only an ordinary little girl who had come by the chance of a cyclone into a strange land.",1,10.07481310001458,0.0523550920188427,0.35848161578178406,0.5891633629798889,0.05976135656237602,0.25984513759613037,0.6803934574127197,0.05822214111685753,0.21131043136119843,0.7304674386978149,0.04028619825839996,0.3656129837036133,0.5941007733345032,0.27360799908638,0.20412401854991913,0.5222679972648621,0.13571797311306,0.41906264424324036,0.4452194273471832
76,the Wicked Witch,6,4366,the Wicked Witch of the East,22748,22754,910,proper_name_to_canonical,True,"Then said the voice: ""Where did you get the silver shoes?"" ""I got them from [[the Wicked Witch of the East]], when my house fell on her and killed her,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch, when my house fell on her and killed her,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch, when my house fell on her and killed her,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch, when my house fell on her and killed her,"" she replied.",1,10.07481310001458,0.1716984063386917,0.32598546147346497,0.5023161172866821,0.13093973696231842,0.2853012979030609,0.5837589502334595,0.16071142256259918,0.24231897294521332,0.5969696044921875,0.113606758415699,0.44822779297828674,0.43816542625427246,0.186663419008255,0.5021048784255981,0.31123167276382446,0.3239699602127075,0.3737986385822296,0.3022313714027405
76,the Wicked Witch,7,4369,her,22760,22761,910,third_person_object_pronoun_to_canonical,True,"Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on [[her]] and killed her,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on the Wicked Witch and killed her,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on the Wicked Witch and killed her,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on the Wicked Witch and killed her,"" she replied.",1,10.07481310001458,0.18246990442276,0.33932098746299744,0.47820907831192017,0.10797593742609024,0.31129664182662964,0.5807273983955383,0.14810702204704285,0.2512015104293823,0.600691556930542,0.10326532274484634,0.4306432902812958,0.4660913646221161,0.17577823996543884,0.5104038119316101,0.31381794810295105,0.3081112504005432,0.38617515563964844,0.3057135045528412
76,the Wicked Witch,8,4370,her,22763,22764,910,third_person_object_pronoun_to_canonical,True,"Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on her and killed [[her]],"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on her and killed the Wicked Witch,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on her and killed the Wicked Witch,"" she replied.","Then said the voice: ""Where did you get the silver shoes?"" ""I got them from the Wicked Witch of the East, when my house fell on her and killed the Wicked Witch,"" she replied.",1,10.07481310001458,0.15410199761390686,0.36820778250694275,0.4776901602745056,0.09307457506656647,0.2889384329319,0.6179870367050171,0.13443706929683685,0.25862860679626465,0.6069342494010925,0.09106189757585526,0.4588516354560852,0.4500865340232849,0.19018754363059998,0.48199912905693054,0.3278132975101471,0.3188505470752716,0.40702030062675476,0.274129182100296
76,the Wicked Witch,9,4378,she,22800,22801,912,third_person_subject_pronoun_to_canonical,True,"""That is where the Good Witch of the North kissed me when [[she]] bade me good-bye and sent me to you,"" said the girl.","""That is where the Good Witch of the North kissed me when the Wicked Witch bade me good-bye and sent me to you,"" said the girl.","""That is where the Good Witch of the North kissed me when the Wicked Witch bade me good-bye and sent me to you,"" said the girl.","""That is where the Good Witch of the North kissed me when the Wicked Witch bade me good-bye and sent me to you,"" said the girl.",1,10.07481310001458,0.15895488858222961,0.4685651659965515,0.3724798858165741,0.17354759573936462,0.28950443863868713,0.5369479656219482,0.13200630247592926,0.2997407913208008,0.5682528614997864,0.22471612691879272,0.3778015673160553,0.397482305765152,0.19166453182697296,0.48657315969467163,0.3217622637748718,0.307200163602829,0.3859744071960449,0.3068253993988037
