cluster_assertion_id,source_cluster_id,object_property_iri,target_cluster_id,support_assignment_ids_json,aggregation_method,aggregated_score
src_1_prop_locatedIn_tgt_17,1,https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn,17,"[""pred_2660_srcm_342_tgtm_343""]",sum_softmax_by_cluster_pair,0.3520787253638773
src_1_prop_containsPlace_tgt_59,1,https://example.org/nlp-sdai/narrative-entity-ontology#containsPlace,59,"[""pred_21739_srcm_4194_tgtm_4196""]",sum_softmax_by_cluster_pair,0.3451928333166338
src_2_prop_holdsAttitudeToward_tgt_4,2,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,4,"[""pred_712_srcm_84_tgtm_86""]",sum_softmax_by_cluster_pair,0.2702671782058565
src_2_prop_locatedIn_tgt_51,2,https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn,51,"[""pred_47003_srcm_9252_tgtm_9254""]",sum_softmax_by_cluster_pair,1.0
src_2_prop_holdsAttitudeToward_tgt_67,2,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,67,"[""pred_46983_srcm_9245_tgtm_9247"", ""pred_47091_srcm_9273_tgtm_9275""]",sum_softmax_by_cluster_pair,0.786099199429408
src_2_prop_locatedIn_tgt_559,2,https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn,559,"[""pred_47886_srcm_9433_tgtm_9434""]",sum_softmax_by_cluster_pair,1.0
src_3_prop_holdsAttitudeToward_tgt_8,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,8,"[""pred_6220_srcm_1024_tgtm_1025"", ""pred_7150_srcm_1244_tgtm_1246""]",sum_softmax_by_cluster_pair,0.4430216907106086
src_3_prop_locatedIn_tgt_96,3,https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn,96,"[""pred_7150_srcm_1244_tgtm_1250""]",sum_softmax_by_cluster_pair,1.0
src_3_prop_movesToward_tgt_97,3,https://example.org/nlp-sdai/narrative-entity-ontology#movesToward,97,"[""pred_7150_srcm_1244_tgtm_1247""]",sum_softmax_by_cluster_pair,0.24630411541369115
src_3_prop_locatedIn_tgt_233,3,https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn,233,"[""pred_18942_srcm_3588_tgtm_3587""]",sum_softmax_by_cluster_pair,1.0
src_4_prop_holdsAttitudeToward_tgt_8,4,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,8,"[""pred_439_srcm_50_tgtm_51"", ""pred_2560_srcm_325_tgtm_326"", ""pred_3449_srcm_493_tgtm_495"", ""pred_3557_srcm_520_tgtm_522"", ""pred_3599_srcm_530_tgtm_532"", ""pred_34001_srcm_6777_tgtm_6778"", ""pred_34001_srcm_6777_tgtm_6779""]",sum_softmax_by_cluster_pair,2.554809585253976
src_4_prop_locatedIn_tgt_17,4,https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn,17,"[""pred_2690_srcm_346_tgtm_345""]",sum_softmax_by_cluster_pair,1.0
src_4_prop_locatedIn_tgt_42,4,https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn,42,"[""pred_2295_srcm_279_tgtm_280""]",sum_softmax_by_cluster_pair,1.0
src_4_prop_holdsAttitudeToward_tgt_45,4,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,45,"[""pred_2370_srcm_291_tgtm_292""]",sum_softmax_by_cluster_pair,0.41258227352963045
