cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,openness,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,conscientiousness,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,extraversion,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,agreeableness,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,neuroticism,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability,OCEAN_weight,OCEAN_weight_source
252,the people,0,3432,they,18217,18218,741,third_person_subject_pronoun_to_canonical,True,"The Scarecrow and the Woodman now began to fasten the mice to the truck, using the strings [[they]] had brought.","The Scarecrow and the Woodman now began to fasten the mice to the truck, using the strings the people had brought.","The Scarecrow and the Woodman now began to fasten the mice to the truck, using the strings the people had brought.","The Scarecrow and the Woodman now began to fasten the mice to the truck, using the strings the people had brought.",1,27.39268499999889,0.4350726902484894,0.31459760665893555,0.2503296732902527,50.0,0.3309172987937927,0.3251512050628662,0.34393155574798584,50.0,0.32164689898490906,0.28579947352409363,0.3925536274909973,50.0,0.5642756223678589,0.10351763665676117,0.3322068154811859,84.5,0.11855652183294296,0.5243745446205139,0.3570689260959625,18.44,0.14873498678207397,0.32324519753456116,0.5280198454856873,31.04,direct_nli_zero_shot
252,the people,1,3442,their,18297,18298,744,third_person_possessive_pronoun_to_canonical_possessive,True,"Even the Scarecrow and the Tin Woodman could sit on it, and were drawn swiftly by [[their]] queer little horses to the place where the Lion lay asleep.","Even the Scarecrow and the Tin Woodman could sit on it, and were drawn swiftly by the people's queer little horses to the place where the Lion lay asleep.","Even the Scarecrow and the Tin Woodman could sit on it, and were drawn swiftly by the people's queer little horses to the place where the Lion lay asleep.","Even the Scarecrow and the Tin Woodman could sit on it, and were drawn swiftly by the people's queer little horses to the place where the Lion lay asleep.",1,27.39268499999889,0.6108325719833374,0.2851753234863281,0.10399211198091507,50.0,0.2126280963420868,0.443587988615036,0.3437839448451996,50.0,0.37404289841651917,0.3851633071899414,0.24079377949237823,50.0,0.6202545762062073,0.08618509024381638,0.29356032609939575,87.8,0.16099870204925537,0.5109038949012756,0.3280973732471466,23.96,0.09070566296577454,0.4117083251476288,0.4975859224796295,29.66,direct_nli_zero_shot
252,the people,2,3444,they,18325,18326,745,third_person_subject_pronoun_to_canonical,True,"After a great deal of hard work, for the Lion was heavy, [[they]] managed to get him up on the truck.","After a great deal of hard work, for the Lion was heavy, the people managed to get him up on the truck.","After a great deal of hard work, for the Lion was heavy, the people managed to get him up on the truck.","After a great deal of hard work, for the Lion was heavy, the people managed to get him up on the truck.",1,27.39268499999889,0.2811914384365082,0.23152776062488556,0.4872807264328003,50.0,0.7408153414726257,0.05466950312256813,0.20451514422893524,93.13,0.25326770544052124,0.20530283451080322,0.5414294004440308,50.0,0.5538748502731323,0.03452032059431076,0.4116048216819763,50.0,0.04639766737818718,0.43211618065834045,0.5214861631393433,50.0,0.1130998432636261,0.21588706970214844,0.6710130572319031,22.1,direct_nli_zero_shot
252,the people,3,3451,her people,18340,18342,746,ambiguous_or_unsupported_keep_original,False,"Then the Queen hurriedly gave [[her people]] the order to start, for she feared if the mice stayed among the poppies too long they also would fall asleep.","Then the Queen hurriedly gave her people the order to start, for she feared if the mice stayed among the poppies too long they also would fall asleep.","Then the Queen hurriedly gave her people the order to start, for she feared if the mice stayed among the poppies too long they also would fall asleep.","Then the Queen hurriedly gave her people the order to start, for she feared if the mice stayed among the poppies too long they also would fall asleep.",1,27.39268499999889,0.12878955900669098,0.2942270338535309,0.5769834518432617,50.0,0.19158057868480682,0.29846954345703125,0.5099498629570007,50.0,0.16534538567066193,0.36132389307022095,0.4733307361602783,50.0,0.1994827538728714,0.1200508400797844,0.6804664731025696,50.0,0.5585260391235352,0.26050081849098206,0.18097305297851562,50.0,0.20393234491348267,0.3073368966579437,0.4887307584285736,35.76,direct_nli_zero_shot
252,the people,4,3462,they,18397,18398,747,third_person_subject_pronoun_to_canonical,True,"At first the little creatures, many though they were, could hardly stir the heavily loaded truck; but the Woodman and the Scarecrow both pushed from behind, and [[they]] got along better.","At first the little creatures, many though they were, could hardly stir the heavily loaded truck; but the Woodman and the Scarecrow both pushed from behind, and the people got along better.","At first the little creatures, many though they were, could hardly stir the heavily loaded truck; but the Woodman and the Scarecrow both pushed from behind, and the people got along better.","At first the little creatures, many though they were, could hardly stir the heavily loaded truck; but the Woodman and the Scarecrow both pushed from behind, and the people got along better.",1,27.39268499999889,0.2987450659275055,0.44672104716300964,0.2545340061187744,50.0,0.41796422004699707,0.30252188444137573,0.2795139253139496,50.0,0.2690059244632721,0.42735883593559265,0.30363523960113525,50.0,0.5613196492195129,0.11916223168373108,0.319518119096756,82.49,0.11574635654687881,0.6673765182495117,0.21687711775302887,14.78,0.1653638482093811,0.44843682646751404,0.38619938492774963,38.96,direct_nli_zero_shot
252,the people,5,3464,they,18403,18404,748,third_person_subject_pronoun_to_canonical,True,"Soon [[they]] rolled the Lion out of the poppy bed to the green fields, where he could breathe the sweet, fresh air again, instead of the poisonous scent of the flowers.","Soon the people rolled the Lion out of the poppy bed to the green fields, where he could breathe the sweet, fresh air again, instead of the poisonous scent of the flowers.","Soon the people rolled the Lion out of the poppy bed to the green fields, where he could breathe the sweet, fresh air again, instead of the poisonous scent of the flowers.","Soon the people rolled the Lion out of the poppy bed to the green fields, where he could breathe the sweet, fresh air again, instead of the poisonous scent of the flowers.",1,27.39268499999889,0.6228923201560974,0.19334028661251068,0.18376734852790833,76.31,0.48783910274505615,0.2787778973579407,0.23338302969932556,50.0,0.2824123203754425,0.353188157081604,0.3643995523452759,50.0,0.8365882635116577,0.050839461386203766,0.11257219314575195,94.27,0.11405574530363083,0.5944081544876099,0.2915360927581787,16.1,0.1541806012392044,0.26947054266929626,0.5763487815856934,28.89,direct_nli_zero_shot
252,the people,6,3471,them,18442,18443,749,third_person_object_pronoun_to_canonical,True,Dorothy came to meet [[them]] and thanked the little mice warmly for saving her companion from death.,Dorothy came to meet the people and thanked the little mice warmly for saving her companion from death.,Dorothy came to meet the people and thanked the little mice warmly for saving her companion from death.,Dorothy came to meet the people and thanked the little mice warmly for saving her companion from death.,1,27.39268499999889,0.39102035760879517,0.3341309726238251,0.2748486399650574,50.0,0.2797811031341553,0.24522386491298676,0.47499504685401917,50.0,0.6452950239181519,0.22046367824077606,0.13424134254455566,74.54,0.9783084988594055,0.0074476259760558605,0.01424395851790905,99.24,0.0650990679860115,0.6781823039054871,0.25671860575675964,8.76,0.28491273522377014,0.5105226039886475,0.2045646607875824,54.02,direct_nli_zero_shot
252,the people,7,3499,they,18548,18549,756,third_person_subject_pronoun_to_canonical,True,"[[they]] all answered, and away the Queen ran, while Dorothy held Toto tightly lest he should run after her and frighten her.","the people all answered, and away the Queen ran, while Dorothy held Toto tightly lest he should run after her and frighten her.","the people all answered, and away the Queen ran, while Dorothy held Toto tightly lest he should run after her and frighten her.","the people all answered, and away the Queen ran, while Dorothy held Toto tightly lest he should run after her and frighten her.",1,27.39268499999889,0.18246418237686157,0.4224848449230194,0.3950510025024414,50.0,0.31001877784729004,0.326646625995636,0.36333462595939636,50.0,0.3446325361728668,0.35160142183303833,0.3037661015987396,50.0,0.543954610824585,0.10527034848928452,0.3507750332355499,83.79,0.279069721698761,0.548664391040802,0.17226597666740417,50.0,0.2519826889038086,0.43411338329315186,0.31390395760536194,46.9,direct_nli_zero_shot
252,the people,8,3507,they,18576,18577,757,third_person_subject_pronoun_to_canonical,True,"After this [[they]] sat down beside the Lion until he should awaken; and the Scarecrow brought Dorothy some fruit from a tree near by, which she ate for her dinner.","After this the people sat down beside the Lion until he should awaken; and the Scarecrow brought Dorothy some fruit from a tree near by, which she ate for her dinner.","After this the people sat down beside the Lion until he should awaken; and the Scarecrow brought Dorothy some fruit from a tree near by, which she ate for her dinner.","After this the people sat down beside the Lion until he should awaken; and the Scarecrow brought Dorothy some fruit from a tree near by, which she ate for her dinner.",1,27.39268499999889,0.30283987522125244,0.3516436517238617,0.3455164432525635,50.0,0.3293647766113281,0.22307708859443665,0.44755813479423523,50.0,0.16120950877666473,0.3607281744480133,0.478062242269516,50.0,0.7539918422698975,0.02884901501238346,0.21715916693210602,96.31,0.08305288851261139,0.5943477749824524,0.3225993514060974,12.26,0.1327097862958908,0.3797200620174408,0.487570196390152,32.26,direct_nli_zero_shot
252,the people,9,3538,they,18696,18697,761,third_person_subject_pronoun_to_canonical,True,""" Then [[they]] told him of the field mice, and how they had generously saved him from death; and the Cowardly Lion laughed, and said: ""I have always thought myself very big and terrible; yet such little things as flowers came near to killing me, and such small animals as mice have saved my life.",""" Then the people told him of the field mice, and how they had generously saved him from death; and the Cowardly Lion laughed, and said: ""I have always thought myself very big and terrible; yet such little things as flowers came near to killing me, and such small animals as mice have saved my life.",""" Then the people told him of the field mice, and how they had generously saved him from death; and the Cowardly Lion laughed, and said: ""I have always thought myself very big and terrible; yet such little things as flowers came near to killing me, and such small animals as mice have saved my life.",""" Then the people told him of the field mice, and how they had generously saved him from death; and the Cowardly Lion laughed, and said: ""I have always thought myself very big and terrible; yet such little things as flowers came near to killing me, and such small animals as mice have saved my life.",1,27.39268499999889,0.28561004996299744,0.4069259762763977,0.30746394395828247,50.0,0.08135368674993515,0.2168649584054947,0.7017812728881836,50.0,0.1367509812116623,0.3012548089027405,0.5619942545890808,50.0,0.6382638216018677,0.08954142779111862,0.2721947729587555,87.7,0.0975509062409401,0.6947202086448669,0.20772889256477356,12.31,0.1877102255821228,0.488311767578125,0.3239780366420746,43.19,direct_nli_zero_shot
