relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_probabilities_json,selection_method
rel_0_10_1,0,10,10,11,1,0,1,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.21362319847407893, ""https://example.org/narrative-character-ontology#rulesOver"": 0.13975589617574596, ""https://example.org/narrative-character-ontology#locatedIn"": 0.1915841216145271, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.45503678373564804}",nli_grouped_softmax
rel_45_473_46,45,473,473,474,46,0,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.3747257833889719, ""https://example.org/narrative-character-ontology#possessesObject"": 0.27806493635774915, ""https://example.org/narrative-character-ontology#destroysObject"": 0.14036707007192886, ""https://example.org/narrative-character-ontology#createsObject"": 0.20684221018135018}",nli_grouped_softmax
rel_49_490_50,49,490,490,491,50,2,0,"{""https://example.org/narrative-character-ontology#trusts"": 0.16882620284390926, ""https://example.org/narrative-character-ontology#opposes"": 0.2427788751453748, ""https://example.org/narrative-character-ontology#guides"": 0.1430013649376456, ""https://example.org/narrative-character-ontology#follows"": 0.07368271484751301, ""https://example.org/narrative-character-ontology#fears"": 0.15341806948252162, ""https://example.org/narrative-character-ontology#deceives"": 0.1523728896104145, ""https://example.org/narrative-character-ontology#caresFor"": 0.06591988313262119}",nli_grouped_softmax
rel_51_518_54,51,518,518,521,54,0,1,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.41824127989522886, ""https://example.org/narrative-character-ontology#rulesOver"": 0.12489087132147146, ""https://example.org/narrative-character-ontology#locatedIn"": 0.10293327384605912, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.35393457493724056}",nli_grouped_softmax
rel_90_1058_91,90,1058,1058,1059,91,4,1,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_103_1160_104,103,1160,1160,1167,104,4,5,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_109_1222_110,109,1222,1222,1224,110,10,4,"{""https://example.org/narrative-character-ontology#usesObject"": 0.5294088905627726, ""https://example.org/narrative-character-ontology#possessesObject"": 0.24084737330041533, ""https://example.org/narrative-character-ontology#destroysObject"": 0.07439276850193485, ""https://example.org/narrative-character-ontology#createsObject"": 0.15535096763487719}",nli_grouped_softmax
rel_114_1278_115,114,1278,1278,1279,115,6,10,"{""https://example.org/narrative-character-ontology#trusts"": 0.1178507650922663, ""https://example.org/narrative-character-ontology#opposes"": 0.21995930653471205, ""https://example.org/narrative-character-ontology#guides"": 0.15951747804589675, ""https://example.org/narrative-character-ontology#follows"": 0.12668260010531243, ""https://example.org/narrative-character-ontology#fears"": 0.09062442868110611, ""https://example.org/narrative-character-ontology#deceives"": 0.16076858913233816, ""https://example.org/narrative-character-ontology#caresFor"": 0.1245968324083681}",nli_grouped_softmax
rel_135_1525_137,135,1525,1525,1528,137,0,4,"{""https://example.org/narrative-character-ontology#usesObject"": 0.3246064929924916, ""https://example.org/narrative-character-ontology#possessesObject"": 0.19669161486618883, ""https://example.org/narrative-character-ontology#destroysObject"": 0.27095414378543187, ""https://example.org/narrative-character-ontology#createsObject"": 0.20774774835588775}",nli_grouped_softmax
rel_157_1700_158,157,1700,1700,1701,158,10,0,"{""https://example.org/narrative-character-ontology#trusts"": 0.13592494496898597, ""https://example.org/narrative-character-ontology#opposes"": 0.2139443938466062, ""https://example.org/narrative-character-ontology#guides"": 0.1353289291149963, ""https://example.org/narrative-character-ontology#follows"": 0.07707045825025081, ""https://example.org/narrative-character-ontology#fears"": 0.3187275762210447, ""https://example.org/narrative-character-ontology#deceives"": 0.05677272309434335, ""https://example.org/narrative-character-ontology#caresFor"": 0.06223097450377251}",nli_grouped_softmax
