cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
4,Granny Bb'b,0,6,Granny Bb'b,114,116,4,proper_name_to_canonical,False,"We were there, as usual, with Father and Mother, [[Granny Bb'b]], some uncles and aunts who were visiting, Mr. Hnw, the one who later became a horse, and us little ones.","We were there, as usual, with Father and Mother, Granny Bb'b, some uncles and aunts who were visiting, Mr. Hnw, the one who later became a horse, and us little ones.","We were there, as usual, with Father and Mother, Granny Bb'b, some uncles and aunts who were visiting, Mr. Hnw, the one who later became a horse, and us little ones.","We were there, as usual, with Father and Mother, Granny Bb'b, some uncles and aunts who were visiting, Mr. Hnw, the one who later became a horse, and us little ones.",1,10.513362900004722,0.1452942956484294,0.31704215565534744,0.5376635486962231,0.302609318783379,0.26137553943839525,0.4360151417782257,0.17441024213678696,0.28980918904074426,0.5357805688224687,0.4886506042425773,0.16837910858677124,0.3429702871706516,0.13073041232566798,0.6319687513322823,0.23730083634204985,0.07186816015219746,0.3589674690738778,0.5691643707739247
4,Granny Bb'b,1,29,Granny Bb'b,350,352,10,proper_name_to_canonical,False,"What we were waiting for, nobody could have said; to be sure, [[Granny Bb'b]] remembered back to the times when matter was uniformly scattered in space, and there was heat and light; even allowing for all the exaggerations there must have been in those old folks' tales, those times had surely been better in some ways, or at least different; but as far as we were concemed, we just had to get through that enormous night.","What we were waiting for, nobody could have said; to be sure, Granny Bb'b remembered back to the times when matter was uniformly scattered in space, and there was heat and light; even allowing for all the exaggerations there must have been in those old folks' tales, those times had surely been better in some ways, or at least different; but as far as we were concemed, we just had to get through that enormous night.","What we were waiting for, nobody could have said; to be sure, Granny Bb'b remembered back to the times when matter was uniformly scattered in space, and there was heat and light; even allowing for all the exaggerations there must have been in those old folks' tales, those times had surely been better in some ways, or at least different; but as far as we were concemed, we just had to get through that enormous night.","What we were waiting for, nobody could have said; to be sure, Granny Bb'b remembered back to the times when matter was uniformly scattered in space, and there was heat and light; even allowing for all the exaggerations there must have been in those old folks' tales, those times had surely been better in some ways, or at least different; but as far as we were concemed, we just had to get through that enormous night.",1,10.513362900004722,0.14480124879611903,0.5531859133044832,0.30201283789939776,0.2854288567115376,0.1256112761655702,0.5889598671228922,0.07100326641385542,0.3183116892426878,0.6106850443434567,0.3827250577056526,0.12608613744442498,0.49118880484992244,0.07084698820185206,0.7594486946190295,0.1697043171791184,0.06940672780650017,0.477562357382252,0.4530309148112479
4,Granny Bb'b,2,60,i,657,658,18,first_second_person_keep_original,False,"To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, [[i]] just can't seem to make myself comfortable here!""","To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, i just can't seem to make myself comfortable here!""","To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, i just can't seem to make myself comfortable here!""","To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, i just can't seem to make myself comfortable here!""",1,10.513362900004722,0.10382890427129385,0.31043024951849735,0.5857408462102087,0.06459592945705794,0.30562248038393125,0.6297815901590108,0.0923425499914662,0.38513950445051076,0.522517945558023,0.13966072559992232,0.2309371926769025,0.6294020817231752,0.9709979634463407,0.01525088977837062,0.013751146775288658,0.1929561338772014,0.6662871208071645,0.14075674531563426
4,Granny Bb'b,3,61,myself,664,665,18,first_second_person_keep_original,False,"To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, i just can't seem to make [[myself]] comfortable here!""","To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, i just can't seem to make myself comfortable here!""","To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, i just can't seem to make myself comfortable here!""","To tell the tmth, my mother had been tossing and turning for several hours, saying: ""Uff, i just can't seem to make myself comfortable here!""",1,10.513362900004722,0.10382890427129385,0.31043024951849735,0.5857408462102087,0.06459592945705794,0.30562248038393125,0.6297815901590108,0.0923425499914662,0.38513950445051076,0.522517945558023,0.13958756263460953,0.2305909169945515,0.6298215203708389,0.9709698023425787,0.015237421646403312,0.013792776011017823,0.1928535834679684,0.6662582511474496,0.14088816538458193
4,Granny Bb'b,4,62,her,675,676,19,third_person_object_pronoun_to_canonical,True,"in other words, according to [[her]], she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to Granny Bb'b, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to Granny Bb'b, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to Granny Bb'b, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.",1,10.513362900004722,0.14616269861791178,0.19726047486927725,0.6565768265128109,0.2427434029633765,0.15734033224627322,0.5999162647903503,0.011652970647814119,0.05537647633768799,0.9329705530144979,0.07811641782965831,0.03527866446924882,0.8866049177010928,0.1599537050438015,0.5305207329873816,0.3095255619688169,0.12006178509892083,0.509941263053959,0.3699969518471201
4,Granny Bb'b,5,63,she,677,678,19,third_person_subject_pronoun_to_canonical,True,"in other words, according to her, [[she]] had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to her, Granny Bb'b had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to her, Granny Bb'b had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to her, Granny Bb'b had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.",1,10.513362900004722,0.14728686262109922,0.22946293348398014,0.6232502038949207,0.27775022092276,0.18412031161818235,0.5381294674590575,0.01760422529958073,0.07858907517346778,0.9038066995269515,0.08493235978435901,0.04844028174102363,0.8666273584746175,0.15450850814483,0.5491192164670502,0.2963722753881198,0.13341621038724769,0.5001383579568965,0.3664454316558557
4,Granny Bb'b,6,64,she,688,689,19,third_person_subject_pronoun_to_canonical,True,"in other words, according to her, she had become aware of a change in the place where [[she]] was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to her, she had become aware of a change in the place where Granny Bb'b was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to her, she had become aware of a change in the place where Granny Bb'b was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.","in other words, according to her, she had become aware of a change in the place where Granny Bb'b was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all her weight.",1,10.513362900004722,0.10226760026860969,0.25311474156188607,0.6446176581695043,0.13971026847919085,0.20169532513014476,0.6585944063906644,0.028259345347022645,0.13041492345679687,0.8413257311961804,0.09387276247401262,0.10932050982339608,0.7968067277025912,0.18368484444608507,0.5183107691381026,0.29800438641581234,0.12587963855193288,0.5174435409488566,0.35667682049921057
4,Granny Bb'b,7,67,she,740,741,19,third_person_subject_pronoun_to_canonical,True,"in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where [[she]] was accustomed to resting all her weight.","in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where Granny Bb'b was accustomed to resting all her weight.","in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where Granny Bb'b was accustomed to resting all her weight.","in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where Granny Bb'b was accustomed to resting all her weight.",1,10.513362900004722,0.12820473757656753,0.2495462137222546,0.6222490487011778,0.2442336393513698,0.1607992279570326,0.5949671326915976,0.02090714557465968,0.1013131275890114,0.8777797268363289,0.08885001927414583,0.05279634469369528,0.858353636032159,0.11746824073613768,0.6216624456131831,0.2608693136506793,0.1346963273398989,0.5340365187611252,0.33126715389897593
4,Granny Bb'b,8,68,her,746,747,19,third_person_possessive_pronoun_to_canonical_possessive,True,"in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all [[her]] weight.","in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all Granny Bb'b's weight.","in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all Granny Bb'b's weight.","in other words, according to her, she had become aware of a change in the place where she was lying: the dust wasn't the same as it had been before, soft, elastic, uniform, so you could wallow in it as much as you liked without leaving any print; instead, a kind of mt or furrow was being fonned, especially where she was accustomed to resting all Granny Bb'b's weight.",1,10.513362900004722,0.15885332149274292,0.1995387820871985,0.6416078964200586,0.19180752776217586,0.1912464139910256,0.6169460582467986,0.033122969086811255,0.12175182898817241,0.8451252019250163,0.13956788773558734,0.1099768493645013,0.7504552628999113,0.2090799001218521,0.45778877253459166,0.33313132734355627,0.11949098477540634,0.50838496931287,0.3721240459117236
4,Granny Bb'b,9,69,she,750,751,20,third_person_subject_pronoun_to_canonical,True,"And [[she]] thought she could feel underneath her something like granules or blobs or bumps; which perhaps, after all, were buried hundreds of miles farther down and were pressing through all those layers of soft dust.","And Granny Bb'b thought she could feel underneath her something like granules or blobs or bumps; which perhaps, after all, were buried hundreds of miles farther down and were pressing through all those layers of soft dust.","And Granny Bb'b thought she could feel underneath her something like granules or blobs or bumps; which perhaps, after all, were buried hundreds of miles farther down and were pressing through all those layers of soft dust.","And Granny Bb'b thought she could feel underneath her something like granules or blobs or bumps; which perhaps, after all, were buried hundreds of miles farther down and were pressing through all those layers of soft dust.",1,10.513362900004722,0.3311039377581082,0.36991460481002647,0.2989814574318654,0.10766197887790825,0.19533179369551976,0.6970062274265719,0.022448849912007178,0.2417311838167579,0.735819966271235,0.08739427387534532,0.08322948226579999,0.8293762438588546,0.13651100168968194,0.5555561382677074,0.3079328600426106,0.020647753199064443,0.482025556566925,0.4973266902340106
