rejected_global_cluster_uid,would_be_global_cluster_uid,merge_component_uid,rejection_reason,salience_percentile,salience_cutoff,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
rejected_global_cluster_000012,global_cluster_000017,merge_component_001336,below_global_cluster_salience_percentile,0.95,27,6,26,the library,library|the library,chunk_000::cluster_079|chunk_001::cluster_033|chunk_002::cluster_053|chunk_003::cluster_038|chunk_004::cluster_070|chunk_005::cluster_056,0,5
rejected_global_cluster_000011,global_cluster_000016,merge_component_001335,below_global_cluster_salience_percentile,0.95,27,8,25,the corridor,a narrow secret corridor|the corridor,chunk_000::cluster_089|chunk_001::cluster_017|chunk_002::cluster_054|chunk_003::cluster_013|chunk_004::cluster_137|chunk_004::cluster_169|chunk_005::cluster_076|chunk_005::cluster_115,0,5
rejected_global_cluster_000010,global_cluster_000015,merge_component_001334,below_global_cluster_salience_percentile,0.95,27,19,23,the servants,a group of frightened servants|frightened servants|none of our younger servants|our younger servants|the coaches walked the servants|the farm-servants|the servants|two of the farm-servants,chunk_000::cluster_019|chunk_000::cluster_020|chunk_001::cluster_141|chunk_003::cluster_143|chunk_003::cluster_144|chunk_003::cluster_177|chunk_003::cluster_178|chunk_004::cluster_090|chunk_004::cluster_127|chunk_004::cluster_128|chunk_004::cluster_142|chunk_004::cluster_143|chunk_004::cluster_148|chunk_005::cluster_024|chunk_005::cluster_065|chunk_005::cluster_066|chunk_005::cluster_083|chunk_005::cluster_084|chunk_005::cluster_090,0,5
rejected_global_cluster_000073,global_cluster_000084,merge_component_001363,below_global_cluster_salience_percentile,0.95,27,16,22,the staircase,the back staircase|the great oak staircase|the staircase|the top of the great oak staircase|the top of the oak staircase|the top of the staircase,chunk_000::cluster_114|chunk_000::cluster_115|chunk_000::cluster_156|chunk_001::cluster_022|chunk_001::cluster_023|chunk_001::cluster_069|chunk_001::cluster_137|chunk_002::cluster_007|chunk_002::cluster_087|chunk_002::cluster_119|chunk_003::cluster_018|chunk_003::cluster_039|chunk_003::cluster_082|chunk_004::cluster_036|chunk_004::cluster_120|chunk_005::cluster_073,0,5
rejected_global_cluster_000005,global_cluster_000008,merge_component_001329,below_global_cluster_salience_percentile,0.95,27,11,21,we,we,chunk_000::cluster_008|chunk_000::cluster_051|chunk_002::cluster_129|chunk_002::cluster_150|chunk_003::cluster_093|chunk_003::cluster_115|chunk_003::cluster_129|chunk_004::cluster_044|chunk_004::cluster_065|chunk_004::cluster_079|chunk_005::cluster_011,0,5
rejected_global_cluster_000112,global_cluster_000123,merge_component_001385,below_global_cluster_salience_percentile,0.95,27,12,19,there,there,chunk_000::cluster_175|chunk_000::cluster_185|chunk_001::cluster_088|chunk_001::cluster_128|chunk_002::cluster_031|chunk_002::cluster_077|chunk_002::cluster_147|chunk_003::cluster_037|chunk_003::cluster_112|chunk_004::cluster_002|chunk_004::cluster_063|chunk_005::cluster_132,0,5
rejected_global_cluster_000019,global_cluster_000024,merge_component_001340,below_global_cluster_salience_percentile,0.95,27,10,18,home,"europe, we'd have it at home|home",chunk_000::cluster_030|chunk_000::cluster_031|chunk_001::cluster_006|chunk_001::cluster_140|chunk_002::cluster_090|chunk_002::cluster_130|chunk_003::cluster_052|chunk_003::cluster_094|chunk_004::cluster_015|chunk_005::cluster_094,0,5
rejected_global_cluster_000063,global_cluster_000074,merge_component_001357,below_global_cluster_salience_percentile,0.95,27,6,15,I,i,chunk_000::cluster_130|chunk_001::cluster_050|chunk_002::cluster_059|chunk_003::cluster_023|chunk_004::cluster_138|chunk_005::cluster_079,0,5
rejected_global_cluster_000127,global_cluster_000138,merge_component_001393,below_global_cluster_salience_percentile,0.95,27,5,15,Washington,luckless washington|washington,chunk_001::cluster_003|chunk_002::cluster_043|chunk_003::cluster_140|chunk_004::cluster_116|chunk_005::cluster_052,1,5
rejected_global_cluster_000007,global_cluster_000012,merge_component_001332,below_global_cluster_salience_percentile,0.95,27,9,14,the rector of the parish,"one of the spare bedrooms; of the rector of the parish|several living members of my family, as well as by the rector of the parish|the parish|the rector of the parish|the spare bedrooms; of the rector of the parish",chunk_000::cluster_013|chunk_000::cluster_120|chunk_000::cluster_121|chunk_000::cluster_123|chunk_000::cluster_125|chunk_001::cluster_029|chunk_001::cluster_031|chunk_001::cluster_032|chunk_001::cluster_034,0,1
rejected_global_cluster_000080,global_cluster_000091,merge_component_001187,below_global_cluster_salience_percentile,0.95,27,2,14,Madame de Tremouillac,madame de tremouillac,chunk_000::cluster_129|chunk_001::cluster_038,0,1
rejected_global_cluster_000004,global_cluster_000007,merge_component_001328,below_global_cluster_salience_percentile,0.95,27,8,13,they,they,chunk_000::cluster_007|chunk_000::cluster_092|chunk_003::cluster_136|chunk_004::cluster_077|chunk_004::cluster_103|chunk_004::cluster_173|chunk_005::cluster_009|chunk_005::cluster_119,0,5
