global_cluster_uid,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
global_cluster_000000,3,16,the heart of the nebula,the edge of the nebula|the heart of the nebula|the nebula,chunk_000::cluster_006|chunk_000::cluster_023|chunk_000::cluster_075,0,0
global_cluster_000001,1,85,Qfwfq,qfwfq,chunk_000::cluster_003,0,0
global_cluster_000002,3,87,we,we,chunk_000::cluster_005|chunk_000::cluster_050|chunk_000::cluster_095,0,0
global_cluster_000003,1,19,my father,my father,chunk_000::cluster_020,0,0
global_cluster_000004,1,69,Granny Bb'b,granny bb'b,chunk_000::cluster_016,0,0
global_cluster_000005,2,61,Mr. Hnw,mr. hnw,chunk_000::cluster_008|chunk_000::cluster_027,0,0
global_cluster_000006,17,21,you,you,chunk_000::cluster_011|chunk_000::cluster_014|chunk_000::cluster_025|chunk_000::cluster_026|chunk_000::cluster_029|chunk_000::cluster_035|chunk_000::cluster_037|chunk_000::cluster_038|chunk_000::cluster_039|chunk_000::cluster_040|chunk_000::cluster_042|chunk_000::cluster_048|chunk_000::cluster_049|chunk_000::cluster_052|chunk_000::cluster_060|chunk_000::cluster_065|chunk_000::cluster_068,0,0
global_cluster_000007,1,46,G'd(w) n,g'd(w) n,chunk_000::cluster_019,0,0
global_cluster_000008,1,24,the twins,the twins,chunk_000::cluster_044,0,0
global_cluster_000009,1,26,those relatives,those relatives,chunk_000::cluster_056,0,0
