local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_000::cluster_000,chunk_000,0,0,the Galaxy,19
chunk_000::cluster_001,chunk_000,0,1,Qfwfq,1
chunk_000::cluster_002,chunk_000,0,2,I,210
chunk_000::cluster_003,chunk_000,0,3,space,18
chunk_000::cluster_004,chunk_000,0,4,the Sun,2
chunk_000::cluster_005,chunk_000,0,5,you,1
chunk_000::cluster_006,chunk_000,0,6,you,1
chunk_000::cluster_007,chunk_000,0,7,you,1
chunk_000::cluster_008,chunk_000,0,8,your,1
chunk_000::cluster_009,chunk_000,0,9,you,1
chunk_000::cluster_010,chunk_000,0,10,your,1
chunk_000::cluster_011,chunk_000,0,11,you,1
chunk_000::cluster_012,chunk_000,0,12,you,1
chunk_000::cluster_013,chunk_000,0,13,you young ones,1
chunk_000::cluster_014,chunk_000,0,14,nobody,1
chunk_000::cluster_015,chunk_000,0,15,all the other points in space,1
chunk_000::cluster_016,chunk_000,0,16,the planets,1
chunk_000::cluster_017,chunk_000,0,17,the solar system,1
chunk_000::cluster_018,chunk_000,0,18,its,1
chunk_000::cluster_019,chunk_000,0,19,the endless fields of space,1
chunk_000::cluster_020,chunk_000,0,20,constellations,1
chunk_000::cluster_021,chunk_000,0,21,planets,1
chunk_000::cluster_022,chunk_000,0,22,an ordinary spot,1
chunk_000::cluster_023,chunk_000,0,23,"an ordinary spot, out of all the orbit",1
chunk_000::cluster_024,chunk_000,0,24,all those revolving worlds,1
chunk_000::cluster_025,chunk_000,0,25,other points,1
chunk_000::cluster_026,chunk_000,0,26,you,1
chunk_000::cluster_027,chunk_000,0,27,that place,1
chunk_000::cluster_028,chunk_000,0,28,the only one who had ever made signs,1
chunk_000::cluster_029,chunk_000,0,29,that spot,3
chunk_000::cluster_030,chunk_000,0,30,we,14
chunk_000::cluster_031,chunk_000,0,31,our,1
chunk_000::cluster_032,chunk_000,0,32,distant spaces,1
chunk_000::cluster_033,chunk_000,0,33,the sign,4
chunk_000::cluster_034,chunk_000,0,34,the celestial bodies,2
chunk_000::cluster_035,chunk_000,0,35,our world,6
chunk_000::cluster_036,chunk_000,0,36,you,1
chunk_000::cluster_037,chunk_000,0,37,you,1
chunk_000::cluster_038,chunk_000,0,38,that very point,1
chunk_000::cluster_039,chunk_000,0,39,the one who had made the sign at that point,1
chunk_000::cluster_040,chunk_000,0,40,a chasm,1
chunk_000::cluster_041,chunk_000,0,41,another planetary system which perfonned its galactic revolution before us,1
chunk_000::cluster_042,chunk_000,0,42,its,1
chunk_000::cluster_043,chunk_000,0,43,Kgwgk,20
chunk_000::cluster_044,chunk_000,0,44,our system,2
chunk_000::cluster_045,chunk_000,0,45,the universe,4
chunk_000::cluster_047,chunk_000,0,47,itself,1
chunk_000::cluster_048,chunk_000,0,48,you,1
chunk_000::cluster_049,chunk_000,0,49,you,1
chunk_000::cluster_050,chunk_000,0,50,you,1
chunk_000::cluster_051,chunk_000,0,51,worlds in flight,1
chunk_000::cluster_052,chunk_000,0,52,the craters of the volcanoes,1
chunk_000::cluster_053,chunk_000,0,53,the continents,1
chunk_000::cluster_054,chunk_000,0,54,every corner of the circum-galactic sphere,1
chunk_000::cluster_055,chunk_000,0,55,the circum-galactic sphere,1
chunk_000::cluster_056,chunk_000,0,56,Kgwgk's constellation,1
chunk_000::cluster_057,chunk_000,0,57,our,1
chunk_000::cluster_058,chunk_000,0,58,the one who makes them,1
chunk_000::cluster_059,chunk_000,0,59,that uniformly barren and colorless expanse,1
chunk_000::cluster_060,chunk_000,0,60,the points where we passed,1
chunk_000::cluster_061,chunk_000,0,61,billions of planets of other solar systems,1
chunk_000::cluster_062,chunk_000,0,62,other solar systems,1
chunk_000::cluster_063,chunk_000,0,63,all the worlds,1
chunk_000::cluster_064,chunk_000,0,64,anybody who had an opportunity,1
chunk_000::cluster_065,chunk_000,0,65,his,1
chunk_000::cluster_066,chunk_000,0,66,our,1
chunk_000::cluster_067,chunk_000,0,67,the desert,1
chunk_000::cluster_068,chunk_000,0,68,us,1
chunk_000::cluster_069,chunk_000,0,69,those who meant to make a sign,1
chunk_000::cluster_070,chunk_000,0,70,"those who meant to make a sign), the fire- streaks against a wall of schistose rock",1
chunk_000::cluster_071,chunk_000,0,71,a tomb,1
chunk_000::cluster_072,chunk_000,0,72,you,1
chunk_000::cluster_073,chunk_000,0,73,the Melbourne docks,1
chunk_000::cluster_074,chunk_000,0,74,Melbourne,1
chunk_000::cluster_075,chunk_000,0,75,the Earth,1
chunk_000::cluster_076,chunk_000,0,76,a container,1
