local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_098::cluster_000::mention_000,chunk_098::cluster_000,chunk_098,98,0,0,1,7,300665,300671,All the people of the court,3,300667,left_overlap,300665:300671:all the people of the court
chunk_098::cluster_001::mention_000,chunk_098::cluster_001,chunk_098,98,1,0,12,16,300676,300680,Morgause's youngest son,15,300679,left_overlap,300676:300680:morgause's youngest son
chunk_098::cluster_002::mention_000,chunk_098::cluster_002,chunk_098,98,2,0,18,21,300682,300685,knight and Companion,18,300682,left_overlap,300682:300685:knight and companion
chunk_098::cluster_003::mention_000,chunk_098::cluster_003,chunk_098,98,3,0,25,26,300689,300690,she,25,300689,left_overlap,300689:300690:she
chunk_098::cluster_003::mention_001,chunk_098::cluster_003,chunk_098,98,3,1,29,30,300693,300694,I,29,300693,left_overlap,300693:300694:i
chunk_098::cluster_003::mention_002,chunk_098::cluster_003,chunk_098,98,3,2,31,32,300695,300696,I,31,300695,left_overlap,300695:300696:i
chunk_098::cluster_003::mention_003,chunk_098::cluster_003,chunk_098,98,3,3,36,37,300700,300701,you,36,300700,left_overlap,300700:300701:you
chunk_098::cluster_003::mention_004,chunk_098::cluster_003,chunk_098,98,3,4,42,43,300706,300707,she,42,300706,left_overlap,300706:300707:she
chunk_098::cluster_003::mention_005,chunk_098::cluster_003,chunk_098,98,3,5,55,56,300719,300720,she,55,300719,left_overlap,300719:300720:she
chunk_098::cluster_003::mention_006,chunk_098::cluster_003,chunk_098,98,3,6,62,63,300726,300727,you,62,300726,left_overlap,300726:300727:you
chunk_098::cluster_003::mention_007,chunk_098::cluster_003,chunk_098,98,3,7,66,67,300730,300731,Mother,66,300730,left_overlap,300730:300731:mother
chunk_098::cluster_003::mention_008,chunk_098::cluster_003,chunk_098,98,3,8,71,72,300735,300736,I,71,300735,left_overlap,300735:300736:i
chunk_098::cluster_003::mention_009,chunk_098::cluster_003,chunk_098,98,3,9,73,74,300737,300738,you,73,300737,left_overlap,300737:300738:you
chunk_098::cluster_003::mention_010,chunk_098::cluster_003,chunk_098,98,3,10,82,83,300746,300747,Viviane,82,300746,left_overlap,300746:300747:viviane
chunk_098::cluster_003::mention_011,chunk_098::cluster_003,chunk_098,98,3,11,92,93,300756,300757,my,92,300756,left_overlap,300756:300757:my
chunk_098::cluster_003::mention_012,chunk_098::cluster_003,chunk_098,98,3,12,100,101,300764,300765,I,100,300764,left_overlap,300764:300765:i
chunk_098::cluster_003::mention_014,chunk_098::cluster_003,chunk_098,98,3,14,157,158,300821,300822,Morgaine,157,300821,left_overlap,300821:300822:morgaine
chunk_098::cluster_003::mention_015,chunk_098::cluster_003,chunk_098,98,3,15,162,163,300826,300827,her,162,300826,left_overlap,300826:300827:her
chunk_098::cluster_003::mention_016,chunk_098::cluster_003,chunk_098,98,3,16,173,174,300837,300838,her,173,300837,left_overlap,300837:300838:her
chunk_098::cluster_003::mention_017,chunk_098::cluster_003,chunk_098,98,3,17,210,211,300874,300875,her,210,300874,left_overlap,300874:300875:her
chunk_098::cluster_003::mention_018,chunk_098::cluster_003,chunk_098,98,3,18,216,217,300880,300881,Viviane,216,300880,left_overlap,300880:300881:viviane
chunk_098::cluster_003::mention_019,chunk_098::cluster_003,chunk_098,98,3,19,218,219,300882,300883,her,218,300882,left_overlap,300882:300883:her
chunk_098::cluster_003::mention_020,chunk_098::cluster_003,chunk_098,98,3,20,222,223,300886,300887,she,222,300886,left_overlap,300886:300887:she
chunk_098::cluster_003::mention_021,chunk_098::cluster_003,chunk_098,98,3,21,228,229,300892,300893,Morgaine,228,300892,left_overlap,300892:300893:morgaine
chunk_098::cluster_003::mention_022,chunk_098::cluster_003,chunk_098,98,3,22,241,242,300905,300906,me,241,300905,left_overlap,300905:300906:me
chunk_098::cluster_003::mention_023,chunk_098::cluster_003,chunk_098,98,3,23,257,258,300921,300922,I,257,300921,left_overlap,300921:300922:i
chunk_098::cluster_003::mention_024,chunk_098::cluster_003,chunk_098,98,3,24,264,265,300928,300929,your,264,300928,left_overlap,300928:300929:your
chunk_098::cluster_003::mention_025,chunk_098::cluster_003,chunk_098,98,3,25,267,268,300931,300932,child,267,300931,left_overlap,300931:300932:child
chunk_098::cluster_003::mention_026,chunk_098::cluster_003,chunk_098,98,3,26,269,270,300933,300934,I,269,300933,left_overlap,300933:300934:i
chunk_098::cluster_003::mention_027,chunk_098::cluster_003,chunk_098,98,3,27,279,280,300943,300944,me-,279,300943,left_overlap,300943:300944:me-
chunk_098::cluster_003::mention_028,chunk_098::cluster_003,chunk_098,98,3,28,281,282,300945,300946,She,281,300945,left_overlap,300945:300946:she
chunk_098::cluster_003::mention_029,chunk_098::cluster_003,chunk_098,98,3,29,292,293,300956,300957,me,292,300956,left_overlap,300956:300957:me
chunk_098::cluster_003::mention_030,chunk_098::cluster_003,chunk_098,98,3,30,303,304,300967,300968,me,303,300967,left_overlap,300967:300968:me
chunk_098::cluster_003::mention_031,chunk_098::cluster_003,chunk_098,98,3,31,305,306,300969,300970,myself,305,300969,left_overlap,300969:300970:myself
chunk_098::cluster_003::mention_032,chunk_098::cluster_003,chunk_098,98,3,32,308,309,300972,300973,myself,308,300972,left_overlap,300972:300973:myself
chunk_098::cluster_003::mention_033,chunk_098::cluster_003,chunk_098,98,3,33,321,322,300985,300986,Morgaine,321,300985,left_overlap,300985:300986:morgaine
chunk_098::cluster_003::mention_034,chunk_098::cluster_003,chunk_098,98,3,34,323,324,300987,300988,her,323,300987,left_overlap,300987:300988:her
chunk_098::cluster_003::mention_035,chunk_098::cluster_003,chunk_098,98,3,35,327,328,300991,300992,she,327,300991,left_overlap,300991:300992:she
chunk_098::cluster_003::mention_036,chunk_098::cluster_003,chunk_098,98,3,36,348,349,301012,301013,she,348,301012,left_overlap,301012:301013:she
chunk_098::cluster_003::mention_037,chunk_098::cluster_003,chunk_098,98,3,37,349,350,301013,301014,herself,349,301013,left_overlap,301013:301014:herself
chunk_098::cluster_003::mention_038,chunk_098::cluster_003,chunk_098,98,3,38,351,352,301015,301016,Viviane,351,301015,left_overlap,301015:301016:viviane
chunk_098::cluster_003::mention_039,chunk_098::cluster_003,chunk_098,98,3,39,363,364,301027,301028,her,363,301027,left_overlap,301027:301028:her
chunk_098::cluster_003::mention_040,chunk_098::cluster_003,chunk_098,98,3,40,366,367,301030,301031,her,366,301030,left_overlap,301030:301031:her
chunk_098::cluster_003::mention_041,chunk_098::cluster_003,chunk_098,98,3,41,376,377,301040,301041,I,376,301040,left_overlap,301040:301041:i
chunk_098::cluster_003::mention_042,chunk_098::cluster_003,chunk_098,98,3,42,385,386,301049,301050,Viviane,385,301049,left_overlap,301049:301050:viviane
chunk_098::cluster_003::mention_043,chunk_098::cluster_003,chunk_098,98,3,43,391,392,301055,301056,me,391,301055,left_overlap,301055:301056:me
chunk_098::cluster_003::mention_044,chunk_098::cluster_003,chunk_098,98,3,44,399,400,301063,301064,her,399,301063,left_overlap,301063:301064:her
chunk_098::cluster_003::mention_045,chunk_098::cluster_003,chunk_098,98,3,45,403,404,301067,301068,Viviane,403,301067,left_overlap,301067:301068:viviane
chunk_098::cluster_003::mention_046,chunk_098::cluster_003,chunk_098,98,3,46,407,408,301071,301072,she,407,301071,left_overlap,301071:301072:she
chunk_098::cluster_003::mention_047,chunk_098::cluster_003,chunk_098,98,3,47,410,411,301074,301075,her,410,301074,left_overlap,301074:301075:her
chunk_098::cluster_003::mention_048,chunk_098::cluster_003,chunk_098,98,3,48,428,429,301092,301093,you,428,301092,left_overlap,301092:301093:you
chunk_098::cluster_003::mention_049,chunk_098::cluster_003,chunk_098,98,3,49,457,458,301121,301122,Viviane,457,301121,left_overlap,301121:301122:viviane
chunk_098::cluster_003::mention_050,chunk_098::cluster_003,chunk_098,98,3,50,463,464,301127,301128,I,463,301127,left_overlap,301127:301128:i
chunk_098::cluster_003::mention_051,chunk_098::cluster_003,chunk_098,98,3,51,599,600,301263,301264,I,599,301263,left_overlap,301263:301264:i
chunk_098::cluster_003::mention_052,chunk_098::cluster_003,chunk_098,98,3,52,610,611,301274,301275,I,610,301274,left_overlap,301274:301275:i
chunk_098::cluster_003::mention_053,chunk_098::cluster_003,chunk_098,98,3,53,613,614,301277,301278,I,613,301277,left_overlap,301277:301278:i
chunk_098::cluster_003::mention_054,chunk_098::cluster_003,chunk_098,98,3,54,619,620,301283,301284,my,619,301283,left_overlap,301283:301284:my
chunk_098::cluster_003::mention_055,chunk_098::cluster_003,chunk_098,98,3,55,623,624,301287,301288,Morgaine,623,301287,left_overlap,301287:301288:morgaine
chunk_098::cluster_003::mention_056,chunk_098::cluster_003,chunk_098,98,3,56,627,628,301291,301292,her,627,301291,left_overlap,301291:301292:her
chunk_098::cluster_003::mention_057,chunk_098::cluster_003,chunk_098,98,3,57,638,639,301302,301303,She,638,301302,left_overlap,301302:301303:she
chunk_098::cluster_003::mention_058,chunk_098::cluster_003,chunk_098,98,3,58,640,641,301304,301305,her,640,301304,left_overlap,301304:301305:her
chunk_098::cluster_003::mention_059,chunk_098::cluster_003,chunk_098,98,3,59,648,649,301312,301313,1,648,301312,left_overlap,301312:301313:1
chunk_098::cluster_003::mention_060,chunk_098::cluster_003,chunk_098,98,3,60,671,672,301335,301336,Viviane,671,301335,left_overlap,301335:301336:viviane
chunk_098::cluster_003::mention_061,chunk_098::cluster_003,chunk_098,98,3,61,729,730,301393,301394,you,729,301393,left_overlap,301393:301394:you
chunk_098::cluster_003::mention_062,chunk_098::cluster_003,chunk_098,98,3,62,731,732,301395,301396,Morgaine,731,301395,left_overlap,301395:301396:morgaine
chunk_098::cluster_003::mention_063,chunk_098::cluster_003,chunk_098,98,3,63,735,736,301399,301400,your,735,301399,left_overlap,301399:301400:your
chunk_098::cluster_003::mention_064,chunk_098::cluster_003,chunk_098,98,3,64,793,794,301457,301458,She,793,301457,left_overlap,301457:301458:she
chunk_098::cluster_003::mention_065,chunk_098::cluster_003,chunk_098,98,3,65,795,796,301459,301460,Morgaine,795,301459,left_overlap,301459:301460:morgaine
chunk_098::cluster_003::mention_066,chunk_098::cluster_003,chunk_098,98,3,66,802,803,301466,301467,You,802,301466,left_overlap,301466:301467:you
chunk_098::cluster_003::mention_067,chunk_098::cluster_003,chunk_098,98,3,67,810,811,301474,301475,Morgaine,810,301474,left_overlap,301474:301475:morgaine
chunk_098::cluster_003::mention_068,chunk_098::cluster_003,chunk_098,98,3,68,812,813,301476,301477,her,812,301476,left_overlap,301476:301477:her
chunk_098::cluster_003::mention_069,chunk_098::cluster_003,chunk_098,98,3,69,817,818,301481,301482,you,817,301481,left_overlap,301481:301482:you
chunk_098::cluster_003::mention_071,chunk_098::cluster_003,chunk_098,98,3,71,820,821,301484,301485,my,820,301484,left_overlap,301484:301485:my
chunk_098::cluster_003::mention_073,chunk_098::cluster_003,chunk_098,98,3,73,823,824,301487,301488,kinswoman,823,301487,left_overlap,301487:301488:kinswoman
chunk_098::cluster_003::mention_076,chunk_098::cluster_003,chunk_098,98,3,76,828,829,301492,301493,Igraine,828,301492,left_overlap,301492:301493:igraine
chunk_098::cluster_003::mention_077,chunk_098::cluster_003,chunk_098,98,3,77,836,837,301500,301501,Viviane,836,301500,left_overlap,301500:301501:viviane
chunk_098::cluster_003::mention_078,chunk_098::cluster_003,chunk_098,98,3,78,843,844,301507,301508,I,843,301507,left_overlap,301507:301508:i
chunk_098::cluster_003::mention_079,chunk_098::cluster_003,chunk_098,98,3,79,845,846,301509,301510,you,845,301509,left_overlap,301509:301510:you
chunk_098::cluster_003::mention_080,chunk_098::cluster_003,chunk_098,98,3,80,855,856,301519,301520,I,855,301519,left_overlap,301519:301520:i
chunk_098::cluster_003::mention_081,chunk_098::cluster_003,chunk_098,98,3,81,857,858,301521,301522,you,857,301521,left_overlap,301521:301522:you
chunk_098::cluster_003::mention_082,chunk_098::cluster_003,chunk_098,98,3,82,862,863,301526,301527,I,862,301526,left_overlap,301526:301527:i
chunk_098::cluster_003::mention_083,chunk_098::cluster_003,chunk_098,98,3,83,866,867,301530,301531,you,866,301530,left_overlap,301530:301531:you
chunk_098::cluster_003::mention_084,chunk_098::cluster_003,chunk_098,98,3,84,870,871,301534,301535,You,870,301534,left_overlap,301534:301535:you
chunk_098::cluster_003::mention_085,chunk_098::cluster_003,chunk_098,98,3,85,876,878,301540,301542,darling child,877,301541,left_overlap,301540:301542:darling child
chunk_098::cluster_003::mention_086,chunk_098::cluster_003,chunk_098,98,3,86,881,882,301545,301546,you,881,301545,left_overlap,301545:301546:you
chunk_098::cluster_003::mention_087,chunk_098::cluster_003,chunk_098,98,3,87,886,887,301550,301551,She,886,301550,left_overlap,301550:301551:she
chunk_098::cluster_003::mention_088,chunk_098::cluster_003,chunk_098,98,3,88,892,893,301556,301557,her,892,301556,left_overlap,301556:301557:her
chunk_098::cluster_003::mention_089,chunk_098::cluster_003,chunk_098,98,3,89,895,896,301559,301560,her,895,301559,left_overlap,301559:301560:her
chunk_098::cluster_003::mention_090,chunk_098::cluster_003,chunk_098,98,3,90,901,902,301565,301566,her,901,301565,left_overlap,301565:301566:her
chunk_098::cluster_003::mention_091,chunk_098::cluster_003,chunk_098,98,3,91,905,906,301569,301570,Morgaine,905,301569,left_overlap,301569:301570:morgaine
chunk_098::cluster_003::mention_092,chunk_098::cluster_003,chunk_098,98,3,92,915,916,301579,301580,her,915,301579,left_overlap,301579:301580:her
chunk_098::cluster_003::mention_093,chunk_098::cluster_003,chunk_098,98,3,93,920,921,301584,301585,1,920,301584,left_overlap,301584:301585:1
chunk_098::cluster_003::mention_094,chunk_098::cluster_003,chunk_098,98,3,94,924,925,301588,301589,I,924,301588,left_overlap,301588:301589:i
chunk_098::cluster_003::mention_095,chunk_098::cluster_003,chunk_098,98,3,95,928,929,301592,301593,Viviane,928,301592,left_overlap,301592:301593:viviane
