relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_logits_json,selection_method
rel_24_439_25,24,439,439,441,25,1,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.92236328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.496337890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.3515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.0234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.54345703125}",nli_grouped_softmax
rel_35_563_36,35,563,563,565,36,3,4,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.8759765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.939453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -3.083984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.5791015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.9990234375}",nli_grouped_softmax
rel_55_830_56,55,830,830,831,56,3,4,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.86474609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.9912109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.48828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.0771484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.5400390625}",nli_grouped_softmax
rel_71_1061_72,71,1061,1061,1063,72,4,2,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.4228515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.572265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.1083984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9033203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.234375}",nli_grouped_softmax
rel_76_1115_77,76,1115,1115,1116,77,3,4,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.28125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.142578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.36328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.5361328125}",nli_grouped_softmax
rel_168_2204_169,168,2204,2204,2205,169,4,5,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.8623046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -2.236328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.357421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.3974609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -2.013671875}",nli_grouped_softmax
rel_193_2370_194,193,2370,2370,2371,194,1,8,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.3115234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.8779296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.513671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.3251953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.4951171875}",nli_grouped_softmax
rel_209_2515_210,209,2515,2515,2516,210,3,5,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.416015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -1.412109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.83642578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.080078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.5859375}",nli_grouped_softmax
rel_215_2560_216,215,2560,2560,2561,216,1,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.224609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.398193359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.95703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.83203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.97216796875}",nli_grouped_softmax
rel_244_2790_245,244,2790,2790,2792,245,9,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.169921875, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -0.312744140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.0390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.2373046875}",nli_grouped_softmax
