rejected_global_cluster_uid,would_be_global_cluster_uid,merge_component_uid,rejection_reason,salience_percentile,salience_cutoff,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
rejected_global_cluster_000327,global_cluster_000352,merge_component_001707,below_global_cluster_salience_percentile,0.95,66,3,65,my grandfather,his band|my grandfather,chunk_010::cluster_078|chunk_011::cluster_022|chunk_011::cluster_025,10,11
rejected_global_cluster_000004,global_cluster_000006,merge_component_001866,below_global_cluster_salience_percentile,0.95,66,27,63,the house,a house|any house|fewer houses|houses|my house|no houses|several of these houses|the house|the new house|the next house|these houses|your house,chunk_000::cluster_004|chunk_001::cluster_043|chunk_001::cluster_057|chunk_001::cluster_085|chunk_001::cluster_111|chunk_002::cluster_003|chunk_002::cluster_038|chunk_002::cluster_056|chunk_003::cluster_015|chunk_003::cluster_052|chunk_004::cluster_009|chunk_005::cluster_043|chunk_005::cluster_044|chunk_005::cluster_053|chunk_005::cluster_054|chunk_006::cluster_022|chunk_006::cluster_023|chunk_006::cluster_031|chunk_006::cluster_102|chunk_007::cluster_062|chunk_007::cluster_112|chunk_008::cluster_053|chunk_011::cluster_100|chunk_013::cluster_065|chunk_014::cluster_011|chunk_014::cluster_076|chunk_015::cluster_031,0,15
rejected_global_cluster_000388,global_cluster_000413,merge_component_001265,below_global_cluster_salience_percentile,0.95,66,1,61,the others,the others,chunk_012::cluster_041,12,12
rejected_global_cluster_000182,global_cluster_000201,merge_component_001954,below_global_cluster_salience_percentile,0.95,66,4,60,the Queen of all the Field Mice,the mice|the queen of all the field mice,chunk_004::cluster_061|chunk_004::cluster_062|chunk_005::cluster_025|chunk_005::cluster_026,4,5
rejected_global_cluster_000173,global_cluster_000192,merge_component_001675,below_global_cluster_salience_percentile,0.95,66,2,58,the Stork,the stork,chunk_004::cluster_046|chunk_005::cluster_013,4,5
rejected_global_cluster_000001,global_cluster_000002,merge_component_001863,below_global_cluster_salience_percentile,0.95,66,8,55,Uncle Henry,the tin woodman|uncle henry,chunk_000::cluster_005|chunk_006::cluster_106|chunk_007::cluster_085|chunk_008::cluster_030|chunk_012::cluster_076|chunk_013::cluster_024|chunk_014::cluster_105|chunk_015::cluster_046,0,15
rejected_global_cluster_000036,global_cluster_000046,merge_component_001886,below_global_cluster_salience_percentile,0.95,66,48,55,them,a better man than some of them|a man as any of them|beautiful green fields before them|each one of them|most of them|none of them|one of them|pretty rippling brooks with strong bridges across them|the biggest of them|the road from which the river had carried them|the tallest of them|them|two of them,chunk_000::cluster_056|chunk_001::cluster_102|chunk_001::cluster_103|chunk_001::cluster_105|chunk_002::cluster_016|chunk_002::cluster_026|chunk_002::cluster_029|chunk_003::cluster_057|chunk_004::cluster_016|chunk_004::cluster_024|chunk_004::cluster_045|chunk_004::cluster_056|chunk_005::cluster_021|chunk_006::cluster_088|chunk_006::cluster_089|chunk_007::cluster_024|chunk_007::cluster_048|chunk_007::cluster_049|chunk_007::cluster_118|chunk_007::cluster_119|chunk_008::cluster_060|chunk_008::cluster_063|chunk_009::cluster_001|chunk_009::cluster_007|chunk_009::cluster_009|chunk_009::cluster_058|chunk_009::cluster_083|chunk_009::cluster_088|chunk_009::cluster_089|chunk_010::cluster_023|chunk_010::cluster_049|chunk_010::cluster_057|chunk_011::cluster_090|chunk_012::cluster_016|chunk_012::cluster_077|chunk_013::cluster_025|chunk_013::cluster_066|chunk_013::cluster_094|chunk_014::cluster_012|chunk_014::cluster_022|chunk_014::cluster_042|chunk_014::cluster_062|chunk_014::cluster_075|chunk_014::cluster_087|chunk_015::cluster_009|chunk_015::cluster_011|chunk_015::cluster_030|chunk_015::cluster_045,0,15
rejected_global_cluster_000257,global_cluster_000280,merge_component_001980,below_global_cluster_salience_percentile,0.95,66,14,54,her castle,a room of the castle|her castle|many of the beautiful rooms in her castle|one of the big yellow rooms of the castle|the castle,chunk_007::cluster_117|chunk_008::cluster_017|chunk_008::cluster_085|chunk_009::cluster_028|chunk_009::cluster_037|chunk_009::cluster_064|chunk_010::cluster_005|chunk_010::cluster_029|chunk_012::cluster_083|chunk_013::cluster_035|chunk_014::cluster_083|chunk_014::cluster_091|chunk_015::cluster_040|chunk_015::cluster_051,7,15
rejected_global_cluster_000012,global_cluster_000016,merge_component_001870,below_global_cluster_salience_percentile,0.95,66,24,52,the country,"a boy, and he said it was a long journey through a dangerous country|a civilized country|a dangerous country|a lovely country|a strange and beautiful country|any other country|flat country|her country|the civilized countries|the country|the south country|the strangers still traveling through her country|their country|this country|your country",chunk_000::cluster_016|chunk_000::cluster_067|chunk_000::cluster_068|chunk_001::cluster_088|chunk_002::cluster_071|chunk_002::cluster_072|chunk_003::cluster_036|chunk_003::cluster_037|chunk_003::cluster_062|chunk_004::cluster_026|chunk_005::cluster_012|chunk_007::cluster_065|chunk_007::cluster_120|chunk_008::cluster_059|chunk_008::cluster_061|chunk_008::cluster_072|chunk_009::cluster_026|chunk_011::cluster_078|chunk_012::cluster_005|chunk_012::cluster_019|chunk_013::cluster_046|chunk_014::cluster_032|chunk_014::cluster_089|chunk_015::cluster_048,0,15
rejected_global_cluster_000016,global_cluster_000021,merge_component_001874,below_global_cluster_salience_percentile,0.95,66,39,52,you,each one of you|you,chunk_000::cluster_024|chunk_000::cluster_111|chunk_001::cluster_039|chunk_001::cluster_069|chunk_001::cluster_091|chunk_001::cluster_093|chunk_002::cluster_012|chunk_002::cluster_015|chunk_002::cluster_046|chunk_003::cluster_049|chunk_003::cluster_051|chunk_003::cluster_053|chunk_003::cluster_079|chunk_004::cluster_006|chunk_004::cluster_007|chunk_004::cluster_010|chunk_004::cluster_011|chunk_006::cluster_012|chunk_006::cluster_015|chunk_006::cluster_077|chunk_007::cluster_003|chunk_007::cluster_004|chunk_007::cluster_033|chunk_008::cluster_032|chunk_009::cluster_062|chunk_009::cluster_075|chunk_010::cluster_027|chunk_010::cluster_040|chunk_011::cluster_086|chunk_011::cluster_087|chunk_011::cluster_107|chunk_011::cluster_111|chunk_012::cluster_033|chunk_012::cluster_036|chunk_012::cluster_039|chunk_012::cluster_040|chunk_012::cluster_098|chunk_015::cluster_021|chunk_015::cluster_072,0,15
rejected_global_cluster_000181,global_cluster_000200,merge_component_001953,below_global_cluster_salience_percentile,0.95,66,4,52,a Queen,a queen|gayelette|the queen,chunk_004::cluster_060|chunk_005::cluster_024|chunk_009::cluster_082|chunk_010::cluster_048,4,10
rejected_global_cluster_000151,global_cluster_000169,merge_component_001938,below_global_cluster_salience_percentile,0.95,66,7,48,the river,a scarecrow stuck on a pole in the middle of a river|the bottom of the river|the middle of the river|the river,chunk_003::cluster_034|chunk_003::cluster_077|chunk_004::cluster_025|chunk_004::cluster_041|chunk_005::cluster_004|chunk_010::cluster_082|chunk_011::cluster_027,3,11
rejected_global_cluster_000161,global_cluster_000179,merge_component_001671,below_global_cluster_salience_percentile,0.95,66,2,48,the Kalidahs,the kalidahs,chunk_003::cluster_061|chunk_004::cluster_021,3,4
rejected_global_cluster_000397,global_cluster_000422,merge_component_001716,below_global_cluster_salience_percentile,0.95,66,2,45,the soldier,the soldier,chunk_012::cluster_071|chunk_013::cluster_027,12,13
rejected_global_cluster_000043,global_cluster_000054,merge_component_001893,below_global_cluster_salience_percentile,0.95,66,14,44,the world,one of the most wonderful rooms in the world|the sweetest little room in the world|the world,chunk_000::cluster_072|chunk_001::cluster_022|chunk_002::cluster_007|chunk_003::cluster_024|chunk_005::cluster_055|chunk_006::cluster_033|chunk_006::cluster_086|chunk_006::cluster_093|chunk_007::cluster_046|chunk_007::cluster_053|chunk_012::cluster_070|chunk_013::cluster_019|chunk_014::cluster_038|chunk_015::cluster_068,0,15
rejected_global_cluster_000323,global_cluster_000348,merge_component_001062,below_global_cluster_salience_percentile,0.95,66,1,39,Quelala,quelala,chunk_010::cluster_072,10,10
rejected_global_cluster_000360,global_cluster_000385,merge_component_002004,below_global_cluster_salience_percentile,0.95,66,5,39,the balloon,a balloon|the balloon,chunk_011::cluster_076|chunk_011::cluster_077|chunk_012::cluster_004|chunk_012::cluster_057|chunk_013::cluster_003,11,13
rejected_global_cluster_000050,global_cluster_000063,merge_component_001899,below_global_cluster_salience_percentile,0.95,66,18,38,her slaves,a dozen of her slaves|her slave|her slaves|my slave|slaves|your slaves,chunk_000::cluster_090|chunk_001::cluster_016|chunk_003::cluster_075|chunk_004::cluster_039|chunk_007::cluster_105|chunk_007::cluster_107|chunk_007::cluster_115|chunk_008::cluster_047|chunk_008::cluster_049|chunk_008::cluster_057|chunk_008::cluster_066|chunk_008::cluster_074|chunk_008::cluster_084|chunk_009::cluster_012|chunk_009::cluster_014|chunk_009::cluster_036|chunk_009::cluster_050|chunk_010::cluster_012,0,10
rejected_global_cluster_000130,global_cluster_000148,merge_component_001927,below_global_cluster_salience_percentile,0.95,66,6,37,the Munchkin girls,a little girl|the girl|the green girl|the munchkin girls,chunk_002::cluster_052|chunk_002::cluster_053|chunk_003::cluster_012|chunk_006::cluster_109|chunk_007::cluster_035|chunk_007::cluster_069,2,7
rejected_global_cluster_000002,global_cluster_000003,merge_component_001864,below_global_cluster_salience_percentile,0.95,66,11,35,a farmer,a farmer|good farmers|the farmer,chunk_000::cluster_001|chunk_000::cluster_003|chunk_000::cluster_116|chunk_001::cluster_042|chunk_001::cluster_089|chunk_005::cluster_042|chunk_006::cluster_021|chunk_012::cluster_073|chunk_013::cluster_022|chunk_014::cluster_082|chunk_015::cluster_039,0,15
rejected_global_cluster_000409,global_cluster_000434,merge_component_001333,below_global_cluster_salience_percentile,0.95,66,1,35,the people,the people,chunk_013::cluster_006,13,13
rejected_global_cluster_000434,global_cluster_000459,merge_component_002020,below_global_cluster_salience_percentile,0.95,66,5,35,one of our clowns,one of our clowns|our clowns|the clown,chunk_013::cluster_084|chunk_013::cluster_086|chunk_013::cluster_088|chunk_014::cluster_033|chunk_014::cluster_035,13,14
rejected_global_cluster_000134,global_cluster_000152,merge_component_001929,below_global_cluster_salience_percentile,0.95,66,8,34,the tinsmith,the tinsmith|the tinsmiths|tinsmiths|very good tinsmiths,chunk_002::cluster_059|chunk_003::cluster_018|chunk_009::cluster_055|chunk_009::cluster_057|chunk_009::cluster_059|chunk_010::cluster_020|chunk_010::cluster_022|chunk_010::cluster_024,2,10
rejected_global_cluster_000459,global_cluster_000486,merge_component_001732,below_global_cluster_salience_percentile,0.95,66,2,34,the hill,the hill,chunk_014::cluster_066|chunk_015::cluster_017,14,15
rejected_global_cluster_000270,global_cluster_000293,merge_component_000818,below_global_cluster_salience_percentile,0.95,66,1,33,the soldier with the green whiskers,the soldier with the green whiskers,chunk_008::cluster_013,8,8
rejected_global_cluster_000145,global_cluster_000163,merge_component_000351,below_global_cluster_salience_percentile,0.95,66,1,32,the old woman,the old woman,chunk_003::cluster_011,3,3
rejected_global_cluster_000299,global_cluster_000324,merge_component_000925,below_global_cluster_salience_percentile,0.95,66,1,32,the King,the king,chunk_009::cluster_025,9,9
rejected_global_cluster_000040,global_cluster_000051,merge_component_001890,below_global_cluster_salience_percentile,0.95,66,30,31,a Great Wizard,"a bad wizard|a good wizard|a great wizard|a strange people, who, seeing me come from the clouds, thought i was a great wizard|a very bad wizard|a wizard|all wizards|the great wizard|the palace of oz, the great wizard|the wizards|wizards",chunk_000::cluster_070|chunk_000::cluster_074|chunk_000::cluster_076|chunk_000::cluster_098|chunk_001::cluster_026|chunk_005::cluster_065|chunk_005::cluster_077|chunk_006::cluster_042|chunk_006::cluster_055|chunk_006::cluster_075|chunk_006::cluster_108|chunk_007::cluster_006|chunk_007::cluster_092|chunk_008::cluster_027|chunk_010::cluster_104|chunk_010::cluster_105|chunk_011::cluster_053|chunk_011::cluster_054|chunk_011::cluster_080|chunk_011::cluster_081|chunk_011::cluster_104|chunk_012::cluster_007|chunk_012::cluster_008|chunk_012::cluster_030|chunk_012::cluster_060|chunk_012::cluster_068|chunk_012::cluster_103|chunk_013::cluster_018|chunk_013::cluster_057|chunk_013::cluster_060,0,13
rejected_global_cluster_000197,global_cluster_000218,merge_component_001959,below_global_cluster_salience_percentile,0.95,66,17,31,a room at the front of the Palace,a room at the front of the palace|a very pleasant part of the palace|her ruby palace|my palace|the back yard of the palace|the forest near gayelette's palace|the great throne room of his palace|the king of the winged monkeys which lived in the forest near gayelette's palace|the palace|the winged monkeys which lived in the forest near gayelette's palace,chunk_005::cluster_062|chunk_006::cluster_085|chunk_006::cluster_091|chunk_007::cluster_011|chunk_007::cluster_045|chunk_007::cluster_051|chunk_007::cluster_098|chunk_008::cluster_036|chunk_008::cluster_037|chunk_010::cluster_073|chunk_010::cluster_080|chunk_010::cluster_081|chunk_011::cluster_017|chunk_011::cluster_023|chunk_011::cluster_024|chunk_011::cluster_084|chunk_012::cluster_011,5,12
rejected_global_cluster_000380,global_cluster_000405,merge_component_001236,below_global_cluster_salience_percentile,0.95,66,1,31,the people,the people,chunk_012::cluster_009,12,12
