cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
1,I,0,1,I,55,56,1,first_second_person_keep_original,False,"Right, that's how long it takes, not a day less,—Qfwfq said,—once, as [[I]] went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.",1,15.789584600017406,0.32985734939575195,0.3929845094680786,0.27715811133384705,0.2723879814147949,0.3412967622280121,0.386315256357193,0.18190300464630127,0.3722851574420929,0.44581183791160583,0.06331757456064224,0.11476533859968185,0.8219170570373535,0.12430389970541,0.6562538743019104,0.21944217383861542,0.08087965101003647,0.3220794200897217,0.5970409512519836
1,I,1,2,I,59,60,1,first_second_person_keep_original,False,"Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, [[I]] drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.",1,15.789584600017406,0.32985734939575195,0.3929845094680786,0.27715811133384705,0.2723879814147949,0.3412967622280121,0.386315256357193,0.18190300464630127,0.3722851574420929,0.44581183791160583,0.06331757456064224,0.11476533859968185,0.8219170570373535,0.12430389970541,0.6562538743019104,0.21944217383861542,0.08087965101003647,0.3220794200897217,0.5970409512519836
1,I,2,3,I,71,72,1,first_second_person_keep_original,False,"Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so [[I]] could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.","Right, that's how long it takes, not a day less,—Qfwfq said,—once, as I went past, I drew a sign at a point in space, just so I could find it again two hundred million years later, when we went by the next time around.",1,15.789584600017406,0.32985734939575195,0.3929845094680786,0.27715811133384705,0.2723879814147949,0.3412967622280121,0.386315256357193,0.18190300464630127,0.3722851574420929,0.44581183791160583,0.06331757456064224,0.11476533859968185,0.8219170570373535,0.12430389970541,0.6562538743019104,0.21944217383861542,0.08087965101003647,0.3220794200897217,0.5970409512519836
1,I,3,4,I,104,105,3,first_second_person_keep_original,False,"It' s hard to explain because if [[I]] say sign to you, you immediately think of a something that can be distinguished from a something else, but nothing could be distinguished from anything there; you immediately think of a sign made with some implement or with your hands, and then when you take the implement or your hands away, the sign remains, but in those days there were no implements or even hands, or teeth, or noses, all things that came along afterwards, a long time afterwards.","It' s hard to explain because if I say sign to you, you immediately think of a something that can be distinguished from a something else, but nothing could be distinguished from anything there; you immediately think of a sign made with some implement or with your hands, and then when you take the implement or your hands away, the sign remains, but in those days there were no implements or even hands, or teeth, or noses, all things that came along afterwards, a long time afterwards.","It' s hard to explain because if I say sign to you, you immediately think of a something that can be distinguished from a something else, but nothing could be distinguished from anything there; you immediately think of a sign made with some implement or with your hands, and then when you take the implement or your hands away, the sign remains, but in those days there were no implements or even hands, or teeth, or noses, all things that came along afterwards, a long time afterwards.","It' s hard to explain because if I say sign to you, you immediately think of a something that can be distinguished from a something else, but nothing could be distinguished from anything there; you immediately think of a sign made with some implement or with your hands, and then when you take the implement or your hands away, the sign remains, but in those days there were no implements or even hands, or teeth, or noses, all things that came along afterwards, a long time afterwards.",1,15.789584600017406,0.2778310775756836,0.36297982931137085,0.3591891825199127,0.17787234485149384,0.26832500100135803,0.5538026094436646,0.22240082919597626,0.44794774055480957,0.32965150475502014,0.19945159554481506,0.11166390031576157,0.688884437084198,0.08617790788412094,0.7058771252632141,0.20794491469860077,0.04110497236251831,0.3375109136104584,0.6213840842247009
1,I,4,5,I,259,260,5,first_second_person_keep_original,False,"here again it' s easy for you young ones to talk, but in that period [[I]] didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.",1,15.789584600017406,0.08365090936422348,0.6592516899108887,0.25709739327430725,0.11109784990549088,0.19186615943908691,0.6970360279083252,0.06351485848426819,0.49860823154449463,0.4378769099712372,0.14771881699562073,0.22349143028259277,0.6287897229194641,0.10904070734977722,0.5377664566040039,0.35319283604621887,0.07123077660799026,0.3141986131668091,0.6145705580711365
1,I,5,6,I,268,269,5,first_second_person_keep_original,False,"here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, [[I]] couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.",1,15.789584600017406,0.08365090936422348,0.6592516899108887,0.25709739327430725,0.11109784990549088,0.19186615943908691,0.6970360279083252,0.06351485848426819,0.49860823154449463,0.4378769099712372,0.14771881699562073,0.22349143028259277,0.6287897229194641,0.10904070734977722,0.5377664566040039,0.35319283604621887,0.07123077660799026,0.3141986131668091,0.6145705580711365
1,I,6,7,I,272,273,5,first_second_person_keep_original,False,"here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say [[I]]'ll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.",1,15.789584600017406,0.08365090936422348,0.6592516899108887,0.25709739327430725,0.11109784990549088,0.19186615943908691,0.6970360279083252,0.06351485848426819,0.49860823154449463,0.4378769099712372,0.14771881699562073,0.22349143028259277,0.6287897229194641,0.10904070734977722,0.5377664566040039,0.35319283604621887,0.07123077660799026,0.3141986131668091,0.6145705580711365
1,I,7,8,I,279,280,5,first_second_person_keep_original,False,"here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or [[I]]'ll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.","here again it' s easy for you young ones to talk, but in that period I didn't have any examples to follow, I couldn't say I'll make it the same or I'll make it different, there were no things to copy, nobody knew what a line was, straight or curved, or even a dot, or a protuberance or a cavity.",1,15.789584600017406,0.08365616202354431,0.6592931151390076,0.2570507824420929,0.11119432747364044,0.1918453425168991,0.6969603896141052,0.06337166577577591,0.4984567165374756,0.4381715655326843,0.1481272429227829,0.22410935163497925,0.6277634501457214,0.10900380462408066,0.5370597243309021,0.3539363741874695,0.07165137678384781,0.31365054845809937,0.6146979928016663
1,I,8,9,I,315,316,6,first_second_person_keep_original,False,"[[I]] conceived the idea of making a sign, that's true enough, or rather, I conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.","I conceived the idea of making a sign, that's true enough, or rather, I conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.","I conceived the idea of making a sign, that's true enough, or rather, I conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.","I conceived the idea of making a sign, that's true enough, or rather, I conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.",1,15.789584600017406,0.5861769914627075,0.2233448475599289,0.19047811627388,0.08253199607133865,0.38269704580307007,0.5347709059715271,0.22144487500190735,0.3640328049659729,0.41452232003211975,0.12366066128015518,0.08261744678020477,0.7937218546867371,0.13561783730983734,0.5150126814842224,0.34936946630477905,0.05563150718808174,0.6685277223587036,0.2758408188819885
1,I,9,10,I,332,333,6,first_second_person_keep_original,False,"I conceived the idea of making a sign, that's true enough, or rather, [[I]] conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.","I conceived the idea of making a sign, that's true enough, or rather, I conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.","I conceived the idea of making a sign, that's true enough, or rather, I conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.","I conceived the idea of making a sign, that's true enough, or rather, I conceived the idea of considering a sign a something that I felt like making, so when, at that point in space and not in another, I made something, meaning to make a sign, it turned out that I really had made a sign, after all.",1,15.789584600017406,0.5861769914627075,0.2233448475599289,0.19047811627388,0.08253199607133865,0.38269704580307007,0.5347709059715271,0.22144487500190735,0.3640328049659729,0.41452232003211975,0.12366066128015518,0.08261744678020477,0.7937218546867371,0.13561783730983734,0.5150126814842224,0.34936946630477905,0.05563150718808174,0.6685277223587036,0.2758408188819885
