local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_002::cluster_000::mention_000,chunk_002::cluster_000,chunk_002,2,0,0,20,22,6260,6262,the Scarecrow,21,6261,left_overlap,6260:6262:the scarecrow
chunk_002::cluster_000::mention_001,chunk_002::cluster_000,chunk_002,2,0,1,59,61,6299,6301,the Scarecrow,60,6300,left_overlap,6299:6301:the scarecrow
chunk_002::cluster_000::mention_002,chunk_002::cluster_000,chunk_002,2,0,2,66,67,6306,6307,he,66,6306,left_overlap,6306:6307:he
chunk_002::cluster_000::mention_003,chunk_002::cluster_000,chunk_002,2,0,3,90,91,6330,6331,him,90,6330,left_overlap,6330:6331:him
chunk_002::cluster_000::mention_004,chunk_002::cluster_000,chunk_002,2,0,4,98,99,6338,6339,him,98,6338,left_overlap,6338:6339:him
chunk_002::cluster_000::mention_005,chunk_002::cluster_000,chunk_002,2,0,5,102,103,6342,6343,him,102,6342,left_overlap,6342:6343:him
chunk_002::cluster_000::mention_006,chunk_002::cluster_000,chunk_002,2,0,6,104,105,6344,6345,his,104,6344,left_overlap,6344:6345:his
chunk_002::cluster_000::mention_007,chunk_002::cluster_000,chunk_002,2,0,7,109,110,6349,6350,he,109,6349,left_overlap,6349:6350:he
chunk_002::cluster_000::mention_008,chunk_002::cluster_000,chunk_002,2,0,8,116,117,6356,6357,his,116,6356,left_overlap,6356:6357:his
chunk_002::cluster_000::mention_009,chunk_002::cluster_000,chunk_002,2,0,9,191,193,6431,6433,the Scarecrow,192,6432,left_overlap,6431:6433:the scarecrow
chunk_002::cluster_000::mention_010,chunk_002::cluster_000,chunk_002,2,0,10,195,196,6435,6436,he,195,6435,left_overlap,6435:6436:he
chunk_002::cluster_000::mention_011,chunk_002::cluster_000,chunk_002,2,0,11,200,201,6440,6441,I,200,6440,left_overlap,6440:6441:i
chunk_002::cluster_000::mention_012,chunk_002::cluster_000,chunk_002,2,0,12,206,207,6446,6447,he,206,6446,left_overlap,6446:6447:he
chunk_002::cluster_000::mention_013,chunk_002::cluster_000,chunk_002,2,0,13,216,217,6456,6457,I,216,6456,left_overlap,6456:6457:i
chunk_002::cluster_000::mention_014,chunk_002::cluster_000,chunk_002,2,0,14,221,222,6461,6462,my,221,6461,left_overlap,6461:6462:my
chunk_002::cluster_000::mention_015,chunk_002::cluster_000,chunk_002,2,0,15,229,230,6469,6470,I,229,6469,left_overlap,6469:6470:i
