local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_007::cluster_000,chunk_007,7,0,anyone,1
chunk_007::cluster_001,chunk_007,7,1,the Scarecrow,121
chunk_007::cluster_002,chunk_007,7,2,Oz,147
chunk_007::cluster_003,chunk_007,7,3,you,1
chunk_007::cluster_004,chunk_007,7,4,you,1
chunk_007::cluster_005,chunk_007,7,5,we,1
chunk_007::cluster_006,chunk_007,7,6,a good Wizard,1
chunk_007::cluster_007,chunk_007,7,7,"those who are not honest, or who approach him from curiosity",1
chunk_007::cluster_008,chunk_007,7,8,Dorothy,217
chunk_007::cluster_009,chunk_007,7,9,the Emerald City,17
chunk_007::cluster_010,chunk_007,7,10,those people,66
chunk_007::cluster_011,chunk_007,7,11,the palace,8
chunk_007::cluster_012,chunk_007,7,12,the streets,4
chunk_007::cluster_013,chunk_007,7,13,beautiful houses all built of green marble and studded everywhere with sparkling emeralds,1
chunk_007::cluster_014,chunk_007,7,14,many people,1
chunk_007::cluster_015,chunk_007,7,15,men,1
chunk_007::cluster_016,chunk_007,7,16,women,1
chunk_007::cluster_017,chunk_007,7,17,children,1
chunk_007::cluster_018,chunk_007,7,18,They,1
chunk_007::cluster_019,chunk_007,7,19,her strangely assorted company,1
chunk_007::cluster_020,chunk_007,7,20,the children,5
chunk_007::cluster_021,chunk_007,7,21,the Lion,54
chunk_007::cluster_022,chunk_007,7,22,their mothers,1
chunk_007::cluster_023,chunk_007,7,23,no one,1
chunk_007::cluster_024,chunk_007,7,24,them,1
chunk_007::cluster_025,chunk_007,7,25,Many shops,2
chunk_007::cluster_026,chunk_007,7,26,the street,1
chunk_007::cluster_027,chunk_007,7,27,a man,1
chunk_007::cluster_028,chunk_007,7,28,his friends,16
chunk_007::cluster_029,chunk_007,7,29,little green carts,1
chunk_007::cluster_030,chunk_007,7,30,Everyone,1
chunk_007::cluster_031,chunk_007,7,31,a big building,1
chunk_007::cluster_032,chunk_007,7,32,the room,16
chunk_007::cluster_033,chunk_007,7,33,each one of you,1
chunk_007::cluster_034,chunk_007,7,34,rooms where you may rest in comfort after your journey,1
chunk_007::cluster_035,chunk_007,7,35,the green girl,16
chunk_007::cluster_036,chunk_007,7,36,the Tin Woodman,46
chunk_007::cluster_037,chunk_007,7,37,all her friends,1
chunk_007::cluster_038,chunk_007,7,38,all her friends except Toto,1
chunk_007::cluster_039,chunk_007,7,39,her friends,1
chunk_007::cluster_040,chunk_007,7,40,Toto,5
chunk_007::cluster_041,chunk_007,7,41,the Throne Room,10
chunk_007::cluster_042,chunk_007,7,42,seven passages,1
chunk_007::cluster_043,chunk_007,7,43,three flights of stairs,1
chunk_007::cluster_044,chunk_007,7,44,they,1
chunk_007::cluster_045,chunk_007,7,45,a room at the front of the Palace,1
chunk_007::cluster_046,chunk_007,7,46,the sweetest little room in the world,1
chunk_007::cluster_047,chunk_007,7,47,rooms,1
chunk_007::cluster_048,chunk_007,7,48,each one of them,1
chunk_007::cluster_049,chunk_007,7,49,them,1
chunk_007::cluster_050,chunk_007,7,50,himself,1
chunk_007::cluster_051,chunk_007,7,51,a very pleasant part of the Palace,1
chunk_007::cluster_052,chunk_007,7,52,a corner of the room,1
chunk_007::cluster_053,chunk_007,7,53,one of the most wonderful rooms in the world,1
chunk_007::cluster_054,chunk_007,7,54,the forest,1
chunk_007::cluster_055,chunk_007,7,55,"a great hall in which were many ladies and gentlemen of the court, all dressed in rich costumes",1
chunk_007::cluster_056,chunk_007,7,56,many ladies and gentlemen of the court,1
chunk_007::cluster_057,chunk_007,7,57,gentlemen of the court,1
chunk_007::cluster_058,chunk_007,7,58,the court,1
chunk_007::cluster_059,chunk_007,7,59,people,1
chunk_007::cluster_060,chunk_007,7,60,the biggest giant,1
chunk_007::cluster_061,chunk_007,7,61,the Wicked Witch,79
chunk_007::cluster_062,chunk_007,7,62,my house,1
chunk_007::cluster_063,chunk_007,7,63,the Good Witch of the North,1
chunk_007::cluster_064,chunk_007,7,64,the North,1
chunk_007::cluster_065,chunk_007,7,65,your country,2
chunk_007::cluster_066,chunk_007,7,66,Aunt Em,5
chunk_007::cluster_067,chunk_007,7,67,Kansas,5
chunk_007::cluster_068,chunk_007,7,68,your,1
chunk_007::cluster_069,chunk_007,7,69,a little girl,1
chunk_007::cluster_070,chunk_007,7,70,everyone,2
chunk_007::cluster_071,chunk_007,7,71,her friends,3
chunk_007::cluster_072,chunk_007,7,72,your uncle,1
chunk_007::cluster_073,chunk_007,7,73,"a Scarecrow, stuffed with straw",1
chunk_007::cluster_074,chunk_007,7,74,a man,1
chunk_007::cluster_075,chunk_007,7,75,a man as any other in your dominions,1
chunk_007::cluster_076,chunk_007,7,76,any other in your dominions,1
chunk_007::cluster_078,chunk_007,7,78,no one else,1
chunk_007::cluster_079,chunk_007,7,79,the wisest man in all the Land of Oz,1
chunk_007::cluster_080,chunk_007,7,80,a Head,1
chunk_007::cluster_081,chunk_007,7,81,a lovely Lady,1
chunk_007::cluster_082,chunk_007,7,82,a Head,1
chunk_007::cluster_083,chunk_007,7,83,all ladies,2
chunk_007::cluster_084,chunk_007,7,84,The Beast,4
chunk_007::cluster_085,chunk_007,7,85,Uncle Henry,2
chunk_007::cluster_086,chunk_007,7,86,a Woodman,1
chunk_007::cluster_087,chunk_007,7,87,other men,1
chunk_007::cluster_088,chunk_007,7,88,a Cowardly Lion,1
chunk_007::cluster_089,chunk_007,7,89,"a Cowardly Lion, afraid of everything",1
chunk_007::cluster_090,chunk_007,7,90,the King of Beasts,1
chunk_007::cluster_091,chunk_007,7,91,men,1
chunk_007::cluster_092,chunk_007,7,92,all Wizards,1
chunk_007::cluster_093,chunk_007,7,93,a coward,1
chunk_007::cluster_094,chunk_007,7,94,the land of the Winkies,1
chunk_007::cluster_095,chunk_007,7,95,anybody,1
chunk_007::cluster_096,chunk_007,7,96,a coward,1
chunk_007::cluster_097,chunk_007,7,97,a fool,1
chunk_007::cluster_098,chunk_007,7,98,the back yard of the Palace,1
chunk_007::cluster_099,chunk_007,7,99,the room where the Guardian of the Gates lived,1
chunk_007::cluster_100,chunk_007,7,100,our,1
chunk_007::cluster_101,chunk_007,7,101,no road,1
chunk_007::cluster_102,chunk_007,7,102,No one,1
chunk_007::cluster_103,chunk_007,7,103,the country of the Winkies,1
chunk_007::cluster_104,chunk_007,7,104,the Winkies,1
chunk_007::cluster_105,chunk_007,7,105,her slaves,1
chunk_007::cluster_106,chunk_007,7,106,No one,1
chunk_007::cluster_107,chunk_007,7,107,slaves,1
chunk_007::cluster_108,chunk_007,7,108,the rest,1
chunk_007::cluster_109,chunk_007,7,109,fields of soft grass dotted here and there with daisies and buttercups,1
chunk_007::cluster_110,chunk_007,7,110,the ground,2
chunk_007::cluster_111,chunk_007,7,111,no farms,1
chunk_007::cluster_112,chunk_007,7,112,houses,1
chunk_007::cluster_113,chunk_007,7,113,this country of the West,1
chunk_007::cluster_114,chunk_007,7,114,the West,1
chunk_007::cluster_115,chunk_007,7,115,your slaves,1
chunk_007::cluster_116,chunk_007,7,116,the leader of the wolves,4
chunk_007::cluster_117,chunk_007,7,117,her castle,2
chunk_007::cluster_118,chunk_007,7,118,None of them,1
chunk_007::cluster_119,chunk_007,7,119,them,1
chunk_007::cluster_120,chunk_007,7,120,the strangers still traveling through her country,1
chunk_007::cluster_121,chunk_007,7,121,her companions,1
