cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
12,the little Duke,0,672,the young Duke of Cheshire,7410,7415,211,proper_name_to_canonical,True,"Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by [[the young Duke of Cheshire]], who had come to spend the last week of his holidays at Canterville Chase.","Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by the little Duke, who had come to spend the last week of his holidays at Canterville Chase.","Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by the little Duke, who had come to spend the last week of his holidays at Canterville Chase.","Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by the little Duke, who had come to spend the last week of his holidays at Canterville Chase.",1,6.594280599994818,0.40807374426324683,0.22613131549926488,0.36579494023748843,0.27449117662045597,0.1755882513522437,0.5499205720273003,0.4854283238587554,0.15488728499403548,0.35968439114720907,0.6502421150094679,0.045144312792466036,0.3046135721980661,0.038621442322168485,0.4981675813044388,0.4632109763733927,0.05742466117190415,0.2243085762291311,0.7182667625989647
12,the little Duke,1,675,his,7425,7426,211,third_person_possessive_pronoun_to_canonical_possessive,True,"Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by the young Duke of Cheshire, who had come to spend the last week of [[his]] holidays at Canterville Chase.","Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by the young Duke of Cheshire, who had come to spend the last week of the little Duke's holidays at Canterville Chase.","Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by the young Duke of Cheshire, who had come to spend the last week of the little Duke's holidays at Canterville Chase.","Mr. Otis consequently resumed his great work on the history of the Democratic Party, on which he had been engaged for some years; Mrs. Otis organized a wonderful clam-bake, which amazed the whole county; the boys took to lacrosse euchre, poker, and other American national games, and Virginia rode about the lanes on her pony, accompanied by the young Duke of Cheshire, who had come to spend the last week of the little Duke's holidays at Canterville Chase.",1,6.594280599994818,0.45531445426702993,0.16684780315513958,0.3778377425778306,0.37258088952281687,0.12113662139483886,0.5062824890823442,0.46697017675367547,0.12403723472105287,0.40899258852527165,0.6352924252136943,0.03431657157467599,0.3303910032116295,0.016020532759262022,0.46361039650856495,0.5203690707321731,0.08894813840825315,0.2639986819114107,0.6470531796803363
12,the little Duke,2,693,the young Duke of Cheshire,7528,7533,213,proper_name_to_canonical,True,"The Otises, however, were deceived, for the ghost was still in the house, and though now almost an invalid, was by no means ready to let matters rest, particularly as he heard that among the guests was [[the young Duke of Cheshire]], whose grand-uncle, Lord Francis Stilton, had once bet a hundred guineas with Colonel Carbury that he would play dice with the Canterville ghost, and was found the next morning lying on the floor of the card-room in such a helpless paralytic state that, though he lived on to a great age, he was never able to say anything again but ""Double Sixes.""","The Otises, however, were deceived, for the ghost was still in the house, and though now almost an invalid, was by no means ready to let matters rest, particularly as he heard that among the guests was the little Duke, whose grand-uncle, Lord Francis Stilton, had once bet a hundred guineas with Colonel Carbury that he would play dice with the Canterville ghost, and was found the next morning lying on the floor of the card-room in such a helpless paralytic state that, though he lived on to a great age, he was never able to say anything again but ""Double Sixes.""","The Otises, however, were deceived, for the ghost was still in the house, and though now almost an invalid, was by no means ready to let matters rest, particularly as he heard that among the guests was the little Duke, whose grand-uncle, Lord Francis Stilton, had once bet a hundred guineas with Colonel Carbury that he would play dice with the Canterville ghost, and was found the next morning lying on the floor of the card-room in such a helpless paralytic state that, though he lived on to a great age, he was never able to say anything again but ""Double Sixes.""","The Otises, however, were deceived, for the ghost was still in the house, and though now almost an invalid, was by no means ready to let matters rest, particularly as he heard that among the guests was the little Duke, whose grand-uncle, Lord Francis Stilton, had once bet a hundred guineas with Colonel Carbury that he would play dice with the Canterville ghost, and was found the next morning lying on the floor of the card-room in such a helpless paralytic state that, though he lived on to a great age, he was never able to say anything again but ""Double Sixes.""",1,6.594280599994818,0.10666938888299902,0.4945002734970784,0.3988303376199226,0.11646419841012624,0.25700301651585195,0.6265327850740218,0.07681839822898384,0.31004202214903676,0.6131395796219794,0.07809725988874765,0.2873466557324882,0.6345560843787642,0.5103972126859356,0.3317976212416875,0.15780516607237682,0.14249016913190066,0.4141059105379061,0.44340392033019316
12,the little Duke,3,732,the little Duke,7859,7862,217,proper_name_to_canonical,False,"At the last moment, however, his terror of the twins prevented his leaving his room, and [[the little Duke]] slept in peace under the great feathered canopy in the Royal Bedchamber, and dreamed of Virginia.","At the last moment, however, his terror of the twins prevented his leaving his room, and the little Duke slept in peace under the great feathered canopy in the Royal Bedchamber, and dreamed of Virginia.","At the last moment, however, his terror of the twins prevented his leaving his room, and the little Duke slept in peace under the great feathered canopy in the Royal Bedchamber, and dreamed of Virginia.","At the last moment, however, his terror of the twins prevented his leaving his room, and the little Duke slept in peace under the great feathered canopy in the Royal Bedchamber, and dreamed of Virginia.",1,6.594280599994818,0.16811066220538798,0.47320778109388084,0.35868155670073115,0.13524247534086298,0.31537076187099145,0.5493867627881456,0.032010615000210144,0.3383977109661593,0.6295916740336305,0.18974071890061894,0.3149753684368987,0.4952839126624824,0.6199956813902161,0.3646491049844189,0.015355213625365035,0.2906304792642262,0.39588931349046674,0.3134802072453071
12,the little Duke,4,1008,The little Duke of Cheshire,10207,10212,302,proper_name_to_canonical,True,"[[The little Duke of Cheshire]], who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.","the little Duke, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.","the little Duke, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.","the little Duke, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.",1,6.594280599994818,0.05555941263714537,0.3491587453817625,0.5952818419810922,0.1019099973087714,0.15638371531803769,0.7417062873731909,0.04959440383945337,0.1723424473292161,0.7780631488313304,0.15738843523616433,0.22911066516311127,0.6135008996007244,0.9940148979658239,0.002070777352595645,0.003914324681580412,0.4670123960119411,0.4661011526017995,0.06688645138625951
12,the little Duke,5,1010,Cheshire,10211,10212,302,proper_name_to_canonical,True,"The little Duke of [[Cheshire]], who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.","The little Duke of the little Duke, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.","The little Duke of the little Duke, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.","The little Duke of the little Duke, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow him, as he was afraid there might be a scuffle.",1,6.594280599994818,0.046382080413013956,0.3345457971140491,0.619072122472937,0.12279266062520512,0.16085716194073418,0.7163501774340608,0.04033083309167477,0.16643365046505276,0.7932355164432724,0.19038303873087647,0.2349769101987305,0.574640051070393,0.9939621586146578,0.0025395136177714973,0.003498327767570752,0.4196889521013729,0.49644991222296286,0.08386113567566421
12,the little Duke,6,1013,him,10235,10236,302,third_person_object_pronoun_to_canonical,True,"The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow [[him]], as he was afraid there might be a scuffle.","The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow the little Duke, as he was afraid there might be a scuffle.","The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow the little Duke, as he was afraid there might be a scuffle.","The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow the little Duke, as he was afraid there might be a scuffle.",1,6.594280599994818,0.04730304008774958,0.3587155613023369,0.5939813986099136,0.12280684973059965,0.1687610632278733,0.708432087041527,0.045770987280747716,0.1812046376561555,0.7730243750630968,0.14993296125144123,0.266762872071267,0.5833041666772918,0.9934506744207435,0.002520914953635051,0.0040284106256213235,0.42309558227902067,0.45038290292864275,0.12652151479233667
12,the little Duke,7,1034,the little Duke,10400,10403,306,proper_name_to_canonical,False,"He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw [[the little Duke]] coming up on his pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with his face very flushed, and no hat.",1,6.594280599994818,0.4147640912232657,0.3502911238648993,0.23494478491183513,0.14418415785855476,0.36289953196114244,0.4929163101803028,0.7283914775535371,0.1150795701911719,0.15652895225529112,0.34960982397390794,0.15712050465332464,0.49326967137276734,0.6500533959990059,0.22181843673569737,0.1281281672652967,0.19169518453837525,0.3474966979889545,0.46080811747267014
12,the little Duke,8,1036,his,10406,10407,306,third_person_possessive_pronoun_to_canonical_possessive,True,"He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on [[his]] pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on the little Duke's pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on the little Duke's pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on the little Duke's pony, with his face very flushed, and no hat.",1,6.594280599994818,0.38616220427706544,0.35229208714374316,0.2615457085791913,0.12929818150081532,0.37505122916379374,0.4956505893353909,0.7323500732271943,0.10965431872044641,0.1579956080523593,0.28756625443598866,0.15596581952758068,0.5564679260364307,0.7870559461446296,0.11363557294323863,0.09930848091213186,0.18676937231486954,0.318871009461993,0.4943596182231376
12,the little Duke,9,1039,his,10410,10411,306,third_person_possessive_pronoun_to_canonical_possessive,True,"He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with [[his]] face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with the little Duke's face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with the little Duke's face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with the little Duke's face very flushed, and no hat.",1,6.594280599994818,0.4386516177357981,0.3291771782611711,0.2321712040030308,0.12461395440007456,0.38252829520110426,0.4928577503988211,0.7804504102166872,0.08752136375568474,0.132028226027628,0.32046256919337723,0.1584856286537423,0.5210518021528804,0.7733839400987904,0.11828418384751783,0.10833187605369177,0.1852898869178806,0.34460710894381835,0.4701030041383011
