global_cluster_uid,local_cluster_uid,local_mention_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_000,chunk_000,0,0,0,1,5,1,5,Mr. Hiram B. Otis,4,4,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_001,chunk_000,0,0,1,17,18,17,18,him,17,17,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_002,chunk_000,0,0,2,18,19,18,19,he,18,18,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_003,chunk_000,0,0,3,65,67,65,67,Mr. Otis,66,66,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_004,chunk_000,0,0,4,138,139,138,139,you,138,138,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_005,chunk_000,0,0,5,140,142,140,142,Mr. Otis,141,141,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_006,chunk_000,0,0,6,230,231,230,231,My,230,230,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_007,chunk_000,0,0,7,235,237,235,237,the Minister,236,236,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_008,chunk_000,0,0,8,239,240,239,240,I,239,239,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_009,chunk_000,0,0,9,251,252,251,252,I,251,251,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_010,chunk_000,0,0,10,292,293,292,293,I,292,292,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_011,chunk_000,0,0,11,423,424,423,424,I,423,423,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_012,chunk_000,0,0,12,443,444,443,444,You,443,443,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_013,chunk_000,0,0,13,461,463,461,463,Mr. Otis,462,462,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_014,chunk_000,0,0,14,470,471,470,471,you,470,470,core,
global_cluster_000000,chunk_000::cluster_000,chunk_000::cluster_000::mention_015,chunk_000,0,0,15,486,487,486,487,you,486,486,core,
