cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
14,Cecil,0,1009,him,10235,10236,302,third_person_object_pronoun_to_canonical,True,"The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow [[him]], as he was afraid there might be a scuffle.","The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow Cecil, as he was afraid there might be a scuffle.","The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow Cecil, as he was afraid there might be a scuffle.","The little Duke of Cheshire, who was perfectly frantic with anxiety, begged hard to be allowed to go too, but Mr. Otis would not allow Cecil, as he was afraid there might be a scuffle.",1,12.92701099999249,0.06357278674840927,0.4910859167575836,0.44534122943878174,0.23033903539180756,0.2727341651916504,0.49692678451538086,0.07940120249986649,0.36634162068367004,0.5542571544647217,0.1782490760087967,0.3262134790420532,0.4955374002456665,0.8264933824539185,0.1433427780866623,0.030163876712322235,0.2662642300128937,0.3532598912715912,0.38047587871551514
14,Cecil,1,1033,his,10406,10407,306,third_person_possessive_pronoun_to_canonical_possessive,True,"He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on [[his]] pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on Cecil's pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on Cecil's pony, with his face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on Cecil's pony, with his face very flushed, and no hat.",1,12.92701099999249,0.30528831481933594,0.2598550319671631,0.4348566234111786,0.2300407439470291,0.34936007857322693,0.4205992519855499,0.4127170145511627,0.2555745542049408,0.3317084312438965,0.3272652328014374,0.10713308304548264,0.5656017065048218,0.4939054548740387,0.30339616537094116,0.20269839465618134,0.2213635891675949,0.36274605989456177,0.4158903956413269
14,Cecil,2,1036,his,10410,10411,306,third_person_possessive_pronoun_to_canonical_possessive,True,"He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with [[his]] face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with Cecil's face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with Cecil's face very flushed, and no hat.","He had hardly, however, gone a couple of miles, when he heard somebody galloping after him, and, looking round, saw the little Duke coming up on his pony, with Cecil's face very flushed, and no hat.",1,12.92701099999249,0.4813038408756256,0.26264041662216187,0.2560557723045349,0.11864038556814194,0.3695201575756073,0.5118394494056702,0.7418103218078613,0.1094556376338005,0.14873407781124115,0.37678229808807373,0.08750593662261963,0.5357117652893066,0.8708016276359558,0.046603694558143616,0.08259469270706177,0.2935631573200226,0.44393008947372437,0.2625066637992859
14,Cecil,3,1039,I,10420,10421,307,first_second_person_keep_original,False,""" [[I]]'m awfully sorry, Mr. Otis,"" gasped out the boy, ""but I can't eat any dinner as long as Virginia is lost.",""" I'm awfully sorry, Mr. Otis,"" gasped out the boy, ""but I can't eat any dinner as long as Virginia is lost.",""" I'm awfully sorry, Mr. Otis,"" gasped out the boy, ""but I can't eat any dinner as long as Virginia is lost.",""" I'm awfully sorry, Mr. Otis,"" gasped out the boy, ""but I can't eat any dinner as long as Virginia is lost.",1,12.92701099999249,0.10882312059402466,0.4209598898887634,0.4702169895172119,0.1807427555322647,0.2515498697757721,0.567707359790802,0.08924457430839539,0.42368820309638977,0.48706719279289246,0.1621246039867401,0.2753795385360718,0.5624958276748657,0.9434962272644043,0.03632522001862526,0.02017858251929283,0.27897119522094727,0.5638125538825989,0.15721625089645386
14,Cecil,4,1043,the boy,10431,10433,307,simple_nominal_to_canonical,True,"""I'm awfully sorry, Mr. Otis,"" gasped out [[the boy]], ""but I can't eat any dinner as long as Virginia is lost.","""I'm awfully sorry, Mr. Otis,"" gasped out Cecil, ""but I can't eat any dinner as long as Virginia is lost.","""I'm awfully sorry, Mr. Otis,"" gasped out Cecil, ""but I can't eat any dinner as long as Virginia is lost.","""I'm awfully sorry, Mr. Otis,"" gasped out Cecil, ""but I can't eat any dinner as long as Virginia is lost.",1,12.92701099999249,0.08434875309467316,0.4506726861000061,0.46497857570648193,0.16570024192333221,0.2831069827079773,0.5511927604675293,0.05158820375800133,0.46795451641082764,0.48045727610588074,0.12502291798591614,0.1684010922908783,0.7065759301185608,0.9606655240058899,0.019648045301437378,0.01968645676970482,0.2762802541255951,0.5304679274559021,0.19325177371501923
14,Cecil,5,1046,I,10436,10437,307,first_second_person_keep_original,False,"""I'm awfully sorry, Mr. Otis,"" gasped out the boy, ""but [[I]] can't eat any dinner as long as Virginia is lost.","""I'm awfully sorry, Mr. Otis,"" gasped out the boy, ""but I can't eat any dinner as long as Virginia is lost.","""I'm awfully sorry, Mr. Otis,"" gasped out the boy, ""but I can't eat any dinner as long as Virginia is lost.","""I'm awfully sorry, Mr. Otis,"" gasped out the boy, ""but I can't eat any dinner as long as Virginia is lost.",1,12.92701099999249,0.11390384286642075,0.4369979500770569,0.44909828901290894,0.19310322403907776,0.2606111764907837,0.5462855696678162,0.09359371662139893,0.4412009119987488,0.4652053415775299,0.19656683504581451,0.27639275789260864,0.527040421962738,0.9413342475891113,0.036570847034454346,0.022094864398241043,0.2615373730659485,0.5143205523490906,0.22414211928844452
14,Cecil,6,1050,me,10455,10456,308,first_second_person_keep_original,False,"Please don't be angry with [[me]]; if you had let us be engaged last year, there would never have been all this trouble.","Please don't be angry with me; if you had let us be engaged last year, there would never have been all this trouble.","Please don't be angry with me; if you had let us be engaged last year, there would never have been all this trouble.","Please don't be angry with me; if you had let us be engaged last year, there would never have been all this trouble.",1,12.92701099999249,0.03587578237056732,0.4710157811641693,0.4931083917617798,0.15593081712722778,0.36610791087150574,0.4779612421989441,0.10079974681138992,0.47378009557724,0.4254201650619507,0.03551022708415985,0.6892755031585693,0.2752143442630768,0.35420945286750793,0.45414820313453674,0.19164231419563293,0.24978403747081757,0.38527074456214905,0.3649451732635498
14,Cecil,7,1055,me,10480,10481,309,first_second_person_keep_original,False,"You won't send [[me]] back, will you?","You won't send me back, will you?","You won't send me back, will you?","You won't send me back, will you?",1,12.92701099999249,0.25787436962127686,0.40987467765808105,0.3322509229183197,0.2698419988155365,0.37684014439582825,0.3533177971839905,0.25007569789886475,0.45062288641929626,0.299301415681839,0.34370121359825134,0.3929026126861572,0.2633962035179138,0.5420551896095276,0.3332175612449646,0.1247272714972496,0.19912515580654144,0.4247504770755768,0.37612438201904297
14,Cecil,8,1059,I,10486,10487,310,first_second_person_keep_original,False,[[I]] can't go!,I can't go!,I can't go!,I can't go!,1,12.92701099999249,0.025959303602576256,0.5491039752960205,0.4249366521835327,0.16669319570064545,0.3986090421676636,0.4346977770328522,0.09885236620903015,0.3907301127910614,0.5104175209999084,0.12008649110794067,0.461858332157135,0.4180552363395691,0.6469495296478271,0.32224607467651367,0.030804453417658806,0.17504920065402985,0.575577974319458,0.24937279522418976
14,Cecil,9,1062,I,10491,10492,311,first_second_person_keep_original,False,"[[I]] won't go!""","I won't go!""","I won't go!""","I won't go!""",1,12.92701099999249,0.017984870821237564,0.5666411519050598,0.4153739809989929,0.14079515635967255,0.3595549762248993,0.49964988231658936,0.2374366819858551,0.4075832664966583,0.35498008131980896,0.05198477953672409,0.7044351696968079,0.24358004331588745,0.3064223527908325,0.5849046111106873,0.10867299139499664,0.2903285622596741,0.3960578143596649,0.313613623380661
