relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_probabilities_json,selection_method
rel_24_439_25,24,439,439,441,25,1,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.1642748743372418, ""https://example.org/narrative-character-ontology#threatens"": 0.032410881423862364, ""https://example.org/narrative-character-ontology#protects"": 0.08682076102044732, ""https://example.org/narrative-character-ontology#loves"": 0.05433104394829752, ""https://example.org/narrative-character-ontology#kills"": 0.013563745522304731, ""https://example.org/narrative-character-ontology#hates"": 0.031846137014390465, ""https://example.org/narrative-character-ontology#guides"": 0.0961018220111682, ""https://example.org/narrative-character-ontology#follows"": 0.10720932966748131, ""https://example.org/narrative-character-ontology#fears"": 0.07920575024829814, ""https://example.org/narrative-character-ontology#distrusts"": 0.13618865421099965, ""https://example.org/narrative-character-ontology#deceives"": 0.04105129317465951, ""https://example.org/narrative-character-ontology#commands"": 0.032601346390111786, ""https://example.org/narrative-character-ontology#betrays"": 0.09424304451259179, ""https://example.org/narrative-character-ontology#attacks"": 0.03015131651814529}",nli_grouped_softmax
rel_35_563_36,35,563,563,565,36,3,4,"{""https://example.org/narrative-character-ontology#usesObject"": 0.4079061733617276, ""https://example.org/narrative-character-ontology#possessesObject"": 0.3530133696952859, ""https://example.org/narrative-character-ontology#destroysObject"": 0.07523431874986819, ""https://example.org/narrative-character-ontology#createsObject"": 0.16384613819311836}",nli_grouped_softmax
rel_55_830_56,55,830,830,831,56,3,4,"{""https://example.org/narrative-character-ontology#usesObject"": 0.47820989636836947, ""https://example.org/narrative-character-ontology#possessesObject"": 0.3024880998476856, ""https://example.org/narrative-character-ontology#destroysObject"": 0.06809004360183457, ""https://example.org/narrative-character-ontology#createsObject"": 0.1512119601821104}",nli_grouped_softmax
rel_71_1061_72,71,1061,1061,1063,72,4,2,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_76_1115_77,76,1115,1115,1116,77,3,4,"{""https://example.org/narrative-character-ontology#usesObject"": 0.40786666829013224, ""https://example.org/narrative-character-ontology#possessesObject"": 0.29723827134628533, ""https://example.org/narrative-character-ontology#destroysObject"": 0.13138445912925367, ""https://example.org/narrative-character-ontology#createsObject"": 0.16351060123432892}",nli_grouped_softmax
rel_193_2370_194,193,2370,2370,2371,194,1,8,"{""https://example.org/narrative-character-ontology#trusts"": 0.0736987440069063, ""https://example.org/narrative-character-ontology#threatens"": 0.06730035049464783, ""https://example.org/narrative-character-ontology#protects"": 0.05678337388473956, ""https://example.org/narrative-character-ontology#loves"": 0.12378428883717944, ""https://example.org/narrative-character-ontology#kills"": 0.03354461628317096, ""https://example.org/narrative-character-ontology#hates"": 0.07129189398315458, ""https://example.org/narrative-character-ontology#guides"": 0.0835116177643939, ""https://example.org/narrative-character-ontology#follows"": 0.0603276442879174, ""https://example.org/narrative-character-ontology#fears"": 0.05979974412380939, ""https://example.org/narrative-character-ontology#distrusts"": 0.07413184018242609, ""https://example.org/narrative-character-ontology#deceives"": 0.11628457790472269, ""https://example.org/narrative-character-ontology#commands"": 0.04332525654886749, ""https://example.org/narrative-character-ontology#betrays"": 0.08117971856327848, ""https://example.org/narrative-character-ontology#attacks"": 0.05503633313478569}",nli_grouped_softmax
rel_209_2515_210,209,2515,2515,2516,210,3,5,"{""https://example.org/narrative-character-ontology#usesObject"": 0.4516844364801487, ""https://example.org/narrative-character-ontology#possessesObject"": 0.14317361795304812, ""https://example.org/narrative-character-ontology#destroysObject"": 0.25078722748841736, ""https://example.org/narrative-character-ontology#createsObject"": 0.15435471807838563}",nli_grouped_softmax
rel_215_2560_216,215,2560,2560,2561,216,1,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.14909651546917066, ""https://example.org/narrative-character-ontology#threatens"": 0.03605913599631958, ""https://example.org/narrative-character-ontology#protects"": 0.04518414246305981, ""https://example.org/narrative-character-ontology#loves"": 0.023648158739002934, ""https://example.org/narrative-character-ontology#kills"": 0.01892774826085401, ""https://example.org/narrative-character-ontology#hates"": 0.03257671460772564, ""https://example.org/narrative-character-ontology#guides"": 0.13228582794943702, ""https://example.org/narrative-character-ontology#follows"": 0.0650401002969571, ""https://example.org/narrative-character-ontology#fears"": 0.08777780645431327, ""https://example.org/narrative-character-ontology#distrusts"": 0.14136867507816578, ""https://example.org/narrative-character-ontology#deceives"": 0.10913461631786112, ""https://example.org/narrative-character-ontology#commands"": 0.03501804087707375, ""https://example.org/narrative-character-ontology#betrays"": 0.09181085802941151, ""https://example.org/narrative-character-ontology#attacks"": 0.03207165946064793}",nli_grouped_softmax
rel_244_2790_245,244,2790,2790,2792,245,9,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.2051976669043623, ""https://example.org/narrative-character-ontology#rulesOver"": 0.13024065085856956, ""https://example.org/narrative-character-ontology#locatedIn"": 0.40313307248566876, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.2614286097513994}",nli_grouped_softmax
rel_258_3007_259,258,3007,3007,3011,259,3,5,"{""https://example.org/narrative-character-ontology#usesObject"": 0.48287156010482274, ""https://example.org/narrative-character-ontology#possessesObject"": 0.2125276263449926, ""https://example.org/narrative-character-ontology#destroysObject"": 0.122282948722512, ""https://example.org/narrative-character-ontology#createsObject"": 0.18231786482767268}",nli_grouped_softmax
