cluster_assertion_id,source_cluster_id,object_property_iri,target_cluster_id,support_relation_ids_json,aggregation_method,aggregated_score
assertion_1_holdsAttitudeToward_3,1,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,3,"[""rel_24_439_25"", ""rel_215_2560_216"", ""rel_328_3449_330"", ""rel_349_3557_351"", ""rel_359_3599_361"", ""rel_5488_34001_5489"", ""rel_5488_34001_5490""]",sum_softmax_by_cluster_pair,2.554809585253976
assertion_1_holdsAttitudeToward_8,1,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,8,"[""rel_193_2370_194""]",sum_softmax_by_cluster_pair,0.29792482542620313
assertion_1_guides_9,1,https://example.org/nlp-sdai/narrative-entity-ontology#guides,9,"[""rel_337_3492_339""]",sum_softmax_by_cluster_pair,0.46643687931481526
assertion_3_holdsAttitudeToward_0,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,0,"[""rel_559_5123_560"", ""rel_818_6551_821"", ""rel_829_6611_830"", ""rel_3338_21656_3339"", ""rel_3346_21685_3350"", ""rel_3535_22875_3536"", ""rel_3644_23455_3646"", ""rel_6567_41232_6568"", ""rel_7372_46950_7373""]",sum_softmax_by_cluster_pair,2.9439155967004975
assertion_3_holdsAttitudeToward_1,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,1,"[""rel_4003_25082_4004"", ""rel_4946_30752_4947""]",sum_softmax_by_cluster_pair,0.95039519624843
assertion_3_guides_2,3,https://example.org/nlp-sdai/narrative-entity-ontology#guides,2,"[""rel_3338_21656_3340"", ""rel_3346_21685_3351"", ""rel_3380_21920_3381"", ""rel_3481_22435_3482"", ""rel_3625_23371_3626"", ""rel_3644_23455_3647"", ""rel_6115_38334_6116"", ""rel_6401_40163_6402""]",sum_softmax_by_cluster_pair,2.6311704560528666
assertion_3_holdsAttitudeToward_4,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,4,"[""rel_35_563_36"", ""rel_55_830_56"", ""rel_76_1115_77"", ""rel_446_4166_447"", ""rel_1999_13325_2000"", ""rel_2625_17567_2627"", ""rel_2781_18560_2782"", ""rel_3352_21694_3354"", ""rel_4475_27787_4476"", ""rel_6230_39298_6231"", ""rel_6235_39333_6236"", ""rel_6238_39337_6239"", ""rel_7505_47732_7506""]",sum_softmax_by_cluster_pair,3.4715560821790077
assertion_3_holdsAttitudeToward_5,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,5,"[""rel_209_2515_210"", ""rel_258_3007_259"", ""rel_562_5139_564""]",sum_softmax_by_cluster_pair,0.9663902899710121
assertion_3_holdsAttitudeToward_7,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,7,"[""rel_562_5139_565"", ""rel_3352_21694_3353"", ""rel_3352_21694_3356"", ""rel_4147_25866_4149"", ""rel_4292_26569_4296""]",sum_softmax_by_cluster_pair,1.7787735072357211
assertion_3_holdsAttitudeToward_8,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,8,"[""rel_3682_23627_3683"", ""rel_3689_23656_3692"", ""rel_3699_23680_3702"", ""rel_3734_23775_3735"", ""rel_3776_23916_3777"", ""rel_3832_24284_3833"", ""rel_3838_24312_3839"", ""rel_3937_24762_3938"", ""rel_4035_25244_4037"", ""rel_4551_28265_4552"", ""rel_4701_29219_4702"", ""rel_4728_29398_4729"", ""rel_5408_33665_5409"", ""rel_5567_34386_5568"", ""rel_5833_36209_5834"", ""rel_5835_36222_5836""]",sum_softmax_by_cluster_pair,4.579865359151238
assertion_3_holdsAttitudeToward_9,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,9,"[""rel_375_3689_376"", ""rel_726_6013_727"", ""rel_3500_22664_3501"", ""rel_3507_22707_3508"", ""rel_3568_23079_3569"", ""rel_3588_23187_3589"", ""rel_3598_23239_3599"", ""rel_3682_23627_3684"", ""rel_3699_23680_3703"", ""rel_3734_23775_3736"", ""rel_3776_23916_3778"", ""rel_3810_24102_3811"", ""rel_3832_24284_3834"", ""rel_3838_24312_3840"", ""rel_3937_24762_3939"", ""rel_5829_36195_5831"", ""rel_5934_36922_5935"", ""rel_5949_36992_5950"", ""rel_5995_37350_5996"", ""rel_6008_37445_6010"", ""rel_6090_38167_6091"", ""rel_6521_40984_6522"", ""rel_6575_41277_6576"", ""rel_7545_48016_7544""]",sum_softmax_by_cluster_pair,7.916582250479443
assertion_3_holdsAttitudeToward_10,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,10,"[""rel_3511_22745_3512"", ""rel_3584_23151_3585"", ""rel_3604_23268_3605"", ""rel_3638_23423_3639"", ""rel_3675_23600_3674"", ""rel_3689_23656_3693""]",sum_softmax_by_cluster_pair,1.8655470047213036
assertion_3_holdsAttitudeToward_11,3,https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward,11,"[""rel_318_3402_319"", ""rel_651_5703_652"", ""rel_679_5819_681"", ""rel_2130_14538_2131"", ""rel_2224_15118_2230"", ""rel_2695_17960_2697"", ""rel_2939_19431_2938"", ""rel_2949_19492_2950"", ""rel_3481_22435_3483"", ""rel_3625_23371_3627"", ""rel_6571_41260_6573""]",sum_softmax_by_cluster_pair,3.2623979732964776
