anchor_key,display_name,n_mentions,source_cluster_uids
dorothy,Dorothy,3394,chunk_000::cluster_012|chunk_001::cluster_000|chunk_002::cluster_001|chunk_003::cluster_001|chunk_004::cluster_000|chunk_005::cluster_000|chunk_006::cluster_001|chunk_007::cluster_008|chunk_008::cluster_000|chunk_009::cluster_000|chunk_010::cluster_001|chunk_011::cluster_002|chunk_012::cluster_002|chunk_013::cluster_000|chunk_014::cluster_005|chunk_015::cluster_015
lion,the Lion,1369,chunk_002::cluster_035|chunk_003::cluster_003|chunk_004::cluster_001|chunk_007::cluster_021|chunk_008::cluster_018|chunk_009::cluster_008|chunk_010::cluster_004|chunk_011::cluster_016|chunk_012::cluster_035|chunk_014::cluster_000|chunk_015::cluster_000
scarecrow,the Scarecrow,1259,chunk_000::cluster_145|chunk_002::cluster_000|chunk_003::cluster_000|chunk_005::cluster_002|chunk_006::cluster_007|chunk_007::cluster_001|chunk_009::cluster_002|chunk_010::cluster_026|chunk_013::cluster_001|chunk_013::cluster_096|chunk_014::cluster_044
witch,a witch,547,chunk_000::cluster_104|chunk_000::cluster_133|chunk_000::cluster_136|chunk_008::cluster_001|chunk_008::cluster_009|chunk_008::cluster_035|chunk_009::cluster_006|chunk_010::cluster_000
tin woodman,the Tin Woodman,331,chunk_005::cluster_005|chunk_006::cluster_003|chunk_007::cluster_036|chunk_010::cluster_016|chunk_013::cluster_008|chunk_014::cluster_002|chunk_015::cluster_046
toto,Toto,273,chunk_000::cluster_019|chunk_001::cluster_032|chunk_003::cluster_030|chunk_004::cluster_004|chunk_005::cluster_015|chunk_006::cluster_014|chunk_007::cluster_040|chunk_008::cluster_038|chunk_009::cluster_034|chunk_011::cluster_064|chunk_013::cluster_009|chunk_014::cluster_003|chunk_015::cluster_038
emerald city,the Emerald City,263,chunk_000::cluster_092|chunk_001::cluster_021|chunk_002::cluster_034|chunk_004::cluster_027|chunk_005::cluster_003|chunk_006::cluster_017|chunk_007::cluster_009|chunk_008::cluster_040|chunk_009::cluster_071|chunk_010::cluster_037|chunk_011::cluster_039|chunk_012::cluster_010|chunk_013::cluster_005|chunk_014::cluster_099|chunk_015::cluster_058
glinda,Glinda,158,chunk_014::cluster_081|chunk_015::cluster_001
winkies,the Winkies,150,chunk_000::cluster_089|chunk_001::cluster_014|chunk_007::cluster_104|chunk_008::cluster_065|chunk_008::cluster_067|chunk_009::cluster_015|chunk_010::cluster_010|chunk_011::cluster_037|chunk_014::cluster_103|chunk_015::cluster_062
kansas,Kansas,146,chunk_000::cluster_064|chunk_001::cluster_070|chunk_002::cluster_006|chunk_003::cluster_044|chunk_004::cluster_063|chunk_005::cluster_027|chunk_006::cluster_049|chunk_007::cluster_067|chunk_008::cluster_091|chunk_009::cluster_042|chunk_010::cluster_091|chunk_011::cluster_044|chunk_012::cluster_042|chunk_013::cluster_014|chunk_014::cluster_056|chunk_015::cluster_047
aunt em,Aunt Em,142,chunk_000::cluster_002|chunk_002::cluster_067|chunk_003::cluster_028|chunk_007::cluster_066|chunk_009::cluster_060|chunk_010::cluster_092|chunk_011::cluster_042|chunk_012::cluster_075|chunk_013::cluster_085|chunk_014::cluster_088
his friends,his friends,121,chunk_000::cluster_129|chunk_001::cluster_058|chunk_007::cluster_028|chunk_011::cluster_001|chunk_012::cluster_052
munchkins,the Munchkins,118,chunk_000::cluster_043|chunk_000::cluster_077|chunk_000::cluster_110|chunk_001::cluster_001|chunk_005::cluster_048|chunk_006::cluster_026|chunk_014::cluster_079|chunk_015::cluster_035
princess,a princess,108,chunk_003::cluster_068|chunk_004::cluster_032|chunk_013::cluster_031|chunk_014::cluster_027
winged monkeys,the Winged Monkeys,107,chunk_008::cluster_071|chunk_009::cluster_019|chunk_011::cluster_029|chunk_014::cluster_072|chunk_015::cluster_026
wicked witch,the Wicked Witch,103,chunk_001::cluster_055|chunk_007::cluster_061|chunk_011::cluster_035|chunk_014::cluster_106|chunk_015::cluster_063
those people,those people,72,chunk_007::cluster_010|chunk_008::cluster_056
monster,the monster,70,chunk_014::cluster_031|chunk_015::cluster_005
others,the others,63,chunk_012::cluster_041|chunk_014::cluster_054
old woman,the old woman,62,chunk_002::cluster_014|chunk_003::cluster_011
my grandfather,my grandfather,60,chunk_010::cluster_078|chunk_011::cluster_022
mice,the mice,58,chunk_004::cluster_062|chunk_005::cluster_026
stork,the Stork,58,chunk_004::cluster_046|chunk_005::cluster_013
