global_cluster_uid,local_cluster_uid,local_mention_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_000,chunk_000,0,6,0,23,28,23,28,"a fluid, shapeless nebula",27,27,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_001,chunk_000,0,6,1,185,187,185,187,the nebula,186,186,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_002,chunk_000,0,6,2,185,189,185,189,the nebula's surface,188,188,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_003,chunk_000,0,6,3,231,233,231,233,the nebula,232,232,core,
global_cluster_000000,chunk_000::cluster_023,chunk_000::cluster_023::mention_000,chunk_000,0,23,0,468,473,468,473,the edge of the nebula,469,469,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_004,chunk_000,0,6,4,471,473,471,473,the nebula,472,472,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_005,chunk_000,0,6,5,616,618,616,618,the nebula,617,617,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_006,chunk_000,0,6,6,1572,1574,1572,1574,our nebula,1573,1573,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_007,chunk_000,0,6,7,1757,1762,1757,1762,the surface of the nebula,1758,1758,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_008,chunk_000,0,6,8,1760,1762,1760,1762,the nebula,1761,1761,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_010,chunk_000,0,6,10,2102,2104,2102,2104,that nebula,2103,2103,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_011,chunk_000,0,6,11,2163,2165,2163,2165,the surface,2164,2164,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_012,chunk_000,0,6,12,2586,2591,2586,2591,the thickness of the nebula,2587,2587,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_013,chunk_000,0,6,13,3533,3538,3533,3538,the surface where we were,3534,3534,core,
global_cluster_000000,chunk_000::cluster_075,chunk_000::cluster_075::mention_000,chunk_000,0,75,0,3685,3690,3685,3690,the heart of the nebula,3686,3686,core,
global_cluster_000000,chunk_000::cluster_006,chunk_000::cluster_006::mention_014,chunk_000,0,6,14,4179,4183,4179,4183,the Earth's surface,4182,4182,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_000,chunk_000,0,3,0,85,87,85,87,old Qfwfq,86,86,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_001,chunk_000,0,3,1,90,91,90,91,I,90,90,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_002,chunk_000,0,3,2,96,97,96,97,I,96,96,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_003,chunk_000,0,3,3,141,142,141,142,I,141,141,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_004,chunk_000,0,3,4,143,144,143,144,I,143,143,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_005,chunk_000,0,3,5,423,424,423,424,My,423,423,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_006,chunk_000,0,3,6,580,581,580,581,My,580,580,core,
global_cluster_000001,chunk_000::cluster_003,chunk_000::cluster_003::mention_007,chunk_000,0,3,7,591,592,591,592,i,591,591,core,
