cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
2,the Cantervilles,0,5,Lord Canterville,41,43,1,proper_name_to_canonical,True,"Indeed, [[Lord Canterville]] himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, the Cantervilles himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, the Cantervilles himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, the Cantervilles himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.",1,17.21285579999676,0.01820055511155426,0.3084314769056637,0.6733679679827821,0.985971746889487,0.0056547442745450175,0.00837350883596805,0.06664644491712415,0.3048773358355881,0.6284762192472878,0.20389150105304732,0.11754329628981146,0.6785652026571413,0.05239677030529776,0.6034217165227255,0.3441815131719769,0.5787519645354724,0.09620106286375643,0.3250469726007712
2,the Cantervilles,1,6,himself,43,44,1,third_person_reflexive_keep_original,False,"Indeed, Lord Canterville [[himself]], who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms.",1,17.21285579999676,0.0224020965653349,0.30673244109554526,0.6708654623391198,0.9839838496341295,0.006873973315297019,0.009142177050573378,0.09221562938052041,0.37556310283834243,0.5322212677811371,0.19721661945025512,0.1270841659218857,0.6756992146278593,0.07150389725704796,0.5973807544113179,0.3311153483316342,0.5887457521045908,0.1121996177753095,0.29905463012009986
2,the Cantervilles,2,7,his,58,59,1,third_person_possessive_pronoun_to_canonical_possessive,True,"Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it [[his]] duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it the Cantervilles' duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it the Cantervilles' duty to mention the fact to Mr. Otis when they came to discuss terms.","Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it the Cantervilles' duty to mention the fact to Mr. Otis when they came to discuss terms.",1,17.21285579999676,0.035707919653590575,0.32044429051914736,0.6438477898272621,0.9845582258543213,0.006436079628385338,0.00900569451729329,0.11818089581937861,0.48936806891863505,0.39245103526198627,0.32566938360807135,0.11980707084838536,0.5545235455435433,0.08319190197200077,0.7051983512877509,0.2116097467402485,0.4696270726786315,0.12155616475883609,0.4088167625625323
2,the Cantervilles,3,10,Lord Canterville,89,91,2,proper_name_to_canonical,True,"""We have not cared to live in the place ourselves,"" said [[Lord Canterville]], ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said the Cantervilles, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said the Cantervilles, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said the Cantervilles, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.",1,17.21285579999676,0.015028467344915683,0.33461264166204496,0.6503588909930393,0.08807091952867306,0.1052014168792746,0.8067276635920523,0.028760726548737434,0.35329788794080635,0.6179413855104563,0.006412728293455364,0.07023448984282799,0.9233527818637166,0.5598898090094231,0.36512865114359294,0.07498153984698405,0.08550698793206185,0.4315979947019581,0.4828950173659801
2,the Cantervilles,4,11,my,94,95,2,first_second_person_keep_original,False,"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since [[my]] grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.",1,17.21285579999676,0.011165286732627367,0.3335464788775296,0.6552882343898431,0.05766940295876324,0.10965125056450553,0.8326793464767311,0.018187836310933313,0.32674523535127786,0.6550669283377888,0.004002835010783834,0.06684874635507511,0.9291484186341411,0.6258004478329452,0.2894653072664315,0.0847342449006233,0.09301934182107412,0.43689043729968,0.470090220879246
2,the Cantervilles,5,12,the Dowager Duchess of Bolton,97,102,2,proper_name_to_canonical,True,"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, [[the Dowager Duchess of Bolton]], was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Cantervilles, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Cantervilles, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Cantervilles, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.",1,17.21285579999676,0.017352900442573715,0.2888106790496445,0.6938364205077818,0.10246351533287368,0.10176546976228032,0.7957710149048459,0.033003508217223435,0.2995562886573759,0.6674402031254008,0.006334841499236504,0.056241703878784834,0.9374234546219786,0.6641721923455147,0.26613153004651463,0.06969627760797066,0.08389888266342592,0.4006502524818479,0.5154508648547262
2,the Cantervilles,6,13,she,111,112,2,third_person_subject_pronoun_to_canonical,True,"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which [[she]] never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which the Cantervilles never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which the Cantervilles never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which the Cantervilles never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.",1,17.21285579999676,0.01316670170536082,0.3108505152146325,0.6759827830800067,0.07203315588681974,0.09874652358383763,0.8292203205293426,0.01953143217888243,0.3305104758295976,0.6499580919915199,0.005353195891132262,0.06942130059259159,0.9252255035162761,0.8405766427393113,0.11739945632193935,0.04202390093874948,0.10472285125753077,0.42754332570549936,0.46773382303696986
2,the Cantervilles,7,14,her,123,124,2,third_person_possessive_pronoun_to_canonical_possessive,True,"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on [[her]] shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on the Cantervilles' shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on the Cantervilles' shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on the Cantervilles' shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.",1,17.21285579999676,0.01292172935060046,0.2891138329826523,0.6979644376667473,0.06940659564579485,0.10624663653058906,0.8243467678236162,0.02188289862903124,0.32023498570368675,0.657882115667282,0.006166022142395519,0.07153778670636685,0.9222961911512376,0.6115348399577175,0.31402356216580374,0.07444159787647879,0.08886685425645802,0.4308993695626757,0.48023377618086627
2,the Cantervilles,8,15,she,126,127,2,third_person_subject_pronoun_to_canonical,True,"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as [[she]] was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as the Cantervilles was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as the Cantervilles was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as the Cantervilles was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.",1,17.21285579999676,0.013692141730280978,0.3168484660268417,0.6694593922428772,0.07948440736450463,0.11263963828357773,0.8078759543519176,0.023504721711452035,0.32423511071300265,0.6522601675755453,0.006151781003034582,0.06555913576151534,0.92828908323545,0.5971517257679237,0.32104001072562766,0.08180826350644863,0.09096956629003229,0.4248187933943989,0.48421164031556874
2,the Cantervilles,9,16,I,133,134,2,first_second_person_keep_original,False,"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and [[I]] feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.","""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge.",1,17.21285579999676,0.011231855670650296,0.33406384331687516,0.6547043010124746,0.05765704291018606,0.10984207539065333,0.8325008816991605,0.018192207881486185,0.32722296919810967,0.6545848229204042,0.004009317430959169,0.06715345577177603,0.9288372267972648,0.6265487430486901,0.2888225572998532,0.08462869965145667,0.09271959664981243,0.436813620600675,0.4704667827495125
