local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_013::cluster_000,chunk_013,13,0,Igraine,456
chunk_013::cluster_001,chunk_013,13,1,Gorlois,428
chunk_013::cluster_002,chunk_013,13,2,my king,1
chunk_013::cluster_003,chunk_013,13,3,the Merlin,17
chunk_013::cluster_004,chunk_013,13,4,a country lout,1
chunk_013::cluster_005,chunk_013,13,5,a boor,1
chunk_013::cluster_006,chunk_013,13,6,my lady of Cornwall,1
chunk_013::cluster_007,chunk_013,13,7,my father,1
chunk_013::cluster_008,chunk_013,13,8,king,1
chunk_013::cluster_009,chunk_013,13,9,all these kings,1
chunk_013::cluster_010,chunk_013,13,10,their,1
chunk_013::cluster_011,chunk_013,13,11,High King,1
chunk_013::cluster_012,chunk_013,13,12,the plain,1
chunk_013::cluster_013,chunk_013,13,13,They,1
chunk_013::cluster_014,chunk_013,13,14,there,27
chunk_013::cluster_015,chunk_013,13,15,they,30
chunk_013::cluster_016,chunk_013,13,16,Cornwall,7
chunk_013::cluster_017,chunk_013,13,17,a Druid temple,1
chunk_013::cluster_018,chunk_013,13,18,the Druids,1
chunk_013::cluster_019,chunk_013,13,19,these lands,1
chunk_013::cluster_020,chunk_013,13,20,a madman,1
chunk_013::cluster_021,chunk_013,13,21,a poor Northern chief who has suddenly Wakened to find himself High King of Britain,1
chunk_013::cluster_022,chunk_013,13,22,High King of Britain,1
chunk_013::cluster_023,chunk_013,13,23,a wedded man,1
chunk_013::cluster_024,chunk_013,13,24,your wife,1
chunk_013::cluster_025,chunk_013,13,25,your oldest son,4
chunk_013::cluster_026,chunk_013,13,26,a married man,1
chunk_013::cluster_027,chunk_013,13,27,women,1
chunk_013::cluster_028,chunk_013,13,28,God,1
chunk_013::cluster_029,chunk_013,13,29,the wife of my most Christian of chiefs,1
chunk_013::cluster_030,chunk_013,13,30,my most Christian of chiefs,1
chunk_013::cluster_031,chunk_013,13,31,Father Jerome,1
chunk_013::cluster_032,chunk_013,13,32,women,1
chunk_013::cluster_033,chunk_013,13,33,we,1
chunk_013::cluster_034,chunk_013,13,34,some woman,2
chunk_013::cluster_035,chunk_013,13,35,we,1
chunk_013::cluster_036,chunk_013,13,36,man,1
chunk_013::cluster_037,chunk_013,13,37,women,1
chunk_013::cluster_038,chunk_013,13,38,the Christians,3
chunk_013::cluster_039,chunk_013,13,39,man,1
chunk_013::cluster_040,chunk_013,13,40,no wench to tumble,1
chunk_013::cluster_041,chunk_013,13,41,"no wench to tumble, and why in the name of all the Gods",1
chunk_013::cluster_042,chunk_013,13,42,a woman who is wedded to one of my most loyal partisans-,1
chunk_013::cluster_043,chunk_013,13,43,one of my most loyal partisans-,1
chunk_013::cluster_044,chunk_013,13,44,my most loyal partisans-,1
chunk_013::cluster_045,chunk_013,13,45,the great plain,1
chunk_013::cluster_046,chunk_013,13,46,another world,1
chunk_013::cluster_047,chunk_013,13,47,you,1
chunk_013::cluster_048,chunk_013,13,48,my king,1
chunk_013::cluster_049,chunk_013,13,49,Lot,8
chunk_013::cluster_050,chunk_013,13,50,a man of lewd manners and little piety,1
chunk_013::cluster_051,chunk_013,13,51,a vassal,1
chunk_013::cluster_052,chunk_013,13,52,a vassal's wife,1
chunk_013::cluster_053,chunk_013,13,53,a public place,1
chunk_013::cluster_054,chunk_013,13,54,the lady,1
chunk_013::cluster_055,chunk_013,13,55,Husband,1
chunk_013::cluster_056,chunk_013,13,56,no one,1
chunk_013::cluster_057,chunk_013,13,57,any woman,1
chunk_013::cluster_058,chunk_013,13,58,all men,1
chunk_013::cluster_059,chunk_013,13,59,a man,2
chunk_013::cluster_060,chunk_013,13,60,a woman he has known,1
chunk_013::cluster_061,chunk_013,13,61,no Christian man,1
chunk_013::cluster_062,chunk_013,13,62,any other man,1
chunk_013::cluster_063,chunk_013,13,63,any other man's wife,1
chunk_013::cluster_064,chunk_013,13,64,lovers,1
chunk_013::cluster_065,chunk_013,13,65,Lovers,1
chunk_013::cluster_066,chunk_013,13,66,partners,1
chunk_013::cluster_067,chunk_013,13,67,priest,1
chunk_013::cluster_068,chunk_013,13,68,that woman who had loved that strange man who bore the serpents on his arms in gold,1
chunk_013::cluster_069,chunk_013,13,69,their,1
chunk_013::cluster_070,chunk_013,13,70,their lodging,1
chunk_013::cluster_071,chunk_013,13,71,his loyal supporter,1
chunk_013::cluster_074,chunk_013,13,74,his friend,1
chunk_013::cluster_075,chunk_013,13,75,all his assembled chiefs,1
chunk_013::cluster_076,chunk_013,13,76,his assembled chiefs,1
chunk_013::cluster_077,chunk_013,13,77,one of your camp followers and fancy women,1
chunk_013::cluster_078,chunk_013,13,78,a whore,1
chunk_013::cluster_079,chunk_013,13,79,my lovers,1
chunk_013::cluster_081,chunk_013,13,81,the priests,1
chunk_013::cluster_082,chunk_013,13,82,a Christian woman,1
chunk_013::cluster_083,chunk_013,13,83,a big man,1
chunk_013::cluster_084,chunk_013,13,84,a warrior,1
chunk_013::cluster_085,chunk_013,13,85,any man that way except your rightful husband,1
chunk_013::cluster_086,chunk_013,13,86,the Earth,1
chunk_013::cluster_087,chunk_013,13,87,the western ocean,1
chunk_013::cluster_088,chunk_013,13,88,Morgaine,6
chunk_013::cluster_089,chunk_013,13,89,the West,2
chunk_013::cluster_090,chunk_013,13,90,enemies,1
chunk_013::cluster_091,chunk_013,13,91,the West against the Saxons,1
chunk_013::cluster_092,chunk_013,13,92,the Saxons,6
chunk_013::cluster_093,chunk_013,13,93,the Irish,1
chunk_013::cluster_094,chunk_013,13,94,they,1
chunk_013::cluster_095,chunk_013,13,95,my country,1
chunk_013::cluster_096,chunk_013,13,96,The men of Cornwall,1
chunk_013::cluster_097,chunk_013,13,97,the West country,1
chunk_013::cluster_098,chunk_013,13,98,Ambrosius,5
chunk_013::cluster_099,chunk_013,13,99,God,2
chunk_013::cluster_100,chunk_013,13,100,the Holy Isle,2
chunk_013::cluster_101,chunk_013,13,101,God,1
chunk_013::cluster_102,chunk_013,13,102,a home-keeping woman,1
chunk_013::cluster_103,chunk_013,13,103,his hardiest supporters,1
chunk_013::cluster_104,chunk_013,13,104,the people who look to you for help if the Saxons come,1
chunk_013::cluster_105,chunk_013,13,105,treaty troops,1
chunk_013::cluster_106,chunk_013,13,106,a few minor kings,1
chunk_013::cluster_107,chunk_013,13,107,the cliffs,1
chunk_013::cluster_108,chunk_013,13,108,a woman,1
chunk_013::cluster_111,chunk_013,13,111,a man of lewdness,1
chunk_013::cluster_112,chunk_013,13,112,so bad a Christian,1
chunk_013::cluster_113,chunk_013,13,113,our men-at-arms,1
chunk_013::cluster_114,chunk_013,13,114,one of Gorlois's men,2
chunk_013::cluster_115,chunk_013,13,115,the man,12
chunk_013::cluster_116,chunk_013,13,116,the street,3
chunk_013::cluster_117,chunk_013,13,117,Gorlois's men,1
chunk_013::cluster_118,chunk_013,13,118,men,1
chunk_013::cluster_119,chunk_013,13,119,the nearby church,1
chunk_013::cluster_120,chunk_013,13,120,them,1
chunk_013::cluster_121,chunk_013,13,121,my men,1
chunk_013::cluster_122,chunk_013,13,122,a lady,1
chunk_013::cluster_123,chunk_013,13,123,men-at-arms,4
chunk_013::cluster_124,chunk_013,13,124,the river,2
chunk_013::cluster_125,chunk_013,13,125,men-at-arms with their long spears,1
chunk_013::cluster_126,chunk_013,13,126,one of the captains,1
chunk_013::cluster_127,chunk_013,13,127,the captains,1
chunk_013::cluster_128,chunk_013,13,128,a dozen horsemen,1
chunk_013::cluster_129,chunk_013,13,129,soldiers,1
chunk_013::cluster_130,chunk_013,13,130,a soldier,1
chunk_013::cluster_131,chunk_013,13,131,a house somewhere in flames,1
chunk_013::cluster_132,chunk_013,13,132,the travelling peddlers encamped in the marketplace,1
chunk_013::cluster_133,chunk_013,13,133,the marketplace,1
chunk_013::cluster_134,chunk_013,13,134,the thickly clustered houses,1
chunk_013::cluster_135,chunk_013,13,135,streets,1
chunk_013::cluster_136,chunk_013,13,136,the riverbank,1
chunk_013::cluster_137,chunk_013,13,137,One of Gorlois's men,1
chunk_013::cluster_138,chunk_013,13,138,Gorlois's men,1
chunk_013::cluster_139,chunk_013,13,139,A few of the men,2
chunk_013::cluster_140,chunk_013,13,140,the men,1
chunk_013::cluster_141,chunk_013,13,141,the shore,3
chunk_013::cluster_142,chunk_013,13,142,the ferry,2
chunk_013::cluster_143,chunk_013,13,143,my lord of Cornwall,1
chunk_013::cluster_146,chunk_013,13,146,we,1
chunk_013::cluster_147,chunk_013,13,147,All the soldiers,1
chunk_013::cluster_148,chunk_013,13,148,we,1
chunk_013::cluster_149,chunk_013,13,149,the south coast,1
chunk_013::cluster_150,chunk_013,13,150,Cowards,2
chunk_013::cluster_151,chunk_013,13,151,someone,1
chunk_013::cluster_152,chunk_013,13,152,the countryside,1
chunk_013::cluster_153,chunk_013,13,153,the world,1
chunk_013::cluster_154,chunk_013,13,154,men,1
chunk_013::cluster_155,chunk_013,13,155,soldier,1
chunk_013::cluster_156,chunk_013,13,156,his men,5
chunk_013::cluster_157,chunk_013,13,157,Londinium,3
chunk_013::cluster_158,chunk_013,13,158,thieves,1
chunk_013::cluster_159,chunk_013,13,159,a woman,1
chunk_013::cluster_160,chunk_013,13,160,a woman to be given away without her own consent,1
chunk_013::cluster_161,chunk_013,13,161,the Lady of Avalon,1
chunk_013::cluster_162,chunk_013,13,162,Avalon,1
chunk_013::cluster_163,chunk_013,13,163,a woman,1
