row_index,local_cluster_uid,cluster_canonical_name,mention_text,mention_key,matched_anchor,matched_anchor_key,matched_anchor_n_mentions,match_score,match_method
2,chunk_000::cluster_000,Igraine,sister,sister,The sisters,sisters,46,0.9230769230769231,fuzzy
3,chunk_000::cluster_000,Igraine,lover,lover,lovers,lovers,64,0.9090909090909091,fuzzy
13,chunk_000::cluster_000,Igraine,1,1,the young men-1,young men 1,27,0.3333333333333333,token_subset
27,chunk_000::cluster_000,Igraine,sister,sister,The sisters,sisters,46,0.9230769230769231,fuzzy
28,chunk_000::cluster_000,Igraine,lover,lover,lovers,lovers,64,0.9090909090909091,fuzzy
39,chunk_000::cluster_000,Igraine,1,1,the young men-1,young men 1,27,0.3333333333333333,token_subset
52,chunk_000::cluster_000,Igraine,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
53,chunk_000::cluster_000,Igraine,Morgaine who was in later days called Morgan le Fay,morgaine who was in later days called morgan le fay,Morgaine,morgaine,36775,0.1,token_subset
62,chunk_000::cluster_000,Igraine,Gorlois's bride,gorlois bride,Gorlois,gorlois,3943,0.5,token_subset
82,chunk_000::cluster_000,Igraine,his wife,his wife,his wife,his wife,32,1.0,exact
112,chunk_000::cluster_000,Igraine,1,1,the young men-1,young men 1,27,0.3333333333333333,token_subset
121,chunk_000::cluster_000,Igraine,1,1,the young men-1,young men 1,27,0.3333333333333333,token_subset
155,chunk_000::cluster_000,Igraine,the Messenger of the Gods,messenger of the gods,the Gods,gods,271,0.25,token_subset
260,chunk_000::cluster_000,Igraine,child,child,a child,child,312,1.0,exact
291,chunk_000::cluster_000,Igraine,child,child,a child,child,312,1.0,exact
303,chunk_000::cluster_001,priestess,priestess,priestess,the priests,priests,483,0.875,fuzzy
309,chunk_000::cluster_006,their God,the Christ,christ,the Christ,christ,307,1.0,exact
310,chunk_000::cluster_006,their God,the Christ,christ,the Christ,christ,307,1.0,exact
312,chunk_000::cluster_006,their God,the White Christ,white christ,the Christ,christ,307,0.5,token_subset
318,chunk_000::cluster_006,their God,Christ,christ,the Christ,christ,307,1.0,exact
319,chunk_000::cluster_006,their God,The Christ God,christ god,the Christ,christ,307,0.5,token_subset
320,chunk_000::cluster_007,the Mother,the Great Goddess,great goddess,the Goddess,goddess,1942,0.5,token_subset
328,chunk_000::cluster_007,the Mother,my Goddess,my goddess,the Goddess,goddess,1942,0.5,token_subset
332,chunk_000::cluster_008,the world,the world in which the Christ holds sway,world in which the christ holds sway,the Christ,christ,307,0.14285714285714285,token_subset
339,chunk_000::cluster_008,the world,the Holy Isle of Eternity,holy isle of eternity,the Holy Isle,holy isle,48,0.5,token_subset
341,chunk_000::cluster_008,the world,there,there,there,there,339,1.0,exact
346,chunk_000::cluster_010,the priests,the priests,priests,priestess,priestess,248,0.875,fuzzy
348,chunk_000::cluster_010,the priests,the priests,priests,priestess,priestess,248,0.875,fuzzy
357,chunk_000::cluster_010,the priests,the priests,priests,priestess,priestess,248,0.875,fuzzy
360,chunk_000::cluster_010,the priests,the priests,priests,priestess,priestess,248,0.875,fuzzy
362,chunk_000::cluster_010,the priests,the priests,priests,priestess,priestess,248,0.875,fuzzy
371,chunk_000::cluster_010,the priests,Father Columba,father columba,Father Columba,father columba,168,1.0,exact
373,chunk_000::cluster_010,the priests,the priests,priests,priestess,priestess,248,0.875,fuzzy
374,chunk_000::cluster_010,the priests,Father Columba,father columba,Father Columba,father columba,168,1.0,exact
378,chunk_000::cluster_010,the priests,Father Columba,father columba,Father Columba,father columba,168,1.0,exact
382,chunk_000::cluster_010,the priests,Father Columba,father columba,Father Columba,father columba,168,1.0,exact
383,chunk_000::cluster_010,the priests,these Romans,these romans,The Romans,romans,79,0.5,token_subset
385,chunk_000::cluster_010,the priests,these Roman men,these roman men,these men,these men,68,0.6666666666666666,token_subset
394,chunk_000::cluster_014,Gorlois,Arthur,arthur,Arthur,arthur,20026,1.0,exact
395,chunk_000::cluster_014,Gorlois,my brother,my brother,my brother,my brother,181,1.0,exact
396,chunk_000::cluster_014,Gorlois,Arthur,arthur,Arthur,arthur,20026,1.0,exact
397,chunk_000::cluster_014,Gorlois,Arthur,arthur,Arthur,arthur,20026,1.0,exact
398,chunk_000::cluster_014,Gorlois,Arthur,arthur,Arthur,arthur,20026,1.0,exact
400,chunk_000::cluster_014,Gorlois,Arthur,arthur,Arthur,arthur,20026,1.0,exact
402,chunk_000::cluster_014,Gorlois,"my Goddess, but only as my brother",my goddess but only as my brother,my brother,my brother,181,0.3333333333333333,token_subset
403,chunk_000::cluster_014,Gorlois,my brother,my brother,my brother,my brother,181,1.0,exact
404,chunk_000::cluster_014,Gorlois,Arthur,arthur,Arthur,arthur,20026,1.0,exact
411,chunk_000::cluster_014,Gorlois,the castle,castle,the castle,castle,80,1.0,exact
412,chunk_000::cluster_014,Gorlois,the castle,castle,the castle,castle,80,1.0,exact
