cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,openness,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,conscientiousness,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,extraversion,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,agreeableness,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,neuroticism,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability,OCEAN_weight,OCEAN_weight_source
2,Uncle Henry,0,2,Uncle Henry,12,14,0,proper_name_to_canonical,False,"Dorothy lived in the midst of the great Kansas prairies, with [[Uncle Henry]], who was a farmer, and Aunt Em, who was the farmer's wife.","Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife.","Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife.","Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife.",1,13.39257660000294,0.12111133337020874,0.5012577176094055,0.37763088941574097,50.0,0.3245057165622711,0.3478039801120758,0.3276902437210083,50.0,0.16968297958374023,0.4459649920463562,0.38435202836990356,50.0,0.32712942361831665,0.31429019570350647,0.3585803508758545,50.0,0.08638549596071243,0.7234514355659485,0.19016312062740326,10.67,0.13705167174339294,0.38738560676574707,0.4755626916885376,33.07,direct_nli_zero_shot
2,Uncle Henry,1,12,Uncle Henry,94,96,3,proper_name_to_canonical,False,"[[Uncle Henry]] and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.","Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.","Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.","Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.",1,13.39257660000294,0.17436423897743225,0.4819054901599884,0.34373030066490173,50.0,0.2950226366519928,0.3896981477737427,0.31527912616729736,50.0,0.24196530878543854,0.42012494802474976,0.3379096984863281,50.0,0.38506364822387695,0.22836555540561676,0.3865707516670227,50.0,0.1844945102930069,0.6214001178741455,0.194105327129364,22.89,0.1455802023410797,0.4808480739593506,0.3735716938972473,38.6,direct_nli_zero_shot
2,Uncle Henry,2,53,Uncle Henry,456,458,16,proper_name_to_canonical,False,[[Uncle Henry]] never laughed.,Uncle Henry never laughed.,Uncle Henry never laughed.,Uncle Henry never laughed.,1,13.39257660000294,0.014173776842653751,0.6693947911262512,0.3164313733577728,2.07,0.5476096272468567,0.1762271225452423,0.2761632800102234,75.65,0.021101130172610283,0.5378651022911072,0.4410337805747986,50.0,0.1227511391043663,0.35867786407470703,0.5185710191726685,50.0,0.07013874500989914,0.8768660426139832,0.0529952310025692,7.41,0.48140084743499756,0.2741600275039673,0.2444390505552292,61.85,direct_nli_zero_shot
2,Uncle Henry,3,54,He,461,462,17,proper_name_to_canonical,True,[[He]] worked hard from morning till night and did not know what joy was.,Uncle Henry worked hard from morning till night and did not know what joy was.,Uncle Henry worked hard from morning till night and did not know what joy was.,Uncle Henry worked hard from morning till night and did not know what joy was.,1,13.39257660000294,0.010582479648292065,0.38714882731437683,0.6022686958312988,50.0,0.9380249381065369,0.01053305808454752,0.051442064344882965,98.89,0.010523097589612007,0.4594084620475769,0.5300684571266174,50.0,0.06795582920312881,0.13957253098487854,0.7924716472625732,50.0,0.1473831981420517,0.7205033302307129,0.13211344182491302,16.98,0.8963234424591064,0.04676693305373192,0.056909676641225815,91.97,direct_nli_zero_shot
2,Uncle Henry,4,55,He,476,477,18,proper_name_to_canonical,True,"[[He]] was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","Uncle Henry was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","Uncle Henry was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","Uncle Henry was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.",1,13.39257660000294,0.001882090582512319,0.3221319913864136,0.6759859323501587,50.0,0.6797983646392822,0.1270461231470108,0.1931554675102234,84.25,0.001048861420713365,0.40455323457717896,0.5943979024887085,50.0,0.012124937027692795,0.13202080130577087,0.8558542728424072,50.0,0.14769037067890167,0.7596161961555481,0.09269344061613083,16.28,0.1823563277721405,0.03283867985010147,0.7848049998283386,19.88,direct_nli_zero_shot
2,Uncle Henry,5,56,his,482,483,18,third_person_possessive_pronoun_to_canonical_possessive,True,"He was gray also, from [[his]] long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","He was gray also, from Uncle Henry's long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","He was gray also, from Uncle Henry's long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","He was gray also, from Uncle Henry's long beard to his rough boots, and he looked stern and solemn, and rarely spoke.",1,13.39257660000294,0.001562906545586884,0.2555011510848999,0.7429358959197998,50.0,0.7369264960289001,0.12038809061050415,0.1426854431629181,85.96,0.0009625227539800107,0.38154327869415283,0.6174941658973694,50.0,0.008955462835729122,0.09741522371768951,0.8936293125152588,50.0,0.1473800539970398,0.7580201625823975,0.09459979832172394,16.28,0.22938819229602814,0.03446374461054802,0.7361481189727783,24.66,direct_nli_zero_shot
2,Uncle Henry,6,57,his,486,487,18,third_person_possessive_pronoun_to_canonical_possessive,True,"He was gray also, from his long beard to [[his]] rough boots, and he looked stern and solemn, and rarely spoke.","He was gray also, from his long beard to Uncle Henry's rough boots, and he looked stern and solemn, and rarely spoke.","He was gray also, from his long beard to Uncle Henry's rough boots, and he looked stern and solemn, and rarely spoke.","He was gray also, from his long beard to Uncle Henry's rough boots, and he looked stern and solemn, and rarely spoke.",1,13.39257660000294,0.0013835957506671548,0.22818447649478912,0.7704319357872009,50.0,0.7146748304367065,0.12519647181034088,0.16012872755527496,85.09,0.0008978666155599058,0.37445417046546936,0.6246479153633118,50.0,0.009458746761083603,0.08638844639062881,0.9041528701782227,50.0,0.1567491739988327,0.7380144000053406,0.10523641854524612,17.52,0.23914773762226105,0.036353569477796555,0.7244986891746521,25.73,direct_nli_zero_shot
2,Uncle Henry,7,58,he,491,492,18,third_person_subject_pronoun_to_canonical,True,"He was gray also, from his long beard to his rough boots, and [[he]] looked stern and solemn, and rarely spoke.","He was gray also, from his long beard to his rough boots, and Uncle Henry looked stern and solemn, and rarely spoke.","He was gray also, from his long beard to his rough boots, and Uncle Henry looked stern and solemn, and rarely spoke.","He was gray also, from his long beard to his rough boots, and Uncle Henry looked stern and solemn, and rarely spoke.",1,13.39257660000294,0.00151357043068856,0.26767250895500183,0.7308139204978943,50.0,0.7612723708152771,0.10855286568403244,0.13017477095127106,87.52,0.0009442039299756289,0.4003709852695465,0.5986848473548889,50.0,0.010673249140381813,0.09596941620111465,0.8933572769165039,50.0,0.14508746564388275,0.7506139278411865,0.1042986735701561,16.2,0.23241867125034332,0.030397510156035423,0.7371838092803955,24.76,direct_nli_zero_shot
2,Uncle Henry,8,71,Uncle Henry,582,584,23,proper_name_to_canonical,False,"[[Uncle Henry]] sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.","Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.","Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.","Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.",1,13.39257660000294,0.027494311332702637,0.2845628559589386,0.6879428029060364,50.0,0.16403155028820038,0.2650820314884186,0.5708863735198975,50.0,0.0050776563584804535,0.37745201587677,0.6174703240394592,50.0,0.03739844262599945,0.025930454954504967,0.9366710782051086,50.0,0.9861469864845276,0.005084655713289976,0.008768354542553425,99.49,0.19211632013320923,0.4025611877441406,0.40532249212265015,39.34,direct_nli_zero_shot
2,Uncle Henry,9,77,Uncle Henry,642,644,26,proper_name_to_canonical,False,"From the far north they heard a low wail of the wind, and [[Uncle Henry]] and Dorothy could see where the long grass bowed in waves before the coming storm.","From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.","From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.","From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.",1,13.39257660000294,0.23827385902404785,0.44974222779273987,0.31198403239250183,50.0,0.2932961881160736,0.3898846209049225,0.3168192207813263,50.0,0.22764185070991516,0.4132641553878784,0.35909393429756165,50.0,0.37800756096839905,0.14948256313800812,0.47250989079475403,50.0,0.1437816321849823,0.7211480736732483,0.135070338845253,16.62,0.19179333746433258,0.35910531878471375,0.4491012990474701,37.13,direct_nli_zero_shot
