local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_000::cluster_000,chunk_000,0,0,the great Kansas prairies,1
chunk_000::cluster_001,chunk_000,0,1,a farmer,1
chunk_000::cluster_002,chunk_000,0,2,Aunt Em,118
chunk_000::cluster_003,chunk_000,0,3,the farmer,1
chunk_000::cluster_004,chunk_000,0,4,the house,35
chunk_000::cluster_005,chunk_000,0,5,Uncle Henry,17
chunk_000::cluster_006,chunk_000,0,6,one room,1
chunk_000::cluster_007,chunk_000,0,7,another corner,1
chunk_000::cluster_008,chunk_000,0,8,no garret,1
chunk_000::cluster_009,chunk_000,0,9,no garret at all,1
chunk_000::cluster_010,chunk_000,0,10,no cellar,1
chunk_000::cluster_011,chunk_000,0,11,a cyclone cellar,4
chunk_000::cluster_012,chunk_000,0,12,Dorothy,289
chunk_000::cluster_013,chunk_000,0,13,the family,1
chunk_000::cluster_014,chunk_000,0,14,any building,1
chunk_000::cluster_015,chunk_000,0,15,the great gray prairie,2
chunk_000::cluster_016,chunk_000,0,16,flat country,1
chunk_000::cluster_017,chunk_000,0,17,the plowed land,1
chunk_000::cluster_018,chunk_000,0,18,"a young, pretty wife",1
chunk_000::cluster_019,chunk_000,0,19,Toto,61
chunk_000::cluster_020,chunk_000,0,20,the people,10
chunk_000::cluster_021,chunk_000,0,21,the room,5
chunk_000::cluster_022,chunk_000,0,22,they,1
chunk_000::cluster_023,chunk_000,0,23,the cellar,1
chunk_000::cluster_024,chunk_000,0,24,you,1
chunk_000::cluster_025,chunk_000,0,25,a baby in a cradle,1
chunk_000::cluster_026,chunk_000,0,26,a country of marvelous beauty,1
chunk_000::cluster_027,chunk_000,0,27,a small brook,1
chunk_000::cluster_028,chunk_000,0,28,"the dry, gray prairies",1
chunk_000::cluster_029,chunk_000,0,29,the men,13
chunk_000::cluster_030,chunk_000,0,30,a group of the queerest people she had ever seen,1
chunk_000::cluster_031,chunk_000,0,31,these people,6
chunk_000::cluster_032,chunk_000,0,32,the queerest people she had ever seen,1
chunk_000::cluster_033,chunk_000,0,33,the grown folk she had always been used to,1
chunk_000::cluster_034,chunk_000,0,34,Three,1
