local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_000::cluster_000,chunk_000,0,0,Mr. Otis,98
chunk_000::cluster_001,chunk_000,0,1,the American Minister,1
chunk_000::cluster_002,chunk_000,0,2,"the American Minister, bought Canterville Chase",1
chunk_000::cluster_003,chunk_000,0,3,the house,17
chunk_000::cluster_004,chunk_000,0,4,every one,1
chunk_000::cluster_005,chunk_000,0,5,Lord Canterville,16
chunk_000::cluster_006,chunk_000,0,6,a man of the most punctilious honour,1
chunk_000::cluster_007,chunk_000,0,7,they,1
chunk_000::cluster_008,chunk_000,0,8,we,8
chunk_000::cluster_009,chunk_000,0,9,my grandaunt,1
chunk_000::cluster_010,chunk_000,0,10,Lady Canterville,15
chunk_000::cluster_011,chunk_000,0,11,the ghost,206
chunk_000::cluster_012,chunk_000,0,12,several living members of my family,1
chunk_000::cluster_013,chunk_000,0,13,"several living members of my family, as well as by the rector of the parish",1
chunk_000::cluster_014,chunk_000,0,14,my family,1
chunk_000::cluster_015,chunk_000,0,15,the Rev. Augustus Dampier,1
chunk_000::cluster_016,chunk_000,0,16,"a Fellow of King's College, Cambridge",1
chunk_000::cluster_017,chunk_000,0,17,"King's College, Cambridge",1
chunk_000::cluster_018,chunk_000,0,18,Cambridge,1
chunk_000::cluster_019,chunk_000,0,19,none of our younger servants,1
chunk_000::cluster_020,chunk_000,0,20,our younger servants,1
chunk_000::cluster_021,chunk_000,0,21,a modern country,1
chunk_000::cluster_022,chunk_000,0,22,"a modern country, where we have everything that money can buy; and with all our spry young fellows",1
chunk_000::cluster_023,chunk_000,0,23,all our spry young fellows,1
chunk_000::cluster_024,chunk_000,0,24,all our spry young fellows painting the Old World,1
chunk_000::cluster_025,chunk_000,0,25,our,1
chunk_000::cluster_026,chunk_000,0,26,our spry young fellows,1
chunk_000::cluster_027,chunk_000,0,27,the Old World,1
chunk_000::cluster_028,chunk_000,0,28,your best actors,1
chunk_000::cluster_029,chunk_000,0,29,Europe,1
chunk_000::cluster_030,chunk_000,0,30,"Europe, we'd have it at home",1
chunk_000::cluster_031,chunk_000,0,31,home,1
chunk_000::cluster_032,chunk_000,0,32,one of our public museums,1
chunk_000::cluster_033,chunk_000,0,33,our public museums,1
chunk_000::cluster_034,chunk_000,0,34,the road,1
chunk_000::cluster_035,chunk_000,0,35,your,1
chunk_000::cluster_036,chunk_000,0,36,your enterprising impresarios,1
chunk_000::cluster_037,chunk_000,0,37,any member of our family,1
chunk_000::cluster_038,chunk_000,0,38,our family,1
chunk_000::cluster_039,chunk_000,0,39,the family doctor,1
chunk_000::cluster_040,chunk_000,0,40,the British aristocracy,1
chunk_000::cluster_041,chunk_000,0,41,Mrs. Otis,24
chunk_000::cluster_042,chunk_000,0,42,America,2
chunk_000::cluster_043,chunk_000,0,43,Miss Lucretia R. Tappan,1
chunk_000::cluster_044,chunk_000,0,44,"Miss Lucretia R. Tappan, of West 53d Street",1
chunk_000::cluster_045,chunk_000,0,45,West 53d Street,1
