global_cluster_uid,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
global_cluster_000000,3,632,Igraine,igraine,chunk_000::cluster_000|chunk_001::cluster_003|chunk_002::cluster_001,0,2
global_cluster_000001,1,2,wise-woman,wise-woman,chunk_000::cluster_002,0,0
global_cluster_000002,1,1,queen,queen,chunk_000::cluster_003,0,0
global_cluster_000003,16,72,a Christian,a christian|christians|the christians|the universe of the christians,chunk_000::cluster_004|chunk_000::cluster_204|chunk_001::cluster_050|chunk_001::cluster_127|chunk_001::cluster_129|chunk_001::cluster_131|chunk_001::cluster_137|chunk_001::cluster_161|chunk_001::cluster_163|chunk_001::cluster_188|chunk_002::cluster_015|chunk_002::cluster_017|chunk_002::cluster_020|chunk_002::cluster_027|chunk_002::cluster_052|chunk_002::cluster_079,0,2
global_cluster_000004,1,1,the world of Fairy,the world of fairy,chunk_000::cluster_005,0,0
global_cluster_000005,13,117,the worlds,that world|the lords of this world|the world|the worlds|this world|those who are the lords of this world|two worlds,chunk_000::cluster_008|chunk_000::cluster_027|chunk_000::cluster_038|chunk_001::cluster_139|chunk_001::cluster_157|chunk_001::cluster_158|chunk_001::cluster_210|chunk_001::cluster_220|chunk_002::cluster_029|chunk_002::cluster_047|chunk_002::cluster_049|chunk_002::cluster_104|chunk_002::cluster_116,0,2
global_cluster_000006,17,29,no other Gods,"all gods|all gods, he must make it as if there were no other gods|all the gods|no other god|no other god save for their god|no other gods|other gods|our gods|the gods|their god",chunk_000::cluster_006|chunk_000::cluster_073|chunk_000::cluster_161|chunk_001::cluster_012|chunk_001::cluster_138|chunk_001::cluster_152|chunk_001::cluster_185|chunk_001::cluster_189|chunk_001::cluster_190|chunk_002::cluster_028|chunk_002::cluster_030|chunk_002::cluster_031|chunk_002::cluster_042|chunk_002::cluster_076|chunk_002::cluster_080|chunk_002::cluster_081|chunk_002::cluster_082,0,2
global_cluster_000007,14,50,the Mother,a royal mother|her mother|his foster-mother|the goddess|the mother|the mother-|the son of a royal mother|the world mother,chunk_000::cluster_007|chunk_000::cluster_054|chunk_000::cluster_177|chunk_000::cluster_214|chunk_001::cluster_027|chunk_001::cluster_061|chunk_001::cluster_125|chunk_001::cluster_147|chunk_001::cluster_211|chunk_002::cluster_013|chunk_002::cluster_037|chunk_002::cluster_105|chunk_002::cluster_186|chunk_002::cluster_187,0,2
global_cluster_000008,1,1,a demon,a demon,chunk_000::cluster_009,0,0
global_cluster_000009,19,89,the Isle of the Priests,"a priest|all the people of both the britains-the britain of the priests|the barge which bore him away, not this time to the isle of the priests|the britain of the priests|the isle of the priests|the priests",chunk_000::cluster_010|chunk_000::cluster_048|chunk_000::cluster_059|chunk_000::cluster_072|chunk_000::cluster_146|chunk_001::cluster_134|chunk_001::cluster_135|chunk_001::cluster_213|chunk_001::cluster_243|chunk_001::cluster_244|chunk_001::cluster_263|chunk_001::cluster_264|chunk_002::cluster_022|chunk_002::cluster_023|chunk_002::cluster_074|chunk_002::cluster_108|chunk_002::cluster_148|chunk_002::cluster_161|chunk_002::cluster_162,0,2
global_cluster_000010,1,2,Satan,satan,chunk_000::cluster_039,0,0
global_cluster_000011,1,1,the Lady of Nazareth,the lady of nazareth,chunk_000::cluster_011,0,0
global_cluster_000012,1,1,a virgin,a virgin,chunk_000::cluster_012,0,0
global_cluster_000013,7,7,mankind,all mankind|mankind,chunk_000::cluster_013|chunk_001::cluster_155|chunk_001::cluster_162|chunk_001::cluster_260|chunk_002::cluster_044|chunk_002::cluster_053|chunk_002::cluster_158,0,2
global_cluster_000014,3,116,Gorlois,gorlois|lady of duke gorlois,chunk_000::cluster_014|chunk_000::cluster_089|chunk_002::cluster_012,0,2
global_cluster_000015,3,3,lovers,lovers|my lover,chunk_000::cluster_015|chunk_001::cluster_219|chunk_002::cluster_115,0,2
global_cluster_000016,1,1,king who was,king who was,chunk_000::cluster_016,0,0
global_cluster_000017,1,1,king who shall be,king who shall be,chunk_000::cluster_017,0,0
global_cluster_000018,1,1,the common folk,the common folk,chunk_000::cluster_018,0,0
global_cluster_000019,9,33,Avalon,avalon|the holy isle of avalon|the isle of avalon|the old road to avalon|the realms of avalon|the road to avalon,chunk_000::cluster_019|chunk_000::cluster_067|chunk_000::cluster_080|chunk_000::cluster_085|chunk_001::cluster_076|chunk_001::cluster_174|chunk_002::cluster_035|chunk_002::cluster_064|chunk_002::cluster_107,0,2
global_cluster_000020,1,1,their saints,their saints,chunk_000::cluster_020,0,0
