local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_005::cluster_000,chunk_005,5,0,Dorothy,175
chunk_005::cluster_001,chunk_005,5,1,the travelers,147
chunk_005::cluster_002,chunk_005,5,2,the Scarecrow,200
chunk_005::cluster_003,chunk_005,5,3,the Emerald City,38
chunk_005::cluster_004,chunk_005,5,4,the bottom of the river,1
chunk_005::cluster_005,chunk_005,5,5,the Tin Woodman,71
chunk_005::cluster_006,chunk_005,5,6,the raft,5
chunk_005::cluster_007,chunk_005,5,7,a cornfield,1
chunk_005::cluster_008,chunk_005,5,8,the shore,3
chunk_005::cluster_009,chunk_005,5,9,the road,12
chunk_005::cluster_010,chunk_005,5,10,the bank,6
chunk_005::cluster_011,chunk_005,5,11,the riverbank,1
chunk_005::cluster_012,chunk_005,5,12,a lovely country,1
chunk_005::cluster_013,chunk_005,5,13,the Stork,29
chunk_005::cluster_014,chunk_005,5,14,my friends,1
chunk_005::cluster_015,chunk_005,5,15,Toto,32
chunk_005::cluster_016,chunk_005,5,16,anyone in trouble,1
chunk_005::cluster_017,chunk_005,5,17,a great meadow of poppies,1
chunk_005::cluster_018,chunk_005,5,18,the sleeper,2
chunk_005::cluster_019,chunk_005,5,19,here,2
chunk_005::cluster_021,chunk_005,5,21,beautiful green fields before them,1
chunk_005::cluster_022,chunk_005,5,22,a very good comrade,1
chunk_005::cluster_023,chunk_005,5,23,a friend,1
chunk_005::cluster_024,chunk_005,5,24,a Queen,1
chunk_005::cluster_025,chunk_005,5,25,the Queen of all the Field Mice,1
chunk_005::cluster_026,chunk_005,5,26,the mice,37
chunk_005::cluster_027,chunk_005,5,27,Kansas,5
chunk_005::cluster_028,chunk_005,5,28,the poppy bed,2
chunk_005::cluster_029,chunk_005,5,29,the green fields,2
chunk_005::cluster_030,chunk_005,5,30,Oz,59
chunk_005::cluster_031,chunk_005,5,31,the forest,4
chunk_005::cluster_032,chunk_005,5,32,us,1
chunk_005::cluster_033,chunk_005,5,33,a coward,1
chunk_005::cluster_034,chunk_005,5,34,anyone who is our friend,1
chunk_005::cluster_035,chunk_005,5,35,our friend,1
chunk_005::cluster_037,chunk_005,5,37,all her people,1
chunk_005::cluster_038,chunk_005,5,38,it,1
chunk_005::cluster_039,chunk_005,5,39,their homes,1
chunk_005::cluster_040,chunk_005,5,40,the country about,1
chunk_005::cluster_041,chunk_005,5,41,"a small house, in which a farmer evidently lived",1
chunk_005::cluster_042,chunk_005,5,42,a farmer,1
chunk_005::cluster_043,chunk_005,5,43,several of these houses,1
chunk_005::cluster_044,chunk_005,5,44,these houses,1
chunk_005::cluster_045,chunk_005,5,45,people,2
chunk_005::cluster_046,chunk_005,5,46,the people,3
chunk_005::cluster_047,chunk_005,5,47,no one,1
chunk_005::cluster_048,chunk_005,5,48,the Munchkins,4
chunk_005::cluster_049,chunk_005,5,49,the people,2
chunk_005::cluster_050,chunk_005,5,50,the Land of Oz,1
chunk_005::cluster_051,chunk_005,5,51,here,1
chunk_005::cluster_052,chunk_005,5,52,the country of the Munchkins,1
chunk_005::cluster_053,chunk_005,5,53,the next house,1
chunk_005::cluster_054,chunk_005,5,54,the house,2
chunk_005::cluster_055,chunk_005,5,55,the world,1
chunk_005::cluster_056,chunk_005,5,56,a great coward,1
chunk_005::cluster_057,chunk_005,5,57,two children,1
chunk_005::cluster_058,chunk_005,5,58,the man,37
chunk_005::cluster_059,chunk_005,5,59,a corner,1
chunk_005::cluster_060,chunk_005,5,60,anyone,1
chunk_005::cluster_061,chunk_005,5,61,a beautiful and wonderful place,1
chunk_005::cluster_062,chunk_005,5,62,the great Throne Room of his Palace,3
chunk_005::cluster_063,chunk_005,5,63,"the great Throne Room of his Palace, and even those who wait upon him",1
chunk_005::cluster_064,chunk_005,5,64,those who wait upon him,1
chunk_005::cluster_065,chunk_005,5,65,a Great Wizard,1
chunk_005::cluster_066,chunk_005,5,66,some,1
chunk_005::cluster_067,chunk_005,5,67,some,1
chunk_005::cluster_068,chunk_005,5,68,a beautiful fairy,1
chunk_005::cluster_069,chunk_005,5,69,a brownie,1
chunk_005::cluster_070,chunk_005,5,70,no living person,1
chunk_005::cluster_071,chunk_005,5,71,his Throne Room,1
chunk_005::cluster_072,chunk_005,5,72,my home,1
chunk_005::cluster_073,chunk_005,5,73,anyone,1
chunk_005::cluster_074,chunk_005,5,74,her room,1
chunk_005::cluster_075,chunk_005,5,75,"a high arched room, the walls of which glistened with countless emeralds",1
chunk_005::cluster_076,chunk_005,5,76,anyone,1
chunk_005::cluster_077,chunk_005,5,77,a good Wizard,1
chunk_005::cluster_078,chunk_005,5,78,"those who are not honest, or who approach him from curiosity",1
chunk_005::cluster_079,chunk_005,5,79,those who live in the City,1
