cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,openness,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,conscientiousness,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,extraversion,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,agreeableness,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,neuroticism,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability,OCEAN_weight,OCEAN_weight_source
153,the Lion,0,1418,him,8037,8038,346,third_person_object_pronoun_to_canonical,True,When Dorothy awoke the sun was shining through the trees and Toto had long been out chasing birds around [[him]] and squirrels.,When Dorothy awoke the sun was shining through the trees and Toto had long been out chasing birds around the Lion and squirrels.,When Dorothy awoke the sun was shining through the trees and Toto had long been out chasing birds around the Lion and squirrels.,When Dorothy awoke the sun was shining through the trees and Toto had long been out chasing birds around the Lion and squirrels.,1,17.080638499995985,0.22339215874671936,0.3168032169342041,0.4598046541213989,50.0,0.16242659091949463,0.31165680289268494,0.525916576385498,50.0,0.2971102297306061,0.31651654839515686,0.38637328147888184,50.0,0.2753756046295166,0.22770854830741882,0.4969157576560974,50.0,0.09030921757221222,0.589196503162384,0.32049426436424255,13.29,,,,100.0,constant_disabled
153,the Lion,24,1733,me,9572,9573,413,first_second_person_keep_original,False,"She, on her part, promised to marry [[me]] as soon as I could earn enough money to build a better house for her; so I set to work harder than ever.","She, on her part, promised to marry me as soon as I could earn enough money to build a better house for her; so I set to work harder than ever.","She, on her part, promised to marry me as soon as I could earn enough money to build a better house for her; so I set to work harder than ever.","She, on her part, promised to marry me as soon as I could earn enough money to build a better house for her; so I set to work harder than ever.",1,17.080638499995985,0.11206696182489395,0.33361274003982544,0.5543202757835388,50.0,0.8513592481613159,0.07011187821626663,0.07852887362241745,92.39,0.2588770389556885,0.3358113467693329,0.4053117036819458,50.0,0.615515947341919,0.16628721356391907,0.21819695830345154,78.73,0.15850138664245605,0.4846709966659546,0.35682764649391174,50.0,,,,100.0,constant_disabled
153,the Lion,50,1829,I,9910,9911,426,first_second_person_keep_original,False,""" [[I]] thought I had beaten the Wicked Witch then, and I worked harder than ever; but I little knew how cruel my enemy could be.",""" I thought I had beaten the Wicked Witch then, and I worked harder than ever; but I little knew how cruel my enemy could be.",""" I thought I had beaten the Wicked Witch then, and I worked harder than ever; but I little knew how cruel my enemy could be.",""" I thought I had beaten the Wicked Witch then, and I worked harder than ever; but I little knew how cruel my enemy could be.",1,17.080638499995985,0.12866371870040894,0.4686407148838043,0.40269556641578674,50.0,0.2199234813451767,0.26348763704299927,0.5165888667106628,50.0,0.14189492166042328,0.457409530878067,0.4006955623626709,50.0,0.04031737893819809,0.8205626606941223,0.13911999762058258,4.68,0.22040893137454987,0.5892878770828247,0.19030322134494781,27.22,,,,100.0,constant_disabled
153,the Lion,59,1854,my,9982,9983,428,first_second_person_keep_original,False,"Once more the tinsmith came to [[my]] help and made me a body of tin, fastening my tin arms and legs and head to it, by means of joints, so that I could move around as well as ever.","Once more the tinsmith came to my help and made me a body of tin, fastening my tin arms and legs and head to it, by means of joints, so that I could move around as well as ever.","Once more the tinsmith came to my help and made me a body of tin, fastening my tin arms and legs and head to it, by means of joints, so that I could move around as well as ever.","Once more the tinsmith came to my help and made me a body of tin, fastening my tin arms and legs and head to it, by means of joints, so that I could move around as well as ever.",1,17.080638499995985,0.3320773243904114,0.2994597554206848,0.3684629499912262,50.0,0.31268391013145447,0.16580264270305634,0.5215134620666504,50.0,0.17950497567653656,0.27273908257484436,0.5477558970451355,50.0,0.7843686938285828,0.02721148356795311,0.18841992318630219,96.65,0.0568976104259491,0.6368128061294556,0.3062896430492401,8.2,,,,100.0,constant_disabled
153,the Lion,66,1870,I,10046,10047,430,first_second_person_keep_original,False,"I had now no heart, so that I lost all my love for the Munchkin girl, and did not care whether [[I]] married her or not.","I had now no heart, so that I lost all my love for the Munchkin girl, and did not care whether I married her or not.","I had now no heart, so that I lost all my love for the Munchkin girl, and did not care whether I married her or not.","I had now no heart, so that I lost all my love for the Munchkin girl, and did not care whether I married her or not.",1,17.080638499995985,0.010427803732454777,0.17398034036159515,0.8155918717384338,50.0,0.008282497525215149,0.0584716796875,0.933245837688446,50.0,0.03665795922279358,0.43494105339050293,0.5284009575843811,50.0,0.006075113546103239,0.3247082233428955,0.6692166328430176,50.0,0.13844066858291626,0.5858038067817688,0.27575555443763733,19.12,,,,100.0,constant_disabled
153,the Lion,95,1992,I,10663,10664,448,first_second_person_keep_original,False,"""How long will it be,"" the child asked of the Tin Woodman, ""before we are out of the forest?"" "" [[I]] cannot tell,"" was the answer, ""for I have never been to the Emerald City.","""How long will it be,"" the child asked of the Tin Woodman, ""before we are out of the forest?"" "" I cannot tell,"" was the answer, ""for I have never been to the Emerald City.","""How long will it be,"" the child asked of the Tin Woodman, ""before we are out of the forest?"" "" I cannot tell,"" was the answer, ""for I have never been to the Emerald City.","""How long will it be,"" the child asked of the Tin Woodman, ""before we are out of the forest?"" "" I cannot tell,"" was the answer, ""for I have never been to the Emerald City.",1,17.080638499995985,0.2853231728076935,0.3614206612110138,0.3532562255859375,50.0,0.14458629488945007,0.25586333870887756,0.5995503664016724,50.0,0.18651683628559113,0.3154383599758148,0.49804478883743286,50.0,0.22059544920921326,0.2289237082004547,0.5504809021949768,50.0,0.14205166697502136,0.45495477318763733,0.4029935598373413,50.0,,,,100.0,constant_disabled
153,the Lion,97,2002,I,10692,10693,449,first_second_person_keep_original,False,"But my father went there once, when [[I]] was a boy, and he said it was a long journey through a dangerous country, although nearer to the city where Oz dwells the country is beautiful.","But my father went there once, when I was a boy, and he said it was a long journey through a dangerous country, although nearer to the city where Oz dwells the country is beautiful.","But my father went there once, when I was a boy, and he said it was a long journey through a dangerous country, although nearer to the city where Oz dwells the country is beautiful.","But my father went there once, when I was a boy, and he said it was a long journey through a dangerous country, although nearer to the city where Oz dwells the country is beautiful.",1,17.080638499995985,0.20896747708320618,0.3232281506061554,0.4678043723106384,50.0,0.1807321161031723,0.2435063272714615,0.5757614970207214,50.0,0.15453408658504486,0.3609400689601898,0.4845258593559265,50.0,0.14526663720607758,0.21822191774845123,0.6365113854408264,50.0,0.11825074255466461,0.5369669795036316,0.3447823226451874,18.05,,,,100.0,constant_disabled
153,the Lion,98,2014,I,10724,10725,450,first_second_person_keep_original,False,"But [[I]] am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""","But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""","But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""","But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""",1,17.080638499995985,0.11481142789125443,0.40443655848503113,0.48075199127197266,50.0,0.12072291970252991,0.19598445296287537,0.68329256772995,50.0,0.1271936297416687,0.38853293657302856,0.4842734634876251,50.0,0.33709654211997986,0.2916983366012573,0.3712051510810852,50.0,0.05997012183070183,0.6689638495445251,0.27106600999832153,8.23,,,,100.0,constant_disabled
153,the Lion,99,2016,I,10731,10732,450,first_second_person_keep_original,False,"But I am not afraid so long as [[I]] have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""","But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""","But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""","But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch's kiss, and that will protect you from harm.""",1,17.080638499995985,0.11481142789125443,0.40443655848503113,0.48075199127197266,50.0,0.12072291970252991,0.19598445296287537,0.68329256772995,50.0,0.1271936297416687,0.38853293657302856,0.4842734634876251,50.0,0.33709654211997986,0.2916983366012573,0.3712051510810852,50.0,0.05997012183070183,0.6689638495445251,0.27106600999832153,8.23,,,,100.0,constant_disabled
153,the Lion,101,2026,him,10784,10785,452,third_person_object_pronoun_to_canonical,True,"""What will protect [[him]]?"" ""We must protect him ourselves if he is in danger,"" replied the Tin Woodman.","""What will protect the Lion?"" ""We must protect him ourselves if he is in danger,"" replied the Tin Woodman.","""What will protect the Lion?"" ""We must protect him ourselves if he is in danger,"" replied the Tin Woodman.","""What will protect the Lion?"" ""We must protect him ourselves if he is in danger,"" replied the Tin Woodman.",1,17.080638499995985,0.08912097662687302,0.24387530982494354,0.6670036911964417,50.0,0.2864338159561157,0.26143813133239746,0.4521280825138092,50.0,0.09740662574768066,0.38737624883651733,0.515217125415802,50.0,0.2830020487308502,0.24985922873020172,0.46713876724243164,50.0,0.1685916930437088,0.58782958984375,0.2435787320137024,22.29,,,,100.0,constant_disabled
153,the Lion,115,2052,the great beast,10915,10918,456,simple_nominal_to_canonical,True,"Little Toto, now that he had an enemy to face, ran barking toward the Lion, and [[the great beast]] had opened his mouth to bite the dog, when Dorothy, fearing Toto would be killed, and heedless of danger, rushed forward and slapped the Lion upon his nose as hard as she could, while she cried out: ""Don't you dare to bite Toto!","Little Toto, now that he had an enemy to face, ran barking toward the Lion, and the Lion had opened his mouth to bite the dog, when Dorothy, fearing Toto would be killed, and heedless of danger, rushed forward and slapped the Lion upon his nose as hard as she could, while she cried out: ""Don't you dare to bite Toto!","Little Toto, now that he had an enemy to face, ran barking toward the Lion, and the Lion had opened his mouth to bite the dog, when Dorothy, fearing Toto would be killed, and heedless of danger, rushed forward and slapped the Lion upon his nose as hard as she could, while she cried out: ""Don't you dare to bite Toto!","Little Toto, now that he had an enemy to face, ran barking toward the Lion, and the Lion had opened his mouth to bite the dog, when Dorothy, fearing Toto would be killed, and heedless of danger, rushed forward and slapped the Lion upon his nose as hard as she could, while she cried out: ""Don't you dare to bite Toto!",1,17.080638499995985,0.024667605757713318,0.19766314327716827,0.7776692509651184,50.0,0.032479383051395416,0.1349821537733078,0.8325384259223938,50.0,0.1446269005537033,0.2125750184059143,0.642798125743866,50.0,0.033485617488622665,0.7603205442428589,0.20619387924671173,4.22,0.23893967270851135,0.3190712034702301,0.4419891834259033,50.0,,,,100.0,constant_disabled
153,the Lion,122,2064,a big beast like you,10979,10984,457,ambiguous_or_unsupported_keep_original,False,"You ought to be ashamed of yourself, [[a big beast like you]], to bite a poor little dog!"" ""I didn't bite him,"" said the Lion, as he rubbed his nose with his paw where Dorothy had hit it.","You ought to be ashamed of yourself, a big beast like you, to bite a poor little dog!"" ""I didn't bite him,"" said the Lion, as he rubbed his nose with his paw where Dorothy had hit it.","You ought to be ashamed of yourself, a big beast like you, to bite a poor little dog!"" ""I didn't bite him,"" said the Lion, as he rubbed his nose with his paw where Dorothy had hit it.","You ought to be ashamed of yourself, a big beast like you, to bite a poor little dog!"" ""I didn't bite him,"" said the Lion, as he rubbed his nose with his paw where Dorothy had hit it.",1,17.080638499995985,0.021969513967633247,0.23262690007686615,0.7454035878181458,50.0,0.029798436909914017,0.1612461507320404,0.8089554309844971,50.0,0.13214536011219025,0.25112929940223694,0.6167253255844116,50.0,0.0164077989757061,0.7999743819236755,0.18361777067184448,2.01,0.13364489376544952,0.4218248724937439,0.4445301592350006,50.0,,,,100.0,constant_disabled
153,the Lion,131,2078,You,11034,11035,459,first_second_person_keep_original,False,""" [[You]] are nothing but a big coward."" ""I know it,"" said the Lion, hanging his head in shame.",""" You are nothing but a big coward."" ""I know it,"" said the Lion, hanging his head in shame.",""" You are nothing but a big coward."" ""I know it,"" said the Lion, hanging his head in shame.",""" You are nothing but a big coward."" ""I know it,"" said the Lion, hanging his head in shame.",1,17.080638499995985,0.016383539885282516,0.29118308424949646,0.6924333572387695,50.0,0.03482908010482788,0.12092805653810501,0.8442428708076477,50.0,0.011481049470603466,0.41294774413108826,0.5755712389945984,50.0,0.010947350412607193,0.32882022857666016,0.660232424736023,50.0,0.7962659001350403,0.12550997734069824,0.07822410017251968,86.38,,,,100.0,constant_disabled
153,the Lion,133,2080,I,11045,11046,459,first_second_person_keep_original,False,"""You are nothing but a big coward."" "" [[I]] know it,"" said the Lion, hanging his head in shame.","""You are nothing but a big coward."" "" I know it,"" said the Lion, hanging his head in shame.","""You are nothing but a big coward."" "" I know it,"" said the Lion, hanging his head in shame.","""You are nothing but a big coward."" "" I know it,"" said the Lion, hanging his head in shame.",1,17.080638499995985,0.01796305738389492,0.27517423033714294,0.70686274766922,50.0,0.04390578344464302,0.12019149214029312,0.8359026908874512,50.0,0.013768120668828487,0.3933541476726532,0.5928777456283569,50.0,0.010438517667353153,0.33662962913513184,0.652931809425354,50.0,0.7738878726959229,0.14084137976169586,0.08527079224586487,84.6,,,,100.0,constant_disabled
153,the Lion,136,2083,I,11061,11062,460,first_second_person_keep_original,False,""" [[I]]'ve always known it.",""" I've always known it.",""" I've always known it.",""" I've always known it.",1,17.080638499995985,0.044892679899930954,0.6714180707931519,0.2836892902851105,6.27,0.22298918664455414,0.3835495412349701,0.39346128702163696,50.0,0.23064875602722168,0.45803871750831604,0.31131255626678467,50.0,0.3035471439361572,0.38961735367774963,0.3068355619907379,50.0,0.13385064899921417,0.6648318767547607,0.20131748914718628,16.76,,,,100.0,constant_disabled
153,the Lion,149,2123,the Lion,11284,11286,471,proper_name_to_canonical,False,"""Is he made of tin, or stuffed?"" asked [[the Lion]].","""Is he made of tin, or stuffed?"" asked the Lion.","""Is he made of tin, or stuffed?"" asked the Lion.","""Is he made of tin, or stuffed?"" asked the Lion.",1,17.080638499995985,0.914667010307312,0.03863005340099335,0.046702831983566284,95.95,0.0987798422574997,0.3058687150478363,0.5953513979911804,50.0,0.2921358346939087,0.15486061573028564,0.5530035495758057,50.0,0.2650473415851593,0.059581462293863297,0.6753711700439453,50.0,0.08100390434265137,0.4895385801792145,0.42945754528045654,50.0,,,,100.0,constant_disabled
153,the Lion,161,2142,I,11393,11394,479,first_second_person_keep_original,False,""" [[I]] suppose I was born that way.",""" I suppose I was born that way.",""" I suppose I was born that way.",""" I suppose I was born that way.",2,32.52029709999624,0.12737873196601868,0.6529945135116577,0.2196267545223236,16.32,0.10376465320587158,0.4336990416049957,0.4625362753868103,50.0,0.21346515417099,0.6190329790115356,0.16750191152095795,25.64,0.2136785238981247,0.44345876574516296,0.34286266565322876,50.0,0.16910120844841003,0.7330324649810791,0.09786634892225266,18.74,,,,100.0,constant_disabled
153,the Lion,177,2171,me,11514,11515,483,first_second_person_keep_original,False,"If the elephants and the tigers and the bears had ever tried to fight me, I should have run myself—I'm such a coward; but just as soon as they hear [[me]] roar they all try to get away from me, and of course I let them go.""","If the elephants and the tigers and the bears had ever tried to fight me, I should have run myself—I'm such a coward; but just as soon as they hear me roar they all try to get away from me, and of course I let them go.""","If the elephants and the tigers and the bears had ever tried to fight me, I should have run myself—I'm such a coward; but just as soon as they hear me roar they all try to get away from me, and of course I let them go.""","If the elephants and the tigers and the bears had ever tried to fight me, I should have run myself—I'm such a coward; but just as soon as they hear me roar they all try to get away from me, and of course I let them go.""",2,32.52029709999624,0.04182557761669159,0.23713231086730957,0.7210420966148376,50.0,0.05744641274213791,0.13893920183181763,0.8036144375801086,50.0,0.3585493564605713,0.32607653737068176,0.31537410616874695,50.0,0.12270930409431458,0.7168601155281067,0.16043058037757874,14.62,0.28573301434516907,0.509615421295166,0.2046516090631485,50.0,,,,100.0,constant_disabled
153,the Lion,180,2175,The King of Beasts,11542,11546,485,proper_name_to_canonical,True,"[[The King of Beasts]] shouldn't be a coward,"" said the Scarecrow.","the Lion shouldn't be a coward,"" said the Scarecrow.","the Lion shouldn't be a coward,"" said the Scarecrow.","the Lion shouldn't be a coward,"" said the Scarecrow.",2,32.52029709999624,0.05128323286771774,0.4358963370323181,0.5128203630447388,50.0,0.13948999345302582,0.2412017434835434,0.6193082928657532,50.0,0.04081178829073906,0.48157739639282227,0.4776107668876648,50.0,0.048920124769210815,0.24149711430072784,0.7095827460289001,50.0,0.3828217089176178,0.3363158106803894,0.28086256980895996,50.0,,,,100.0,constant_disabled
153,the Lion,187,2183,my,11590,11591,487,first_second_person_keep_original,False,"""It is my great sorrow, and makes [[my]] life very unhappy.","""It is my great sorrow, and makes my life very unhappy.","""It is my great sorrow, and makes my life very unhappy.","""It is my great sorrow, and makes my life very unhappy.",2,32.52029709999624,0.027625836431980133,0.45511871576309204,0.5172553658485413,50.0,0.17155911028385162,0.2822361886501312,0.5462047457695007,50.0,0.00923185609281063,0.43109118938446045,0.5596769452095032,50.0,0.061959266662597656,0.17510861158370972,0.7629321217536926,50.0,0.9197712540626526,0.06008792668581009,0.02014080248773098,93.87,,,,100.0,constant_disabled
