local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_014::cluster_000::mention_000,chunk_014::cluster_000,chunk_014,14,0,0,11,13,41923,41925,the Lion,12,41924,left_overlap,41923:41925:the lion
chunk_014::cluster_000::mention_001,chunk_014::cluster_000,chunk_014,14,0,1,17,18,41929,41930,me,17,41929,left_overlap,41929:41930:me
chunk_014::cluster_000::mention_002,chunk_014::cluster_000,chunk_014,14,0,2,24,26,41936,41938,the Scarecrow,25,41937,left_overlap,41936:41938:the scarecrow
chunk_014::cluster_000::mention_003,chunk_014::cluster_000,chunk_014,14,0,3,33,34,41945,41946,me,33,41945,left_overlap,41945:41946:me
chunk_014::cluster_000::mention_004,chunk_014::cluster_000,chunk_014,14,0,4,40,41,41952,41953,He,40,41952,left_overlap,41952:41953:he
chunk_014::cluster_000::mention_005,chunk_014::cluster_000,chunk_014,14,0,5,48,49,41960,41961,he,48,41960,left_overlap,41960:41961:he
chunk_014::cluster_000::mention_006,chunk_014::cluster_000,chunk_014,14,0,6,56,57,41968,41969,him,56,41968,left_overlap,41968:41969:him
chunk_014::cluster_000::mention_007,chunk_014::cluster_000,chunk_014,14,0,7,59,60,41971,41972,him,59,41971,left_overlap,41971:41972:him
chunk_014::cluster_000::mention_008,chunk_014::cluster_000,chunk_014,14,0,8,102,104,42014,42016,the Lion,103,42015,left_overlap,42014:42016:the lion
chunk_014::cluster_000::mention_009,chunk_014::cluster_000,chunk_014,14,0,9,135,137,42047,42049,the Scarecrow,136,42048,left_overlap,42047:42049:the scarecrow
chunk_014::cluster_000::mention_010,chunk_014::cluster_000,chunk_014,14,0,10,432,434,42344,42346,The Lion,433,42345,left_overlap,42344:42346:the lion
chunk_014::cluster_000::mention_011,chunk_014::cluster_000,chunk_014,14,0,11,436,437,42348,42349,himself,436,42348,left_overlap,42348:42349:himself
chunk_014::cluster_000::mention_012,chunk_014::cluster_000,chunk_014,14,0,12,444,445,42356,42357,him,444,42356,left_overlap,42356:42357:him
chunk_014::cluster_000::mention_013,chunk_014::cluster_000,chunk_014,14,0,13,447,449,42359,42361,The Scarecrow,448,42360,left_overlap,42359:42361:the scarecrow
chunk_014::cluster_000::mention_014,chunk_014::cluster_000,chunk_014,14,0,14,463,464,42375,42376,I,463,42375,left_overlap,42375:42376:i
chunk_014::cluster_000::mention_015,chunk_014::cluster_000,chunk_014,14,0,15,484,485,42396,42397,your,484,42396,left_overlap,42396:42397:your
chunk_014::cluster_000::mention_016,chunk_014::cluster_000,chunk_014,14,0,16,546,548,42458,42460,The Scarecrow,547,42459,left_overlap,42458:42460:the scarecrow
chunk_014::cluster_000::mention_017,chunk_014::cluster_000,chunk_014,14,0,17,551,553,42463,42465,the Lion,552,42464,left_overlap,42463:42465:the lion
chunk_014::cluster_000::mention_018,chunk_014::cluster_000,chunk_014,14,0,18,565,567,42477,42479,The Scarecrow,566,42478,left_overlap,42477:42479:the scarecrow
chunk_014::cluster_000::mention_019,chunk_014::cluster_000,chunk_014,14,0,19,574,575,42486,42487,he,574,42486,left_overlap,42486:42487:he
chunk_014::cluster_000::mention_020,chunk_014::cluster_000,chunk_014,14,0,20,587,588,42499,42500,him,587,42499,left_overlap,42499:42500:him
chunk_014::cluster_000::mention_021,chunk_014::cluster_000,chunk_014,14,0,21,593,594,42505,42506,he,593,42505,left_overlap,42505:42506:he
chunk_014::cluster_000::mention_022,chunk_014::cluster_000,chunk_014,14,0,22,595,596,42507,42508,his,595,42507,left_overlap,42507:42508:his
chunk_014::cluster_000::mention_023,chunk_014::cluster_000,chunk_014,14,0,23,603,605,42515,42517,the Scarecrow,604,42516,left_overlap,42515:42517:the scarecrow
chunk_014::cluster_000::mention_024,chunk_014::cluster_000,chunk_014,14,0,24,624,626,42536,42538,the Scarecrow,625,42537,left_overlap,42536:42538:the scarecrow
