local_mention_uid,local_cluster_uid,chunk_id,chunk_index,local_cluster_id,local_mention_id,local_start,local_end,global_start,global_end,text,head_local_i,head_global_i,zone,overlap_exact_span_key
chunk_004::cluster_000::mention_000,chunk_004::cluster_000,chunk_004,4,0,0,4,5,12045,12046,he,4,12045,left_overlap,12045:12046:he
chunk_004::cluster_000::mention_001,chunk_004::cluster_000,chunk_004,4,0,1,48,51,12089,12092,the Tin Woodman,50,12091,left_overlap,12089:12092:the tin woodman
chunk_004::cluster_000::mention_002,chunk_004::cluster_000,chunk_004,4,0,2,71,74,12112,12115,the Tin Woodman,73,12114,left_overlap,12112:12115:the tin woodman
chunk_004::cluster_000::mention_003,chunk_004::cluster_000,chunk_004,4,0,3,78,79,12119,12120,he,78,12119,left_overlap,12119:12120:he
chunk_004::cluster_000::mention_004,chunk_004::cluster_000,chunk_004,4,0,4,91,92,12132,12133,he,91,12132,left_overlap,12132:12133:he
chunk_004::cluster_000::mention_005,chunk_004::cluster_000,chunk_004,4,0,5,94,95,12135,12136,he,94,12135,left_overlap,12135:12136:he
chunk_004::cluster_000::mention_006,chunk_004::cluster_000,chunk_004,4,0,6,108,109,12149,12150,his,108,12149,left_overlap,12149:12150:his
chunk_004::cluster_000::mention_007,chunk_004::cluster_000,chunk_004,4,0,7,115,116,12156,12157,his,115,12156,left_overlap,12156:12157:his
chunk_004::cluster_000::mention_008,chunk_004::cluster_000,chunk_004,4,0,8,124,125,12165,12166,Dorothy,124,12165,left_overlap,12165:12166:dorothy
chunk_004::cluster_000::mention_009,chunk_004::cluster_000,chunk_004,4,0,9,127,128,12168,12169,him,127,12168,left_overlap,12168:12169:him
chunk_004::cluster_000::mention_010,chunk_004::cluster_000,chunk_004,4,0,10,130,133,12171,12174,the Tin Woodman,132,12173,left_overlap,12171:12174:the tin woodman
chunk_004::cluster_000::mention_011,chunk_004::cluster_000,chunk_004,4,0,11,136,137,12177,12178,his,136,12177,left_overlap,12177:12178:his
chunk_004::cluster_000::mention_012,chunk_004::cluster_000,chunk_004,4,0,12,140,141,12181,12182,his,140,12181,left_overlap,12181:12182:his
chunk_004::cluster_000::mention_013,chunk_004::cluster_000,chunk_004,4,0,13,147,148,12188,12189,He,147,12188,left_overlap,12188:12189:he
chunk_004::cluster_000::mention_014,chunk_004::cluster_000,chunk_004,4,0,14,158,159,12199,12200,Dorothy,158,12199,left_overlap,12199:12200:dorothy
chunk_004::cluster_000::mention_015,chunk_004::cluster_000,chunk_004,4,0,15,161,162,12202,12203,him,161,12202,left_overlap,12202:12203:him
chunk_004::cluster_000::mention_016,chunk_004::cluster_000,chunk_004,4,0,16,164,165,12205,12206,she,164,12205,left_overlap,12205:12206:she
chunk_004::cluster_000::mention_017,chunk_004::cluster_000,chunk_004,4,0,17,181,183,12222,12224,the Scarecrow,182,12223,left_overlap,12222:12224:the scarecrow
chunk_004::cluster_000::mention_018,chunk_004::cluster_000,chunk_004,4,0,18,189,190,12230,12231,Dorothy,189,12230,left_overlap,12230:12231:dorothy
chunk_004::cluster_000::mention_019,chunk_004::cluster_000,chunk_004,4,0,19,194,196,12235,12237,the Woodman,195,12236,left_overlap,12235:12237:the woodman
chunk_004::cluster_000::mention_020,chunk_004::cluster_000,chunk_004,4,0,20,205,206,12246,12247,he,205,12246,left_overlap,12246:12247:he
chunk_004::cluster_000::mention_021,chunk_004::cluster_000,chunk_004,4,0,21,218,219,12259,12260,me,218,12259,left_overlap,12259:12260:me
chunk_004::cluster_000::mention_022,chunk_004::cluster_000,chunk_004,4,0,22,224,225,12265,12266,he,224,12265,left_overlap,12265:12266:he
chunk_004::cluster_000::mention_023,chunk_004::cluster_000,chunk_004,4,0,23,230,231,12271,12272,I,230,12271,left_overlap,12271:12272:i
chunk_004::cluster_000::mention_024,chunk_004::cluster_000,chunk_004,4,0,24,235,236,12276,12277,I,235,12276,left_overlap,12276:12277:i
chunk_004::cluster_000::mention_025,chunk_004::cluster_000,chunk_004,4,0,25,242,243,12283,12284,I,242,12283,left_overlap,12283:12284:i
chunk_004::cluster_000::mention_026,chunk_004::cluster_000,chunk_004,4,0,26,251,252,12292,12293,my,251,12292,left_overlap,12292:12293:my
chunk_004::cluster_000::mention_027,chunk_004::cluster_000,chunk_004,4,0,27,255,256,12296,12297,I,255,12296,left_overlap,12296:12297:i
chunk_004::cluster_000::mention_028,chunk_004::cluster_000,chunk_004,4,0,28,263,264,12304,12305,he,263,12304,left_overlap,12304:12305:he
chunk_004::cluster_000::mention_029,chunk_004::cluster_000,chunk_004,4,0,29,269,270,12310,12311,his,269,12310,left_overlap,12310:12311:his
chunk_004::cluster_000::mention_030,chunk_004::cluster_000,chunk_004,4,0,30,277,278,12318,12319,he,277,12318,left_overlap,12318:12319:he
